cell,tag,env,engine,l_min,tau,n_qtn,a_n,a_TP,a_PR,C_n,C_TP,C_PR
V0.5_c1,bgs,2,emmax,3,0.5,20,20,9,0.2025,21,9,0.192857142857143
V0.5_c1,bgs,2,emmax,3,0.7,20,20,9,0.2025,13,8,0.246153846153846
V0.5_c1,bgs,2,emmax,5,0.01,20,16,9,0.253125,31,11,0.195161290322581
V0.5_c1,bgs,2,emmax,5,0.02,20,16,9,0.253125,24,11,0.252083333333333
V0.5_c1,bgs,2,emmax,5,0.05,20,16,9,0.253125,21,9,0.192857142857143
V0.5_c1,bgs,2,emmax,5,0.1,20,16,9,0.253125,19,9,0.213157894736842
V0.5_c1,bgs,2,emmax,5,0.15,20,16,9,0.253125,19,9,0.213157894736842
V0.5_c1,bgs,2,emmax,5,0.2,20,16,9,0.253125,18,9,0.225
V0.5_c1,bgs,2,emmax,5,0.3,20,16,9,0.253125,17,9,0.238235294117647
V0.5_c1,bgs,2,emmax,5,0.4,20,16,9,0.253125,17,9,0.238235294117647
V0.5_c1,bgs,2,emmax,5,0.5,20,16,9,0.253125,14,9,0.289285714285714
V0.5_c1,bgs,2,emmax,5,0.7,20,16,9,0.253125,10,8,0.32
V0.5_c1,bgs,2,emmax,10,0.01,20,10,8,0.32,19,10,0.263157894736842
V0.5_c1,bgs,2,emmax,10,0.02,20,10,8,0.32,17,9,0.238235294117647
V0.5_c1,bgs,2,emmax,10,0.05,20,10,8,0.32,15,9,0.27
V0.5_c1,bgs,2,emmax,10,0.1,20,10,8,0.32,14,9,0.289285714285714
V0.5_c1,bgs,2,emmax,10,0.15,20,10,8,0.32,14,9,0.289285714285714
V0.5_c1,bgs,2,emmax,10,0.2,20,10,8,0.32,13,9,0.311538461538462
V0.5_c1,bgs,2,emmax,10,0.3,20,10,8,0.32,13,9,0.311538461538462
V0.5_c1,bgs,2,emmax,10,0.4,20,10,8,0.32,11,9,0.368181818181818
V0.5_c1,bgs,2,emmax,10,0.5,20,10,8,0.32,9,8,0.355555555555556
V0.5_c1,bgs,2,emmax,10,0.7,20,10,8,0.32,7,6,0.257142857142857
V0.5_c1,bgs,2,lfmm,2,0.01,20,27,13,0.312962962962963,63,14,0.155555555555556
V0.5_c1,bgs,2,lfmm,2,0.02,20,27,13,0.312962962962963,59,14,0.166101694915254
V0.5_c1,bgs,2,lfmm,2,0.05,20,27,13,0.312962962962963,51,15,0.220588235294118
V0.5_c1,bgs,2,lfmm,2,0.1,20,27,13,0.312962962962963,44,15,0.255681818181818
V0.5_c1,bgs,2,lfmm,2,0.15,20,27,13,0.312962962962963,39,15,0.288461538461539
V0.5_c1,bgs,2,lfmm,2,0.2,20,27,13,0.312962962962963,38,15,0.296052631578947
V0.5_c1,bgs,2,lfmm,2,0.3,20,27,13,0.312962962962963,34,15,0.330882352941176
V0.5_c1,bgs,2,lfmm,2,0.4,20,27,13,0.312962962962963,34,15,0.330882352941176
V0.5_c1,bgs,2,lfmm,2,0.5,20,27,13,0.312962962962963,31,14,0.316129032258065
V0.5_c1,bgs,2,lfmm,2,0.7,20,27,13,0.312962962962963,23,13,0.367391304347826
V0.5_c1,bgs,2,lfmm,3,0.01,20,21,11,0.288095238095238,48,14,0.204166666666667
V0.5_c1,bgs,2,lfmm,3,0.02,20,21,11,0.288095238095238,45,14,0.217777777777778
V0.5_c1,bgs,2,lfmm,3,0.05,20,21,11,0.288095238095238,39,14,0.251282051282051
V0.5_c1,bgs,2,lfmm,3,0.1,20,21,11,0.288095238095238,34,14,0.288235294117647
V0.5_c1,bgs,2,lfmm,3,0.15,20,21,11,0.288095238095238,29,14,0.337931034482759
V0.5_c1,bgs,2,lfmm,3,0.2,20,21,11,0.288095238095238,29,14,0.337931034482759
V0.5_c1,bgs,2,lfmm,3,0.3,20,21,11,0.288095238095238,27,13,0.312962962962963
V0.5_c1,bgs,2,lfmm,3,0.4,20,21,11,0.288095238095238,27,13,0.312962962962963
V0.5_c1,bgs,2,lfmm,3,0.5,20,21,11,0.288095238095238,26,13,0.325
V0.5_c1,bgs,2,lfmm,3,0.7,20,21,11,0.288095238095238,18,11,0.336111111111111
V0.5_c1,bgs,2,lfmm,5,0.01,20,17,10,0.294117647058824,40,13,0.21125
V0.5_c1,bgs,2,lfmm,5,0.02,20,17,10,0.294117647058824,38,12,0.189473684210526
V0.5_c1,bgs,2,lfmm,5,0.05,20,17,10,0.294117647058824,33,13,0.256060606060606
V0.5_c1,bgs,2,lfmm,5,0.1,20,17,10,0.294117647058824,28,13,0.301785714285714
V0.5_c1,bgs,2,lfmm,5,0.15,20,17,10,0.294117647058824,26,13,0.325
V0.5_c1,bgs,2,lfmm,5,0.2,20,17,10,0.294117647058824,23,13,0.367391304347826
V0.5_c1,bgs,2,lfmm,5,0.3,20,17,10,0.294117647058824,22,12,0.327272727272727
V0.5_c1,bgs,2,lfmm,5,0.4,20,17,10,0.294117647058824,20,11,0.3025
V0.5_c1,bgs,2,lfmm,5,0.5,20,17,10,0.294117647058824,20,11,0.3025
V0.5_c1,bgs,2,lfmm,5,0.7,20,17,10,0.294117647058824,14,10,0.357142857142857
V0.5_c1,bgs,2,lfmm,10,0.01,20,13,8,0.246153846153846,26,12,0.276923076923077
V0.5_c1,bgs,2,lfmm,10,0.02,20,13,8,0.246153846153846,25,11,0.242
V0.5_c1,bgs,2,lfmm,10,0.05,20,13,8,0.246153846153846,21,11,0.288095238095238
V0.5_c1,bgs,2,lfmm,10,0.1,20,13,8,0.246153846153846,19,11,0.318421052631579
V0.5_c1,bgs,2,lfmm,10,0.15,20,13,8,0.246153846153846,16,9,0.253125
V0.5_c1,bgs,2,lfmm,10,0.2,20,13,8,0.246153846153846,16,9,0.253125
V0.5_c1,bgs,2,lfmm,10,0.3,20,13,8,0.246153846153846,15,9,0.27
V0.5_c1,bgs,2,lfmm,10,0.4,20,13,8,0.246153846153846,14,8,0.228571428571429
V0.5_c1,bgs,2,lfmm,10,0.5,20,13,8,0.246153846153846,14,8,0.228571428571429
V0.5_c1,bgs,2,lfmm,10,0.7,20,13,8,0.246153846153846,11,8,0.290909090909091
V0.5_c1,bgs,3,emmax,2,0.01,19,17,13,0.523219814241486,47,17,0.323628219484882
V0.5_c1,bgs,3,emmax,2,0.02,19,17,13,0.523219814241486,43,17,0.353733170134639
V0.5_c1,bgs,3,emmax,2,0.05,19,17,13,0.523219814241486,35,17,0.434586466165414
V0.5_c1,bgs,3,emmax,2,0.1,19,17,13,0.523219814241486,31,17,0.490662139219015
V0.5_c1,bgs,3,emmax,2,0.15,19,17,13,0.523219814241486,30,16,0.449122807017544
V0.5_c1,bgs,3,emmax,2,0.2,19,17,13,0.523219814241486,27,16,0.499025341130604
V0.5_c1,bgs,3,emmax,2,0.3,19,17,13,0.523219814241486,21,13,0.423558897243108
V0.5_c1,bgs,3,emmax,2,0.4,19,17,13,0.523219814241486,19,13,0.46814404432133
V0.5_c1,bgs,3,emmax,2,0.5,19,17,13,0.523219814241486,17,13,0.523219814241486
V0.5_c1,bgs,3,emmax,2,0.7,19,17,13,0.523219814241486,15,13,0.592982456140351
V0.5_c1,bgs,3,emmax,3,0.01,19,15,12,0.505263157894737,36,17,0.422514619883041
V0.5_c1,bgs,3,emmax,3,0.02,19,15,12,0.505263157894737,33,16,0.40829346092504
V0.5_c1,bgs,3,emmax,3,0.05,19,15,12,0.505263157894737,27,15,0.43859649122807
V0.5_c1,bgs,3,emmax,3,0.1,19,15,12,0.505263157894737,26,15,0.455465587044534
V0.5_c1,bgs,3,emmax,3,0.15,19,15,12,0.505263157894737,25,14,0.412631578947368
V0.5_c1,bgs,3,emmax,3,0.2,19,15,12,0.505263157894737,21,14,0.491228070175439
V0.5_c1,bgs,3,emmax,3,0.3,19,15,12,0.505263157894737,19,13,0.46814404432133
