cell,tag,env,engine,rho_ld,l_min,n_qtn,a_n,a_TP,a_PR,C_n,C_TP,C_PR
V0.5_c1,bgs,2,emmax,0.95,10,20,10,8,0.32,15,9,0.27
V0.5_c1,bgs,2,lfmm,0.95,2,20,27,13,0.312962962962963,51,15,0.220588235294118
V0.5_c1,bgs,2,lfmm,0.95,3,20,21,11,0.288095238095238,39,14,0.251282051282051
V0.5_c1,bgs,2,lfmm,0.95,5,20,17,10,0.294117647058824,33,13,0.256060606060606
V0.5_c1,bgs,2,lfmm,0.95,10,20,13,8,0.246153846153846,21,11,0.288095238095238
V0.5_c1,bgs,2,emmax,0.99,2,20,23,11,0.26304347826087,34,11,0.177941176470588
V0.5_c1,bgs,2,emmax,0.99,3,20,20,9,0.2025,28,11,0.216071428571429
V0.5_c1,bgs,2,emmax,0.99,5,20,16,9,0.253125,21,9,0.192857142857143
V0.5_c1,bgs,2,emmax,0.99,10,20,10,8,0.32,15,9,0.27
V0.5_c1,bgs,2,lfmm,0.99,2,20,27,13,0.312962962962963,51,15,0.220588235294118
V0.5_c1,bgs,2,lfmm,0.99,3,20,21,11,0.288095238095238,39,14,0.251282051282051
V0.5_c1,bgs,2,lfmm,0.99,5,20,17,10,0.294117647058824,33,13,0.256060606060606
V0.5_c1,bgs,2,lfmm,0.99,10,20,13,8,0.246153846153846,21,11,0.288095238095238
V0.5_c1,bgs,3,emmax,0.5,2,19,18,13,0.494152046783626,45,16,0.299415204678363
V0.5_c1,bgs,3,emmax,0.5,3,19,16,12,0.473684210526316,35,15,0.338345864661654
V0.5_c1,bgs,3,emmax,0.5,5,19,13,11,0.489878542510122,27,14,0.382066276803119
V0.5_c1,bgs,3,emmax,0.5,10,19,13,11,0.489878542510122,17,12,0.445820433436533
V0.5_c1,bgs,3,lfmm,0.5,2,19,33,16,0.40829346092504,64,17,0.237664473684211
V0.5_c1,bgs,3,lfmm,0.5,3,19,28,15,0.422932330827068,47,17,0.323628219484882
V0.5_c1,bgs,3,lfmm,0.5,5,19,20,13,0.444736842105263,38,16,0.354570637119114
V0.5_c1,bgs,3,lfmm,0.5,10,19,18,12,0.421052631578947,24,14,0.429824561403509
V0.5_c1,bgs,3,emmax,0.6,2,19,18,13,0.494152046783626,40,16,0.336842105263158
V0.5_c1,bgs,3,emmax,0.6,3,19,16,12,0.473684210526316,31,15,0.382003395585739
V0.5_c1,bgs,3,emmax,0.6,5,19,13,11,0.489878542510122,27,14,0.382066276803119
V0.5_c1,bgs,3,emmax,0.6,10,19,13,11,0.489878542510122,18,12,0.421052631578947
V0.5_c1,bgs,3,lfmm,0.6,2,19,31,16,0.434634974533107,59,17,0.257805530776093
V0.5_c1,bgs,3,lfmm,0.6,3,19,27,15,0.43859649122807,43,17,0.353733170134639
V0.5_c1,bgs,3,lfmm,0.6,5,19,20,13,0.444736842105263,36,17,0.422514619883041
V0.5_c1,bgs,3,lfmm,0.6,10,19,18,12,0.421052631578947,23,14,0.448512585812357
V0.5_c1,bgs,3,emmax,0.75,2,19,17,13,0.523219814241486,35,17,0.434586466165414
V0.5_c1,bgs,3,emmax,0.75,3,19,15,12,0.505263157894737,27,15,0.43859649122807
V0.5_c1,bgs,3,emmax,0.75,5,19,13,11,0.489878542510122,24,14,0.429824561403509
V0.5_c1,bgs,3,emmax,0.75,10,19,13,11,0.489878542510122,17,12,0.445820433436533
V0.5_c1,bgs,3,lfmm,0.75,2,19,30,16,0.449122807017544,52,17,0.29251012145749
V0.5_c1,bgs,3,lfmm,0.75,3,19,27,15,0.43859649122807,39,17,0.390013495276653
V0.5_c1,bgs,3,lfmm,0.75,5,19,21,14,0.491228070175439,31,17,0.490662139219015
V0.5_c1,bgs,3,lfmm,0.75,10,19,18,12,0.421052631578947,23,14,0.448512585812357
V0.5_c1,bgs,3,emmax,0.85,2,19,17,13,0.523219814241486,35,17,0.434586466165414
V0.5_c1,bgs,3,emmax,0.85,3,19,15,12,0.505263157894737,27,15,0.43859649122807
V0.5_c1,bgs,3,emmax,0.85,5,19,13,11,0.489878542510122,24,14,0.429824561403509
V0.5_c1,bgs,3,emmax,0.85,10,19,13,11,0.489878542510122,17,12,0.445820433436533
V0.5_c1,bgs,3,lfmm,0.85,2,19,29,16,0.464609800362976,48,17,0.316885964912281
V0.5_c1,bgs,3,lfmm,0.85,3,19,26,15,0.455465587044534,38,17,0.400277008310249
V0.5_c1,bgs,3,lfmm,0.85,5,19,20,14,0.51578947368421,31,17,0.490662139219015
V0.5_c1,bgs,3,lfmm,0.85,10,19,17,12,0.445820433436533,22,14,0.4688995215311
V0.5_c1,bgs,3,emmax,0.9,2,19,17,13,0.523219814241486,35,17,0.434586466165414
V0.5_c1,bgs,3,emmax,0.9,3,19,15,12,0.505263157894737,27,15,0.43859649122807
V0.5_c1,bgs,3,emmax,0.9,5,19,13,11,0.489878542510122,24,14,0.429824561403509
V0.5_c1,bgs,3,emmax,0.9,10,19,13,11,0.489878542510122,17,12,0.445820433436533
V0.5_c1,bgs,3,lfmm,0.9,2,19,27,15,0.43859649122807,46,16,0.292906178489703
V0.5_c1,bgs,3,lfmm,0.9,3,19,24,14,0.429824561403509,36,16,0.374269005847953
V0.5_c1,bgs,3,lfmm,0.9,5,19,19,13,0.46814404432133,29,16,0.464609800362976
V0.5_c1,bgs,3,lfmm,0.9,10,19,16,11,0.398026315789474,21,13,0.423558897243108
V0.5_c1,bgs,3,emmax,0.95,2,19,17,13,0.523219814241486,34,17,0.447368421052632
V0.5_c1,bgs,3,emmax,0.95,3,19,15,12,0.505263157894737,26,15,0.455465587044534
V0.5_c1,bgs,3,emmax,0.95,5,19,13,11,0.489878542510122,23,14,0.448512585812357
V0.5_c1,bgs,3,emmax,0.95,10,19,13,11,0.489878542510122,17,12,0.445820433436533
V0.5_c1,bgs,3,lfmm,0.95,2,19,27,15,0.43859649122807,45,16,0.299415204678363
V0.5_c1,bgs,3,lfmm,0.95,3,19,24,14,0.429824561403509,37,16,0.364153627311522
V0.5_c1,bgs,3,lfmm,0.95,5,19,19,13,0.46814404432133,29,16,0.464609800362976
V0.5_c1,bgs,3,lfmm,0.95,10,19,16,11,0.398026315789474,21,13,0.423558897243108
V0.5_c1,bgs,3,emmax,0.99,2,19,17,13,0.523219814241486,34,17,0.447368421052632
V0.5_c1,bgs,3,emmax,0.99,3,19,15,12,0.505263157894737,26,15,0.455465587044534
V0.5_c1,bgs,3,emmax,0.99,5,19,13,11,0.489878542510122,23,14,0.448512585812357
V0.5_c1,bgs,3,emmax,0.99,10,19,13,11,0.489878542510122,17,12,0.445820433436533
V0.5_c1,bgs,3,lfmm,0.99,2,19,27,15,0.43859649122807,45,16,0.299415204678363
V0.5_c1,bgs,3,lfmm,0.99,3,19,24,14,0.429824561403509,37,16,0.364153627311522
V0.5_c1,bgs,3,lfmm,0.99,5,19,19,13,0.46814404432133,29,16,0.464609800362976
