cell,tag,env,engine,l_min,n_qtn,n_rho_all,n_rho_high,a_PR,Call_PR,Call_n,Chigh_PR,Chigh_n,Call_TP,Chigh_TP
V0.5_c1,nobgs,4,emmax,3,19,20,11,0.244482173174873,0.269138755980861,44,0.206315789473684,50,15,14
V0.5_c1,nobgs,4,emmax,5,19,20,11,0.265350877192982,0.312599681020734,33,0.210526315789474,36,14,12
V0.5_c1,nobgs,4,emmax,10,19,20,11,0.277008310249307,0.360902255639098,21,0.303157894736842,25,12,12
V0.5_c1,nobgs,4,lfmm,2,19,20,11,0.286549707602339,0.227022780832679,67,0.234008097165992,65,17,17
V0.5_c1,nobgs,4,lfmm,3,19,20,11,0.329434697855751,0.249512670565302,54,0.274973147153598,49,16,16
V0.5_c1,nobgs,4,lfmm,5,19,20,11,0.315789473684211,0.271468144044321,38,0.320056899004267,37,14,15
V0.5_c1,nobgs,4,lfmm,10,19,20,11,0.378947368421053,0.33276740237691,31,0.343859649122807,30,14,14
V0.5_c1,nobgs,5,emmax,2,17,20,11,0.148897058823529,0.165686274509804,60,0.180748663101604,55,13,13
V0.5_c1,nobgs,5,emmax,3,17,20,11,0.139433551198257,0.196990424076607,43,0.206599713055954,41,12,12
V0.5_c1,nobgs,5,emmax,5,17,20,11,0.179271708683473,0.254201680672269,28,0.264705882352941,32,11,12
V0.5_c1,nobgs,5,emmax,10,17,20,11,0.0980392156862745,0.226890756302521,21,0.171122994652406,22,9,8
V0.5_c1,nobgs,5,lfmm,2,17,20,11,0.198142414860681,0.183257918552036,26,0.164300202839757,29,9,9
V0.5_c1,nobgs,5,lfmm,3,17,20,11,0.209150326797386,0.163682864450128,23,0.150588235294118,25,8,8
V0.5_c1,nobgs,5,lfmm,5,17,20,11,0.235294117647059,0.209150326797386,18,0.198142414860681,19,8,8
V0.5_c1,nobgs,5,lfmm,10,17,20,11,0.133689839572193,0.250980392156863,15,0.192156862745098,15,8,7
V0.5_c1,nobgs,6,emmax,2,16,20,11,0.0425347222222222,0.0456081081081081,111,0.0460227272727273,110,9,9
V0.5_c1,nobgs,6,emmax,3,16,20,11,0.0651595744680851,0.0666118421052632,76,0.0675,75,9,9
V0.5_c1,nobgs,6,emmax,5,16,20,11,0.0928030303030303,0.1265625,40,0.117732558139535,43,9,9
V0.5_c1,nobgs,6,emmax,10,16,20,11,0.125,0.194711538461538,26,0.194711538461538,26,9,9
V0.5_c1,nobgs,6,lfmm,2,16,20,11,0.0486111111111111,0.0516581632653061,98,0.0491504854368932,103,9,9
V0.5_c1,nobgs,6,lfmm,3,16,20,11,0.0625,0.0693493150684932,73,0.0693493150684932,73,9,9
V0.5_c1,nobgs,6,lfmm,5,16,20,11,0.0928030303030303,0.103316326530612,49,0.099264705882353,51,9,9
V0.5_c1,nobgs,6,lfmm,10,16,20,11,0.1125,0.16875,30,0.153409090909091,33,9,9
V0.5_c1,nobgs,7,emmax,2,17,20,11,0.144385026737968,0.0547667342799189,87,0.0581061692969871,82,9,9
V0.5_c1,nobgs,7,emmax,3,17,20,11,0.190588235294118,0.0821501014198783,58,0.0794117647058824,60,9,9
V0.5_c1,nobgs,7,emmax,5,17,20,11,0.226890756302521,0.0990712074303405,38,0.0875512995896033,43,8,8
V0.5_c1,nobgs,7,emmax,10,17,20,11,0.317647058823529,0.171122994652406,22,0.144796380090498,26,8,8
V0.5_c1,nobgs,7,lfmm,2,17,20,11,0.17825311942959,0.134295227524972,53,0.129411764705882,55,11,11
V0.5_c1,nobgs,7,lfmm,3,17,20,11,0.210084033613445,0.161764705882353,44,0.161764705882353,44,11,11
V0.5_c1,nobgs,7,lfmm,5,17,20,11,0.198142414860681,0.203361344537815,35,0.173010380622837,34,11,10
V0.5_c1,nobgs,7,lfmm,10,17,20,11,0.313725490196078,0.267379679144385,22,0.25077399380805,19,10,9
V0.5_c1,nobgs,8,emmax,2,23,20,11,0.107946026986507,0.0674112485041883,109,0.0680354267310789,108,13,13
V0.5_c1,nobgs,8,emmax,3,23,20,11,0.149068322981366,0.0942028985507246,78,0.0954263128176171,77,13,13
V0.5_c1,nobgs,8,emmax,5,23,20,11,0.195652173913043,0.138638228055783,53,0.141304347826087,52,13,13
V0.5_c1,nobgs,8,emmax,10,23,20,11,0.241545893719807,0.22360248447205,28,0.194847020933977,27,12,11
V0.5_c1,nobgs,8,lfmm,2,23,20,11,0.106116433308769,0.101902173913044,96,0.101902173913044,96,15,15
V0.5_c1,nobgs,8,lfmm,3,23,20,11,0.139130434782609,0.139751552795031,70,0.137783221065524,71,15,15
V0.5_c1,nobgs,8,lfmm,5,23,20,11,0.169705469845722,0.173913043478261,49,0.15780998389694,54,14,14
V0.5_c1,nobgs,8,lfmm,10,23,20,11,0.271739130434783,0.194847020933977,27,0.17536231884058,30,11,11
V0.5_c1,nobgs,9,emmax,2,19,20,11,0.169779286926995,0.0995065789473684,64,0.0936532507739938,68,11,11
V0.5_c1,nobgs,9,emmax,3,19,20,11,0.213157894736842,0.138443935926773,46,0.132675438596491,48,11,11
V0.5_c1,nobgs,9,emmax,5,19,20,11,0.240601503759399,0.212280701754386,30,0.212280701754386,30,11,11
V0.5_c1,nobgs,9,emmax,10,19,20,11,0.270676691729323,0.213157894736842,20,0.224376731301939,19,9,9
V0.5_c1,nobgs,9,lfmm,2,19,20,11,0.266447368421053,0.175438596491228,30,0.169779286926995,31,10,10
V0.5_c1,nobgs,9,lfmm,3,19,20,11,0.30622009569378,0.239234449760766,22,0.22883295194508,23,10,10
V0.5_c1,nobgs,9,lfmm,5,19,20,11,0.286549707602339,0.328947368421053,16,0.292397660818713,18,10,10
