null,tau,lmin,obs,nullreg,fdr
global perm.,0.04,15,3,0.2,0.0666666666666667
global perm.,0.04,20,3,0.13,0.0433333333333333
global perm.,0.06,1,55,14.96,0.272
global perm.,0.06,2,16,5.17,0.323125
global perm.,0.06,3,13,3,0.230769230769231
global perm.,0.06,5,8,1.56,0.195
global perm.,0.06,10,3,0.54,0.18
global perm.,0.06,15,3,0.17,0.0566666666666667
global perm.,0.06,20,3,0.11,0.0366666666666667
global perm.,0.08,1,42,13.88,0.33047619047619
global perm.,0.08,2,13,4.76,0.366153846153846
global perm.,0.08,3,8,2.75,0.34375
global perm.,0.08,5,3,1.45,0.483333333333333
global perm.,0.08,10,3,0.5,0.166666666666667
global perm.,0.08,15,1,0.15,0.15
global perm.,0.08,20,1,0.1,0.1
global perm.,0.1,1,35,12.93,0.369428571428571
global perm.,0.1,2,12,4.41,0.3675
global perm.,0.1,3,8,2.59,0.32375
global perm.,0.1,5,3,1.36,0.453333333333333
global perm.,0.1,10,2,0.41,0.205
global perm.,0.1,15,1,0.14,0.14
global perm.,0.1,20,1,0.1,0.1
global perm.,0.12,1,34,12.17,0.357941176470588
global perm.,0.12,2,12,4.07,0.339166666666667
global perm.,0.12,3,7,2.42,0.345714285714286
global perm.,0.12,5,3,1.28,0.426666666666667
global perm.,0.12,10,2,0.39,0.195
global perm.,0.12,15,1,0.12,0.12
global perm.,0.12,20,1,0.09,0.09
global perm.,0.14,1,30,11.42,0.380666666666667
global perm.,0.14,2,11,3.87,0.351818181818182
global perm.,0.14,3,6,2.29,0.381666666666667
global perm.,0.14,5,2,1.21,0.605
global perm.,0.14,10,1,0.36,0.36
global perm.,0.14,15,1,0.1,0.1
global perm.,0.14,20,1,0.08,0.08
global perm.,0.16,1,25,10.95,0.438
global perm.,0.16,2,10,3.73,0.373
global perm.,0.16,3,6,2.19,0.365
global perm.,0.16,5,2,1.14,0.57
global perm.,0.16,10,1,0.36,0.36
global perm.,0.16,15,1,0.1,0.1
global perm.,0.16,20,1,0.07,0.07
global perm.,0.18,1,25,10.44,0.4176
global perm.,0.18,2,9,3.64,0.404444444444444
global perm.,0.18,3,5,2.13,0.426
global perm.,0.18,5,2,1.11,0.555
global perm.,0.18,10,1,0.34,0.34
global perm.,0.18,15,1,0.09,0.09
global perm.,0.18,20,1,0.06,0.06
global perm.,0.2,1,23,9.95,0.432608695652174
global perm.,0.2,2,9,3.51,0.39
global perm.,0.2,3,4,2.06,0.515
global perm.,0.2,5,2,1.08,0.54
global perm.,0.2,10,1,0.32,0.32
global perm.,0.2,15,1,0.09,0.09
global perm.,0.2,20,1,0.06,0.06
global perm.,0.22,1,23,9.5,0.41304347826087
global perm.,0.22,2,9,3.4,0.377777777777778
global perm.,0.22,3,4,1.95,0.4875
global perm.,0.22,5,2,1.06,0.53
global perm.,0.22,10,1,0.27,0.27
global perm.,0.22,15,1,0.09,0.09
global perm.,0.22,20,0,0.06,0.06
global perm.,0.24,1,22,9.1,0.413636363636364
global perm.,0.24,2,9,3.34,0.371111111111111
global perm.,0.24,3,4,1.9,0.475
global perm.,0.24,5,2,1.03,0.515
global perm.,0.24,10,1,0.27,0.27
global perm.,0.24,15,0,0.09,0.09
global perm.,0.24,20,0,0.06,0.06
global perm.,0.26,1,21,8.64,0.411428571428572
global perm.,0.26,2,8,3.21,0.40125
global perm.,0.26,3,3,1.86,0.62
global perm.,0.26,5,2,0.98,0.49
global perm.,0.26,10,1,0.26,0.26
global perm.,0.26,15,0,0.09,0.09
global perm.,0.26,20,0,0.06,0.06
global perm.,0.28,1,20,8.27,0.4135
global perm.,0.28,2,8,3.1,0.3875
global perm.,0.28,3,2,1.82,0.91
global perm.,0.28,5,2,0.95,0.475
global perm.,0.28,10,1,0.23,0.23
global perm.,0.28,15,0,0.08,0.08
global perm.,0.28,20,0,0.06,0.06
global perm.,0.3,1,18,7.94,0.441111111111111
global perm.,0.3,2,8,2.99,0.37375
global perm.,0.3,3,2,1.76,0.88
global perm.,0.3,5,1,0.92,0.92
global perm.,0.3,10,0,0.22,0.22
global perm.,0.3,15,0,0.08,0.08
global perm.,0.3,20,0,0.06,0.06
global perm.,0.32,1,17,7.67,0.451176470588235
global perm.,0.32,2,8,2.91,0.36375
global perm.,0.32,3,2,1.74,0.87
global perm.,0.32,5,1,0.88,0.88
global perm.,0.32,10,0,0.22,0.22
global perm.,0.32,15,0,0.07,0.07
global perm.,0.32,20,0,0.05,0.05
global perm.,0.34,1,16,7.43,0.464375
global perm.,0.34,2,7,2.84,0.405714285714286
global perm.,0.34,3,2,1.7,0.85
global perm.,0.34,5,1,0.86,0.86
global perm.,0.34,10,0,0.22,0.22
global perm.,0.34,15,0,0.07,0.07
global perm.,0.34,20,0,0.05,0.05
global perm.,0.36,1,14,7.03,0.502142857142857
global perm.,0.36,2,6,2.77,0.461666666666667
global perm.,0.36,3,2,1.67,0.835
global perm.,0.36,5,1,0.84,0.84
global perm.,0.36,10,0,0.21,0.21
global perm.,0.36,15,0,0.07,0.07
global perm.,0.36,20,0,0.05,0.05
global perm.,0.38,1,12,6.74,0.561666666666667
global perm.,0.38,2,6,2.71,0.451666666666667
global perm.,0.38,3,2,1.61,0.805
global perm.,0.38,5,1,0.82,0.82
global perm.,0.38,10,0,0.21,0.21
global perm.,0.38,15,0,0.07,0.07
global perm.,0.38,20,0,0.04,0.04
global perm.,0.4,1,12,6.52,0.543333333333333
global perm.,0.4,2,5,2.62,0.524
global perm.,0.4,3,2,1.56,0.78
global perm.,0.4,5,1,0.79,0.79
global perm.,0.4,10,0,0.21,0.21
global perm.,0.4,15,0,0.07,0.07
global perm.,0.4,20,0,0.04,0.04
global perm.,0.42,1,11,6.19,0.562727272727273
global perm.,0.42,2,5,2.54,0.508
global perm.,0.42,3,2,1.53,0.765
global perm.,0.42,5,1,0.79,0.79
global perm.,0.42,10,0,0.21,0.21
global perm.,0.42,15,0,0.07,0.07
global perm.,0.42,20,0,0.04,0.04
global perm.,0.44,1,10,5.87,0.587
global perm.,0.44,2,5,2.46,0.492
global perm.,0.44,3,2,1.47,0.735
global perm.,0.44,5,1,0.77,0.77
global perm.,0.44,10,0,0.21,0.21
global perm.,0.44,15,0,0.07,0.07
global perm.,0.44,20,0,0.04,0.04
global perm.,0.46,1,10,5.55,0.555
global perm.,0.46,2,4,2.45,0.6125
global perm.,0.46,3,2,1.43,0.715
global perm.,0.46,5,1,0.76,0.76
global perm.,0.46,10,0,0.21,0.21
global perm.,0.46,15,0,0.07,0.07
global perm.,0.46,20,0,0.03,0.03
global perm.,0.48,1,9,5.3,0.588888888888889
global perm.,0.48,2,3,2.35,0.783333333333333
global perm.,0.48,3,2,1.39,0.695
global perm.,0.48,5,1,0.73,0.73
global perm.,0.48,10,0,0.19,0.19
global perm.,0.48,15,0,0.07,0.07
global perm.,0.48,20,0,0.03,0.03
global perm.,0.5,1,8,5.06,0.6325
global perm.,0.5,2,3,2.3,0.766666666666667
global perm.,0.5,3,1,1.4,1
global perm.,0.5,5,0,0.72,0.72
global perm.,0.5,10,0,0.18,0.18
global perm.,0.5,15,0,0.07,0.07
global perm.,0.5,20,0,0.02,0.02
regional perm.,0.02,1,134,8.23,0.0614179104477612
regional perm.,0.02,2,61,2.48,0.040655737704918
regional perm.,0.02,3,39,1.31,0.0335897435897436
regional perm.,0.02,5,16,0.59,0.036875
regional perm.,0.02,10,8,0.22,0.0275
regional perm.,0.02,15,6,0.13,0.0216666666666667
regional perm.,0.02,20,5,0.1,0.02
regional perm.,0.04,1,82,6.21,0.0757317073170732
regional perm.,0.04,2,27,1.85,0.0685185185185185
regional perm.,0.04,3,19,1.03,0.0542105263157895
regional perm.,0.04,5,9,0.44,0.0488888888888889
regional perm.,0.04,10,4,0.16,0.04
regional perm.,0.04,15,3,0.1,0.0333333333333333
regional perm.,0.04,20,3,0.08,0.0266666666666667
regional perm.,0.06,1,55,5.49,0.0998181818181818
regional perm.,0.06,2,16,1.68,0.105
regional perm.,0.06,3,13,0.92,0.0707692307692308
regional perm.,0.06,5,8,0.41,0.05125
regional perm.,0.06,10,3,0.15,0.05
regional perm.,0.06,15,3,0.09,0.03
regional perm.,0.06,20,3,0.06,0.02
regional perm.,0.08,1,42,5,0.119047619047619
regional perm.,0.08,2,13,1.53,0.117692307692308
regional perm.,0.08,3,8,0.85,0.10625
regional perm.,0.08,5,3,0.37,0.123333333333333
regional perm.,0.08,10,3,0.12,0.04
regional perm.,0.08,15,1,0.04,0.04
regional perm.,0.08,20,1,0.03,0.03
regional perm.,0.1,1,35,4.57,0.130571428571429
regional perm.,0.1,2,12,1.35,0.1125
regional perm.,0.1,3,8,0.77,0.09625
regional perm.,0.1,5,3,0.3,0.1
regional perm.,0.1,10,2,0.08,0.04
regional perm.,0.1,15,1,0.04,0.04
regional perm.,0.1,20,1,0.03,0.03
regional perm.,0.12,1,34,4.22,0.124117647058824
regional perm.,0.12,2,12,1.24,0.103333333333333
regional perm.,0.12,3,7,0.72,0.102857142857143
regional perm.,0.12,5,3,0.28,0.0933333333333333
regional perm.,0.12,10,2,0.06,0.03
regional perm.,0.12,15,1,0.03,0.03
regional perm.,0.12,20,1,0.02,0.02
regional perm.,0.14,1,30,4,0.133333333333333
regional perm.,0.14,2,11,1.18,0.107272727272727
regional perm.,0.14,3,6,0.67,0.111666666666667
regional perm.,0.14,5,2,0.23,0.115
regional perm.,0.14,10,1,0.06,0.06
regional perm.,0.14,15,1,0.02,0.02
regional perm.,0.14,20,1,0.02,0.02
regional perm.,0.16,1,25,3.75,0.15
regional perm.,0.16,2,10,1.14,0.114
regional perm.,0.16,3,6,0.63,0.105
regional perm.,0.16,5,2,0.23,0.115
regional perm.,0.16,10,1,0.05,0.05
regional perm.,0.16,15,1,0.02,0.02
regional perm.,0.16,20,1,0.02,0.02
regional perm.,0.18,1,25,3.48,0.1392
regional perm.,0.18,2,9,1.12,0.124444444444444
regional perm.,0.18,3,5,0.58,0.116
regional perm.,0.18,5,2,0.21,0.105
regional perm.,0.18,10,1,0.04,0.04
regional perm.,0.18,15,1,0.02,0.02
regional perm.,0.18,20,1,0.02,0.02
regional perm.,0.2,1,23,3.3,0.143478260869565
regional perm.,0.2,2,9,1.02,0.113333333333333
regional perm.,0.2,3,4,0.54,0.135
regional perm.,0.2,5,2,0.15,0.075
regional perm.,0.2,10,1,0.04,0.04
regional perm.,0.2,15,1,0.02,0.02
regional perm.,0.2,20,1,0.02,0.02
regional perm.,0.22,1,23,3.13,0.136086956521739
regional perm.,0.22,2,9,0.95,0.105555555555556
regional perm.,0.22,3,4,0.53,0.1325
regional perm.,0.22,5,2,0.15,0.075
regional perm.,0.22,10,1,0.04,0.04
regional perm.,0.22,15,1,0.02,0.02
regional perm.,0.22,20,0,0.02,0.02
regional perm.,0.24,1,22,2.94,0.133636363636364
regional perm.,0.24,2,9,0.91,0.101111111111111
regional perm.,0.24,3,4,0.48,0.12
regional perm.,0.24,5,2,0.13,0.065
regional perm.,0.24,10,1,0.04,0.04
