tau,lmin,n_regions,n_hit,prop_hit,fold,recall,F1,fold_cap
0.15,12,25,8,0.32,1.20391271632807,0.0984455958549223,0.150569588905399,1.20391271632807
0.15,13,19,7,0.368421052631579,1.18143459915612,0.0932642487046632,0.148848198464265,1.18143459915612
0.15,14,14,6,0.428571428571429,1.40679953106682,0.0829015544041451,0.138929088277858,1.40679953106682
0.15,15,10,5,0.5,1.19189511323004,0.077720207253886,0.134529147982063,1.19189511323004
0.2,1,351,40,0.113960113960114,1.18168389955687,0.22279792746114,0.150791215535002,1.18168389955687
0.2,2,170,24,0.141176470588235,1.21150933871782,0.176165803108808,0.156742220514791,1.21150933871782
0.2,3,116,21,0.181034482758621,1.31909547738693,0.170984455958549,0.175866006851922,1.31909547738693
0.2,4,91,14,0.153846153846154,1.03321033210332,0.129533678756477,0.140646976090014,1.03321033210332
0.2,5,72,14,0.194444444444444,1.18493440541684,0.129533678756477,0.155486450466459,1.18493440541684
0.2,6,59,13,0.220338983050847,1.22583686940123,0.119170984455959,0.154681841696844,1.22583686940123
0.2,7,52,12,0.230769230769231,1.21396054628225,0.113989637305699,0.152601156069364,1.21396054628225
0.2,8,43,11,0.255813953488372,1.22767857142857,0.10880829015544,0.152676801057502,1.22767857142857
0.2,9,39,10,0.256410256410256,1.15406809001731,0.103626943005181,0.14760147601476,1.15406809001731
0.2,10,33,10,0.303030303030303,1.25,0.103626943005181,0.154440154440154,1.25
0.2,11,24,7,0.291666666666667,1.06060606060606,0.0880829015544041,0.135304150085276,1.06060606060606
0.2,12,21,6,0.285714285714286,1.10599078341014,0.0829015544041451,0.1285140562249,1.10599078341014
0.2,13,15,6,0.4,1.26715945089757,0.0829015544041451,0.137339055793991,1.26715945089757
0.2,14,12,6,0.5,1.36054421768707,0.0829015544041451,0.142222222222222,1.36054421768707
0.2,15,9,5,0.555555555555556,1.33155792276964,0.077720207253886,0.136363636363636,1.33155792276964
0.25,1,329,39,0.11854103343465,1.24184047126254,0.217616580310881,0.153478566408995,1.24184047126254
0.25,2,165,24,0.145454545454545,1.21457489878543,0.170984455958549,0.157189639773742,1.21457489878543
0.25,3,111,19,0.171171171171171,1.28205128205128,0.155440414507772,0.162926968700872,1.28205128205128
0.25,4,90,14,0.155555555555556,1.05660377358491,0.129533678756477,0.141357027463651,1.05660377358491
0.25,5,72,14,0.194444444444444,1.18795078489605,0.129533678756477,0.155486450466459,1.18795078489605
0.25,6,55,12,0.218181818181818,1.18343195266272,0.113989637305699,0.149744753261486,1.18343195266272
0.25,7,47,11,0.234042553191489,1.13989637305699,0.10880829015544,0.148553054662379,1.13989637305699
0.25,8,40,11,0.275,1.2450481041313,0.10880829015544,0.155923050961863,1.2450481041313
0.25,9,36,10,0.277777777777778,1.20192307692308,0.103626943005181,0.150943396226415,1.20192307692308
0.25,10,32,9,0.28125,1.10091743119266,0.0984455958549223,0.145842217484009,1.10091743119266
0.25,11,24,7,0.291666666666667,1.10847189231987,0.0880829015544041,0.135304150085276,1.10847189231987
0.25,12,20,6,0.3,1.13100848256362,0.0829015544041451,0.129905277401894,1.13100848256362
0.25,13,14,6,0.428571428571429,1.34078212290503,0.0829015544041451,0.138929088277858,1.34078212290503
0.25,14,11,6,0.545454545454545,1.54043645699615,0.0829015544041451,0.143928035982009,1.54043645699615
0.25,15,9,5,0.555555555555556,1.33155792276964,0.077720207253886,0.136363636363636,1.33155792276964
0.3,1,294,34,0.115646258503401,1.20588756871786,0.191709844559585,0.144266055045872,1.20588756871786
0.3,2,154,23,0.149350649350649,1.22535961640916,0.150259067357513,0.149803481190343,1.22535961640916
0.3,3,107,16,0.149532710280374,1.16448326055313,0.124352331606218,0.135785007072136,1.16448326055313
0.3,4,88,14,0.159090909090909,1.0993325480958,0.113989637305699,0.132815868909013,1.0993325480958
0.3,5,71,14,0.197183098591549,1.19811724433034,0.113989637305699,0.144465290806754,1.19811724433034
0.3,6,55,12,0.218181818181818,1.21703853955375,0.0984455958549223,0.135673906575424,1.21703853955375
0.3,7,42,10,0.238095238095238,1.19402985074627,0.0880829015544041,0.128593040847201,1.19402985074627
0.3,8,38,10,0.263157894736842,1.27469725940089,0.0880829015544041,0.131987577639752,1.27469725940089
0.3,9,32,9,0.28125,1.20886501007388,0.0829015544041451,0.128056914184082,1.20886501007388
0.3,10,29,8,0.275862068965517,1.16026105873822,0.077720207253886,0.121273370389085,1.16026105873822
0.3,11,23,7,0.304347826086957,1.2280701754386,0.0725388601036269,0.117154811715481,1.2280701754386
0.3,12,19,6,0.315789473684211,1.29032258064516,0.0673575129533679,0.111032028469751,1.29032258064516
0.3,13,13,6,0.461538461538462,1.51706700379267,0.0673575129533679,0.117558402411454,1.51706700379267
0.3,14,11,6,0.545454545454545,1.66204986149585,0.0673575129533679,0.119907763259032,1.66204986149585
0.3,15,6,4,0.666666666666667,1.58730158730159,0.0518134715025907,0.0961538461538461,1.58730158730159
0.35,1,272,28,0.102941176470588,1.11598246313272,0.16580310880829,0.127020130422455,1.11598246313272
