arm,cell,tag,env,n_test,regions,tp,precision,recall,on_ntrl,FDP_ntrl,n_qtn
single SNP,V1_c1.5,bgs,1,262870,7,2,0.285714285714286,0.130434782608696,3,0.834021174823543,23
consensus (no n penalty),V1_c1.5,bgs,1,76254,3,0,0,0,1,0.648683135973867,23
cluster-then-test,V1_c1.5,bgs,2,76238,21,3,0.142857142857143,0.12,7,0.641410062258119,25
test-then-cluster,V1_c1.5,bgs,2,81211,34,5,0.147058823529412,0.2,14,0.769692074709743,25
single SNP,V1_c1.5,bgs,2,265155,104,9,0.0865384615384615,0.4,49,0.881189524784518,25
consensus (no n penalty),V1_c1.5,bgs,2,76238,47,4,0.0851063829787234,0.16,26,1.06446776289645,25
cluster-then-test,V1_c1.5,bgs,3,75866,0,0,0,0,0,0,27
test-then-cluster,V1_c1.5,bgs,3,80700,1,1,1,0.037037037037037,0,0,27
single SNP,V1_c1.5,bgs,3,262947,1,1,1,0.037037037037037,0,0,27
consensus (no n penalty),V1_c1.5,bgs,3,75866,3,0,0,0,2,1.32804677379827,27
cluster-then-test,V1_c1.5,bgs,4,77260,0,0,0,0,0,0,23
test-then-cluster,V1_c1.5,bgs,4,82121,0,0,0,0,0,0,23
single SNP,V1_c1.5,bgs,4,264586,0,0,0,0,0,0,23
consensus (no n penalty),V1_c1.5,bgs,4,77260,0,0,0,0,0,0,23
cluster-then-test,V1_c1.5,bgs,5,75723,2,0,0,0,2,1.96148167335837,22
test-then-cluster,V1_c1.5,bgs,5,80919,3,0,0,0,2,1.30765444890558,22
single SNP,V1_c1.5,bgs,5,263214,5,0,0,0,4,1.5691853386867,22
consensus (no n penalty),V1_c1.5,bgs,5,75723,0,0,0,0,0,0,22
cluster-then-test,V1_c1.5,bgs,6,76175,24,4,0.166666666666667,0.25,6,0.471623155505108,20
test-then-cluster,V1_c1.5,bgs,6,81276,30,6,0.2,0.35,8,0.507121672586138,20
single SNP,V1_c1.5,bgs,6,264762,121,7,0.0578512396694215,0.4,46,0.740938017528516,20
consensus (no n penalty),V1_c1.5,bgs,6,76175,24,1,0.0416666666666667,0.1,11,0.900669220582671,20
cluster-then-test,V1_c1.5,bgs,7,75818,2,1,0.5,0.0434782608695652,0,0,23
test-then-cluster,V1_c1.5,bgs,7,80742,5,1,0.2,0.0434782608695652,2,0.785882352941177,23
