cell,tag,env,dcap,n_units,regions,precision,recall,med_span_kb,max_span_Mb,widest_q_precision,pct_over_1Mb,n_qtn
V0.5_c2,bgs,4,1e+05,61123,3,0,0,541.503,7.943608,0,33.3333333333333,37
V0.5_c2,bgs,4,3e+05,59917,1,0,0,15859.191,15.859191,0,100,37
V0.5_c2,bgs,5,10000,66862,7,0,0,978.377,14.523643,0,42.8571428571429,30
V0.5_c2,bgs,5,30000,64229,4,0,0,4159.0675,14.273134,0,50,30
V0.5_c2,bgs,5,1e+05,61060,1,0,0,6.824,0.006824,0,0,30
V0.5_c2,bgs,5,3e+05,59859,1,0,0,45.968,0.045968,0,0,30
V1_c1.5,nobgs,1,10000,93611,8,0.375,0.136363636363636,576.675,1.999,0.5,25,22
V1_c1.5,nobgs,1,30000,92588,8,0.375,0.136363636363636,686.905,10.472179,0.5,37.5,22
V1_c1.5,nobgs,1,1e+05,91185,2,0.5,0.0454545454545455,51.775,0.10355,0.5,0,22
V1_c1.5,nobgs,1,3e+05,90351,2,0.5,0.0909090909090909,4599.3005,9.198601,0.5,50,22
V1_c1.5,nobgs,2,10000,94254,10,0,0,198.612,1.645775,0,20,29
V1_c1.5,nobgs,2,30000,93223,10,0,0,507.455,1.645775,0,30,29
V1_c1.5,nobgs,2,1e+05,91759,10,0,0,1216.2585,10.491128,0,60,29
V1_c1.5,nobgs,2,3e+05,90986,6,0.166666666666667,0.0344827586206897,989.255,17.02605,0.5,50,29
V1_c1.5,nobgs,3,10000,93712,3,0.333333333333333,0.04,90.247,0.219549,0.333333333333333,0,25
V1_c1.5,nobgs,3,30000,92615,3,0.333333333333333,0.04,219.549,9.832902,0.333333333333333,33.3333333333333,25
V1_c1.5,nobgs,3,1e+05,91104,2,0.5,0.04,4577.063,9.063879,0.5,50,25
V1_c1.5,nobgs,3,3e+05,90321,2,0.5,0.04,976.0655,1.035609,0.5,50,25
V1_c1.5,bgs,1,10000,80063,1,0,0,25.653,0.025653,0,0,23
V1_c1.5,bgs,1,30000,78226,1,0,0,25.653,0.025653,0,0,23
V1_c1.5,bgs,1,1e+05,76254,2,0,0,78.5895,0.131526,0,0,23
V1_c1.5,bgs,1,3e+05,75530,1,0,0,25.653,0.025653,0,0,23
V1_c1.5,bgs,2,10000,79981,37,0.108108108108108,0.16,149.456,3.861885,0.375,18.9189189189189,25
V1_c1.5,bgs,2,30000,78128,34,0.0882352941176471,0.12,130.916,11.638093,0.428571428571429,23.5294117647059,25
V1_c1.5,bgs,2,1e+05,76238,21,0.142857142857143,0.12,837.711,16.462283,0.6,47.6190476190476,25
V1_c1.5,bgs,2,3e+05,75535,11,0.0909090909090909,0.04,313.832,21.870324,0,45.4545454545455,25
V1_c1.5,bgs,3,10000,79518,1,1,0.037037037037037,2903.739,2.903739,1,100,27
V1_c1.5,bgs,3,30000,77705,1,1,0.037037037037037,2903.739,2.903739,1,100,27
V1_c1.5,bgs,5,10000,79620,3,0,0,187.356,7.155386,0,33.3333333333333,22
V1_c1.5,bgs,5,30000,77668,3,0,0,187.356,7.155386,0,33.3333333333333,22
V1_c1.5,bgs,5,1e+05,75723,2,0,0,3604.021,7.208042,0,50,22
V1_c1.5,bgs,5,3e+05,74946,2,0,0,7004.1265,14.008253,0,50,22
V2_c1,nobgs,1,10000,104544,2,0.5,0.1,251.6925,0.503385,0.5,0,10
V2_c1,nobgs,1,30000,104482,2,0.5,0.1,251.6925,0.503385,0.5,0,10
V2_c1,nobgs,1,1e+05,104374,2,0.5,0.1,251.6925,0.503385,0.5,0,10
V2_c1,nobgs,1,3e+05,104255,2,0.5,0.1,251.6925,0.503385,0.5,0,10
V2_c1,nobgs,2,10000,104605,17,0.176470588235294,0.272727272727273,0,1.000864,0.5,5.88235294117647,11
V2_c1,nobgs,2,30000,104541,17,0.176470588235294,0.272727272727273,0,1.000864,0.5,5.88235294117647,11
V2_c1,nobgs,2,1e+05,104416,17,0.176470588235294,0.272727272727273,0,1.000864,0.5,5.88235294117647,11
V2_c1,nobgs,2,3e+05,104285,17,0.176470588235294,0.272727272727273,0,1.000864,0.5,5.88235294117647,11
V2_c1,nobgs,3,10000,103721,17,0.352941176470588,0.375,183.241,2.305159,0.4,23.8095238095238,16
V2_c1,nobgs,3,30000,103639,15,0.4,0.375,236.837,2.93416,0.5,22.2222222222222,16
V2_c1,nobgs,3,1e+05,103512,13,0.461538461538462,0.375,330.557,2.93416,0.5,31.25,16
V2_c1,nobgs,3,3e+05,103403,11,0.545454545454545,0.375,285.956,4.526613,0.666666666666667,15.3846153846154,16
V2_c1,nobgs,4,10000,105716,7,0.714285714285714,0.5,92.125,0.991097,1,0,10
V2_c1,nobgs,4,30000,105642,7,0.714285714285714,0.5,92.125,0.991097,1,0,10
V2_c1,nobgs,4,1e+05,105523,6,0.833333333333333,0.5,112.756,0.991097,1,0,10
V2_c1,nobgs,4,3e+05,105411,6,0.833333333333333,0.5,112.756,0.991097,1,0,10
V2_c1,nobgs,5,10000,104864,1,1,0.0714285714285714,23.03,0.040502,0.5,0,14
