cell,tag,env,partition,statistic,engine,n_test,regions,tp,precision,recall,widest_Mb,med_occupancy,occ_all_units,widest_all_Mb,n_qtn
V0.5_c1,nobgs,10,stage 2,Simes,LFMM,103749,36,10,0.277777777777778,0.523809523809524,4.807848,0.177661615827433,1,4.807848,21
V0.5_c1,nobgs,10,stage 1,Simes,LFMM,104204,40,10,0.25,0.523809523809524,4.807848,0.1875,1,4.807848,21
V0.5_c1,nobgs,10,stage 2,consensus,LFMM,103749,102,11,0.107843137254902,0.571428571428571,4.807848,0.212354188759279,1,4.807848,21
V0.5_c2,nobgs,1,stage 2,Simes,EMMAX,72230,9,2,0.222222222222222,0.0588235294117647,12.87932,0.0191082802547771,1,28.445447,34
V0.5_c2,nobgs,1,stage 1,Simes,EMMAX,77412,17,4,0.235294117647059,0.117647058823529,15.950698,0.0191082802547771,1,28.445447,34
V0.5_c2,nobgs,1,stage 2,consensus,EMMAX,72230,16,2,0.125,0.0588235294117647,14.419221,0.0157784572654113,1,28.445447,34
V0.5_c2,nobgs,1,stage 2,Simes,LFMM,72230,83,7,0.0843373493975904,0.235294117647059,28.445447,0.0170940170940171,1,28.445447,34
V0.5_c2,nobgs,1,stage 1,Simes,LFMM,77412,131,8,0.0610687022900763,0.264705882352941,28.445447,0.0139893873613121,1,28.445447,34
V0.5_c2,nobgs,1,stage 2,consensus,LFMM,72230,180,13,0.0722222222222222,0.411764705882353,28.445447,0.0135843722746316,1,28.445447,34
V0.5_c2,nobgs,2,stage 2,Simes,EMMAX,73046,102,4,0.0392156862745098,0.105263157894737,28.552914,0.0180189111701219,1,28.680163,38
V0.5_c2,nobgs,2,stage 1,Simes,EMMAX,78251,160,8,0.05,0.236842105263158,28.651379,0.0195637871399328,1,28.680163,38
V0.5_c2,nobgs,2,stage 2,consensus,EMMAX,73046,146,4,0.0273972602739726,0.105263157894737,26.604252,0.0220264317180617,1,28.680163,38
V0.5_c2,nobgs,2,stage 2,Simes,LFMM,73046,532,12,0.0225563909774436,0.368421052631579,28.651379,0.0497464375970618,1,28.680163,38
V0.5_c2,nobgs,2,stage 1,Simes,LFMM,78251,676,13,0.0192307692307692,0.394736842105263,28.651379,0.0538218111002921,1,28.680163,38
V0.5_c2,nobgs,2,stage 2,consensus,LFMM,73046,1103,17,0.0154125113327289,0.5,28.651379,0.0842198581560284,1,28.680163,38
V0.5_c2,nobgs,3,stage 2,Simes,EMMAX,72600,61,9,0.147540983606557,0.285714285714286,25.21614,0.0127198987018469,1,30.013383,35
V0.5_c2,nobgs,3,stage 1,Simes,EMMAX,77774,82,11,0.134146341463415,0.342857142857143,25.21614,0.0146393398988555,1,30.013383,35
V0.5_c2,nobgs,3,stage 2,consensus,EMMAX,72600,75,6,0.08,0.171428571428571,25.21614,0.0126198672018877,1,30.013383,35
V0.5_c2,nobgs,3,stage 2,Simes,LFMM,72600,131,15,0.114503816793893,0.485714285714286,25.21614,0.013409743392429,1,30.013383,35
V0.5_c2,nobgs,3,stage 1,Simes,LFMM,77774,160,15,0.09375,0.485714285714286,25.21614,0.0136578211524755,1,30.013383,35
V0.5_c2,nobgs,3,stage 2,consensus,LFMM,72600,249,17,0.0682730923694779,0.542857142857143,25.21614,0.0161516853932584,1,30.013383,35
V0.5_c2,nobgs,4,stage 2,Simes,EMMAX,73546,11,2,0.181818181818182,0.0540540540540541,17.502187,0.0247933884297521,1,27.597578,37
