arm,cell,tag,env,n_test,regions,tp,precision,recall,on_ntrl,FDP_ntrl,n_qtn
cluster-then-test,V0.5_c2,nobgs,8,73774,119,6,0.0504201680672269,0.212121212121212,71,1.09439226639388,33
test-then-cluster,V0.5_c2,nobgs,8,79033,157,7,0.0445859872611465,0.242424242424242,89,1.04805460066607,33
single SNP,V0.5_c2,nobgs,8,367971,379,8,0.0211081794195251,0.272727272727273,198,0.980135669317713,33
consensus (no n penalty),V0.5_c2,nobgs,8,73774,94,5,0.0531914893617021,0.181818181818182,54,1.05546006002442,33
cluster-then-test,V0.5_c2,nobgs,9,71961,2,2,1,0.0857142857142857,0,0,35
test-then-cluster,V0.5_c2,nobgs,9,77054,2,2,1,0.0857142857142857,0,0,35
single SNP,V0.5_c2,nobgs,9,370766,9,2,0.222222222222222,0.0857142857142857,3,0.622666978168886,35
consensus (no n penalty),V0.5_c2,nobgs,9,71961,2,1,0.5,0.0285714285714286,0,0,35
cluster-then-test,V0.5_c2,nobgs,10,74139,52,3,0.0576923076923077,0.0909090909090909,24,0.892837573385519,33
test-then-cluster,V0.5_c2,nobgs,10,79175,69,3,0.0434782608695652,0.0909090909090909,29,0.813042911029808,33
single SNP,V0.5_c2,nobgs,10,374870,109,4,0.036697247706422,0.121212121212121,48,0.851881721395357,33
consensus (no n penalty),V0.5_c2,nobgs,10,74139,13,2,0.153846153846154,0.0606060606060606,4,0.595225048923679,33
cluster-then-test,V1_c1.5,nobgs,1,91185,2,1,0.5,0.0454545454545455,1,0.954716783582871,22
test-then-cluster,V1_c1.5,nobgs,1,94293,9,5,0.555555555555556,0.318181818181818,1,0.212159285240638,22
single SNP,V1_c1.5,nobgs,1,326745,36,8,0.222222222222222,0.454545454545455,11,0.552730769442715,22
consensus (no n penalty),V1_c1.5,nobgs,1,91185,6,3,0.5,0.136363636363636,1,0.318238927860957,22
cluster-then-test,V1_c1.5,nobgs,2,91759,10,0,0,0,0,0,29
test-then-cluster,V1_c1.5,nobgs,2,94988,10,0,0,0,0,0,29
