l_min,PR_AUC,method,env,gif
8,0.451617826617827,ldw_b,2,0.963209165724977
1,0.538947117308462,ldw_b,3,0.939184625484273
2,0.43304714261071,ldw_b,3,0.939184625484273
4,0.48902564649048,ldw_b,3,0.939184625484273
8,0.491968325791855,ldw_b,3,0.939184625484273
1,0.39926175065769,ldw_b,4,0.915886894954039
2,0.448533832725009,ldw_b,4,0.915886894954039
4,0.536786786786787,ldw_b,4,0.915886894954039
8,0.449074074074074,ldw_b,4,0.915886894954039
1,0.254301075268817,ldw_b,5,0.96755026942166
2,0.363636363636364,ldw_b,5,0.96755026942166
4,0.363636363636364,ldw_b,5,0.96755026942166
8,0.272727272727273,ldw_b,5,0.96755026942166
1,0.000874125874125874,ldw_b,6,0.956646784034158
2,0.00192307692307692,ldw_b,6,0.956646784034158
4,0.00427350427350427,ldw_b,6,0.956646784034158
8,0.00769230769230769,ldw_b,6,0.956646784034158
1,0.158622782446312,ldw_b,7,0.915352026224929
2,0.111851851851852,ldw_b,7,0.915352026224929
4,0.123756613756614,ldw_b,7,0.915352026224929
8,0.117566137566138,ldw_b,7,0.915352026224929
1,0.251122832645603,ldw_b,8,0.911368131563321
2,0.299867543171115,ldw_b,8,0.911368131563321
4,0.374956488443331,ldw_b,8,0.911368131563321
8,0.233630952380952,ldw_b,8,0.911368131563321
1,,ldw_b,9,0.889410714472328
2,,ldw_b,9,0.889410714472328
4,,ldw_b,9,0.889410714472328
8,,ldw_b,9,0.889410714472328
1,0.0477453580901857,ldw_b,10,0.941871450814718
2,0.0477869780990398,ldw_b,10,0.941871450814718
4,0.0863076834613837,ldw_b,10,0.941871450814718
8,0.104945054945055,ldw_b,10,0.941871450814718
