cell,tag,engine,l_min,n_true,n_markers,n_Cgt0,n_BH05,PR_AUC_C,PR_AUC_alpha
V2_c1_env4,nobgs,lfmm,1,10,304694,842,421,0.60615411806292,0.720064102564103
V2_c1_env4,nobgs,lfmm,3,10,304694,842,421,0.56375,0.678612834533887
V2_c1_env5,bgs,emmax,1,9,229858,96,12,0.314814814814815,0.476788432267884
V2_c1_env5,bgs,emmax,3,9,229858,96,12,0.111111111111111,0.361111111111111
V2_c1_env5,bgs,lfmm,1,9,229858,235,146,0.517543859649123,0.474809368191721
V2_c1_env5,bgs,lfmm,3,9,229858,235,146,0.37037037037037,0.475308641975309
V2_c1_env5,nobgs,emmax,1,14,304589,1052,472,0.485646076612463,0.405739495435048
V2_c1_env5,nobgs,emmax,3,14,304589,1052,472,0.428571428571429,0.395833333333333
V2_c1_env5,nobgs,lfmm,1,14,304589,819,116,0.526643990929705,0.464691558441558
V2_c1_env5,nobgs,lfmm,3,14,304589,819,116,0.463203463203463,0.474008834302952
V2_c1_env6,bgs,emmax,1,12,234855,293,112,0.207867484919724,0.188024060045542
V2_c1_env6,bgs,emmax,3,12,234855,293,112,0.32199494949495,0.226081854149988
V2_c1_env6,bgs,lfmm,1,12,234855,841,223,0.467025862068966,0.283512879961051
V2_c1_env6,bgs,lfmm,3,12,234855,841,223,0.460681216931217,0.391115753360696
V2_c1_env6,nobgs,emmax,1,11,307147,1404,725,0.251251239182274,0.268763994044312
V2_c1_env6,nobgs,emmax,3,11,307147,1404,725,0.450413223140496,0.348095573676969
V2_c1_env6,nobgs,lfmm,1,11,307147,881,500,0.381313131313131,0.300603527135342
V2_c1_env6,nobgs,lfmm,3,11,307147,881,500,0.269987105093488,0.277181121604116
V2_c1_env7,bgs,emmax,1,15,233384,379,242,0.443253968253968,0.372242028124381
V2_c1_env7,bgs,emmax,3,15,233384,379,242,0.395238095238095,0.372619047619048
V2_c1_env7,bgs,lfmm,1,15,233384,409,247,0.487843137254902,0.476715800352671
V2_c1_env7,bgs,lfmm,3,15,233384,409,247,0.499047619047619,0.475692640692641
V2_c1_env7,nobgs,emmax,1,15,298200,1805,5,0.445055965055965,0.277948910435125
V2_c1_env7,nobgs,emmax,3,15,298200,1805,5,0.389444444444444,0.275498596011232
V2_c1_env7,nobgs,lfmm,1,15,298200,254,15,0.517050264550265,0.320030345791767
V2_c1_env7,nobgs,lfmm,3,15,298200,254,15,0.391666666666667,0.30504562533548
V2_c1_env8,bgs,emmax,1,11,234127,282,67,0.252955787382017,0.116095553283253
V2_c1_env8,bgs,emmax,3,11,234127,282,67,0.263429752066116,0.166359541359541
V2_c1_env8,bgs,lfmm,1,11,234127,663,214,0.453574203574204,0.249588456666888
V2_c1_env8,bgs,lfmm,3,11,234127,663,214,0.435822510822511,0.178362573099415
V2_c1_env8,nobgs,emmax,1,16,303448,1035,509,0.410523504273504,0.202691873172494
V2_c1_env8,nobgs,emmax,3,16,303448,1035,509,0.3671875,0.323626942930721
V2_c1_env8,nobgs,lfmm,1,16,303448,1139,659,0.462311126373626,0.388210541760507
V2_c1_env8,nobgs,lfmm,3,16,303448,1139,659,0.479861111111111,0.442772535435579
V2_c1_env9,bgs,emmax,1,11,235478,9,0,0,0.0151515151515152
V2_c1_env9,bgs,emmax,3,11,235478,9,0,0,0
V2_c1_env9,bgs,lfmm,1,11,235478,14,0,0.0113636363636364,0.0328282828282828
V2_c1_env9,bgs,lfmm,3,11,235478,14,0,0,0
V2_c1_env9,nobgs,emmax,1,17,303632,2,0,0,0
V2_c1_env9,nobgs,emmax,3,17,303632,2,0,,0
V2_c1_env9,nobgs,lfmm,1,17,303632,1,0,0,0.00392156862745098
V2_c1_env9,nobgs,lfmm,3,17,303632,1,0,,0.0147058823529412
V2_c1_env10,bgs,emmax,1,14,234890,243,117,0.310657596371882,0.361811391223156
V2_c1_env10,bgs,emmax,3,14,234890,243,117,0.270408163265306,0.290230955485193
V2_c1_env10,bgs,lfmm,1,14,234890,873,174,0.318171114599686,0.401211734693878
V2_c1_env10,bgs,lfmm,3,14,234890,873,174,0.336376728110599,0.301236449864499
V2_c1_env10,nobgs,emmax,1,13,302347,1952,1225,0.393717948717949,0.283946488294314
V2_c1_env10,nobgs,emmax,3,13,302347,1952,1225,0.480448717948718,0.266050730091826
V2_c1_env10,nobgs,lfmm,1,13,302347,1405,487,0.230186760050909,0.289257457095653
V2_c1_env10,nobgs,lfmm,3,13,302347,1405,487,0.383183813704906,0.260805860805861
