cell,tag,engine,l_min,n_true,n_markers,n_Cgt0,n_BH05,recall_cap,max_recall_C,max_recall_alpha,PR_AUC_C,PR_AUC_alpha,PR_AUC_C_cs,PR_AUC_alpha_cs
V0.5_c1_env4,bgs,lfmm,3,15,230441,536,180,0.733333333333333,0.733333333333333,0.733333333333333,0.634160052910053,0.617259259259259,0.634160052910053,0.617259259259259
V0.5_c1_env4,nobgs,emmax,1,19,298132,2711,1135,0.842105263157895,0.842105263157895,0.894736842105263,0.194624246815984,0.500228648749071,0.194624246815984,0.498359272549119
V0.5_c1_env4,nobgs,emmax,3,19,298132,2711,1135,0.789473684210526,0.789473684210526,0.789473684210526,0.243735788021502,0.545402795033953,0.243735788021502,0.545402795033953
V0.5_c1_env4,nobgs,lfmm,1,19,298132,2940,1257,0.947368421052632,0.947368421052632,0.947368421052632,0.208813137770675,0.473290316367133,0.208813137770675,0.473290316367133
V0.5_c1_env4,nobgs,lfmm,3,19,298132,2940,1257,0.842105263157895,0.842105263157895,0.894736842105263,0.261763710891931,0.533980040049574,0.261763710891931,0.52618937695115
V0.5_c1_env5,bgs,emmax,1,14,223170,1075,344,0.857142857142857,0.857142857142857,0.857142857142857,0.240652660364496,0.623879551820728,0.240652660364496,0.623879551820728
V0.5_c1_env5,bgs,emmax,3,14,223170,1075,344,0.857142857142857,0.857142857142857,0.857142857142857,0.287675666792617,0.567622288795578,0.287675666792617,0.567622288795578
V0.5_c1_env5,bgs,lfmm,1,14,223170,1222,559,0.857142857142857,0.857142857142857,0.928571428571429,0.233912146055003,0.711242443896412,0.233912146055003,0.690269289533995
V0.5_c1_env5,bgs,lfmm,3,14,223170,1222,559,0.857142857142857,0.857142857142857,0.857142857142857,0.293981228855178,0.664498299319728,0.293981228855178,0.664498299319728
V0.5_c1_env5,nobgs,emmax,1,17,294251,3765,1571,0.823529411764706,0.823529411764706,0.823529411764706,0.264856788615033,0.421089113211882,0.264856788615033,0.421089113211882
V0.5_c1_env5,nobgs,emmax,3,17,294251,3765,1571,0.764705882352941,0.823529411764706,0.764705882352941,0.30437535817295,0.319072487089607,0.29108204084602,0.319072487089607
V0.5_c1_env5,nobgs,lfmm,1,17,294251,787,294,0.588235294117647,0.588235294117647,0.588235294117647,0.21064803789262,0.45506162132706,0.21064803789262,0.45506162132706
V0.5_c1_env5,nobgs,lfmm,3,17,294251,787,294,0.529411764705882,0.529411764705882,0.529411764705882,0.229062892125176,0.301131937309041,0.229062892125176,0.301131937309041
V0.5_c1_env6,bgs,emmax,1,17,228467,499,260,0.588235294117647,0.588235294117647,0.647058823529412,0.30536900521256,0.505966938565861,0.30536900521256,0.497119023047816
V0.5_c1_env6,bgs,emmax,3,17,228467,499,260,0.529411764705882,0.529411764705882,0.588235294117647,0.395074696545285,0.510308875616362,0.395074696545285,0.488970588235294
V0.5_c1_env6,bgs,lfmm,1,17,228467,886,396,0.705882352941177,0.705882352941177,0.705882352941177,0.273161446144054,0.581839632782938,0.273161446144054,0.581839632782938
V0.5_c1_env6,bgs,lfmm,3,17,228467,886,396,0.588235294117647,0.588235294117647,0.588235294117647,0.417194570135747,0.51770435446906,0.417194570135747,0.51770435446906
V0.5_c1_env6,nobgs,emmax,1,16,297429,4262,2960,0.5625,0.5625,0.5625,0.116226438492064,0.183530992586691,0.116226438492064,0.183530992586691
V0.5_c1_env6,nobgs,emmax,3,16,297429,4262,2960,0.5625,0.5625,0.5625,0.16587511025011,0.262342114636418,0.16587511025011,0.262342114636418
V0.5_c1_env6,nobgs,lfmm,1,16,297429,4026,2253,0.5625,0.5625,0.5625,0.135645292207792,0.277386837808418,0.135645292207792,0.277386837808418
V0.5_c1_env6,nobgs,lfmm,3,16,297429,4026,2253,0.5625,0.5625,0.5625,0.199368686868687,0.349794290653555,0.199368686868687,0.349794290653555
V0.5_c1_env7,bgs,emmax,1,19,228676,815,264,0.789473684210526,0.789473684210526,0.789473684210526,0.500169782914672,0.65517717377754,0.500169782914672,0.65517717377754
V0.5_c1_env7,bgs,emmax,3,19,228676,815,264,0.631578947368421,0.631578947368421,0.736842105263158,0.39109857978279,0.519039786967419,0.39109857978279,0.490726817042607
V0.5_c1_env7,bgs,lfmm,1,19,228676,850,282,0.842105263157895,0.842105263157895,0.842105263157895,0.520409719433735,0.691169299629703,0.520409719433735,0.691169299629703
V0.5_c1_env7,bgs,lfmm,3,19,228676,850,282,0.68421052631579,0.68421052631579,0.842105263157895,0.410562865497076,0.568766543551862,0.410562865497076,0.529177439212065
V0.5_c1_env7,nobgs,emmax,1,17,288782,4346,1724,0.588235294117647,0.588235294117647,0.588235294117647,0.110440172776738,0.350524273880675,0.110440172776738,0.350524273880675
V0.5_c1_env7,nobgs,emmax,3,17,288782,4346,1724,0.529411764705882,0.529411764705882,0.529411764705882,0.267647058823529,0.368197231045528,0.267647058823529,0.368197231045528
V0.5_c1_env7,nobgs,lfmm,1,17,288782,2437,885,0.647058823529412,0.647058823529412,0.647058823529412,0.278766825087099,0.345510426392779,0.278766825087099,0.345510426392779
V0.5_c1_env7,nobgs,lfmm,3,17,288782,2437,885,0.647058823529412,0.647058823529412,0.647058823529412,0.42479815455594,0.495879157673999,0.42479815455594,0.495879157673999
V0.5_c1_env8,bgs,emmax,1,20,230567,1599,592,0.75,0.75,0.75,0.17665413069195,0.361925636266056,0.17665413069195,0.361925636266056
V0.5_c1_env8,bgs,emmax,3,20,230567,1599,592,0.7,0.7,0.7,0.236848991848992,0.325602876974219,0.236848991848992,0.325602876974219
V0.5_c1_env8,bgs,lfmm,1,20,230567,2400,967,0.75,0.75,0.8,0.223287870119964,0.435518055838062,0.223287870119964,0.431654512639201
V0.5_c1_env8,bgs,lfmm,3,20,230567,2400,967,0.7,0.7,0.75,0.281536792091712,0.424165373381292,0.281536792091712,0.415608119591079
V0.5_c1_env8,nobgs,emmax,1,23,297425,5028,2857,0.695652173913044,0.695652173913044,0.695652173913044,0.153383281922279,0.291033389749689,0.153383281922279,0.291033389749689
V0.5_c1_env8,nobgs,emmax,3,23,297425,5028,2857,0.652173913043478,0.652173913043478,0.652173913043478,0.228707294991299,0.332729499105972,0.228707294991299,0.332729499105972
V0.5_c1_env8,nobgs,lfmm,1,23,297425,3433,1377,0.695652173913044,0.695652173913044,0.695652173913044,0.20642258227283,0.239231348751709,0.20642258227283,0.239231348751709
V0.5_c1_env8,nobgs,lfmm,3,23,297425,3433,1377,0.652173913043478,0.652173913043478,0.652173913043478,0.335711107478842,0.375104815658427,0.335711107478842,0.375104815658427
V0.5_c1_env9,bgs,emmax,1,20,231231,416,71,0.45,0.45,0.45,0.353113553113553,0.249285714285714,0.353113553113553,0.249285714285714
V0.5_c1_env9,bgs,emmax,3,20,231231,416,71,0.4,0.4,0.4,0.372133458646617,0.304055555555556,0.372133458646617,0.304055555555556
V0.5_c1_env9,bgs,lfmm,1,20,231231,370,75,0.5,0.5,0.55,0.290202380952381,0.266680554429216,0.290202380952381,0.2483831738437
V0.5_c1_env9,bgs,lfmm,3,20,231231,370,75,0.4,0.4,0.4,0.34967032967033,0.320666666666667,0.34967032967033,0.320666666666667
V0.5_c1_env9,nobgs,emmax,1,19,295558,3658,2267,0.631578947368421,0.631578947368421,0.631578947368421,0.164471278687254,0.318574840035181,0.164471278687254,0.318574840035181
V0.5_c1_env9,nobgs,emmax,3,19,295558,3658,2267,0.578947368421053,0.578947368421053,0.578947368421053,0.219449294437056,0.377398291785453,0.219449294437056,0.377398291785453
V0.5_c1_env9,nobgs,lfmm,1,19,295558,1946,901,0.526315789473684,0.526315789473684,0.526315789473684,0.239849160127798,0.355728233359812,0.239849160127798,0.355728233359812
V0.5_c1_env9,nobgs,lfmm,3,19,295558,1946,901,0.526315789473684,0.526315789473684,0.526315789473684,0.375104427736007,0.477325499577822,0.375104427736007,0.477325499577822
V0.5_c1_env10,bgs,emmax,1,17,231847,581,303,0.647058823529412,0.647058823529412,0.764705882352941,0.491835193673429,0.433588749934734,0.491835193673429,0.427190969444328
V0.5_c1_env10,bgs,emmax,3,17,231847,581,303,0.588235294117647,0.588235294117647,0.588235294117647,0.517615935262994,0.566772655007949,0.517615935262994,0.566772655007949
V0.5_c1_env10,bgs,lfmm,1,17,231847,2089,765,0.705882352941177,0.705882352941177,0.764705882352941,0.273705775337496,0.424352413224676,0.273705775337496,0.423287875711257
V0.5_c1_env10,bgs,lfmm,3,17,231847,2089,765,0.647058823529412,0.647058823529412,0.705882352941177,0.3763165542897,0.57395206806431,0.3763165542897,0.570742591502601
V0.5_c1_env10,nobgs,emmax,1,21,302905,3930,1818,0.571428571428571,0.571428571428571,0.619047619047619,0.155182818011765,0.27017525463954,0.155182818011765,0.269494338333624
V0.5_c1_env10,nobgs,emmax,3,21,302905,3930,1818,0.571428571428571,0.571428571428571,0.571428571428571,0.192172435593488,0.261790071113033,0.192172435593488,0.261790071113033
V0.5_c1_env10,nobgs,lfmm,1,21,302905,3708,1624,0.666666666666667,0.666666666666667,0.666666666666667,0.162356054432022,0.234501572318094,0.162356054432022,0.234501572318094
V0.5_c1_env10,nobgs,lfmm,3,21,302905,3708,1624,0.619047619047619,0.619047619047619,0.619047619047619,0.239676970116431,0.277283941707467,0.239676970116431,0.277283941707467
V0.5_c2_env1,bgs,emmax,1,33,309524,2946,1236,0.333333333333333,0.333333333333333,0.424242424242424,0.0233248533386593,0.0183443889122729,0.0233248533386593,0.016828231489589
V0.5_c2_env1,bgs,emmax,3,33,309524,2946,1236,0.242424242424242,0.242424242424242,0.333333333333333,0.0245596851237335,0.0249631857691988,0.0245596851237335,0.0207148965059743
V0.5_c2_env1,bgs,lfmm,1,33,309524,4717,2985,0.515151515151515,0.515151515151515,0.606060606060606,0.0200766837323557,0.0163675878433308,0.0200766837323557,0.0147636615424901
V0.5_c2_env1,bgs,lfmm,3,33,309524,4717,2985,0.393939393939394,0.393939393939394,0.484848484848485,0.02236030998458,0.0202678753261777,0.02236030998458,0.0168930605311231
V0.5_c2_env1,nobgs,emmax,1,34,371421,1652,279,0.147058823529412,0.147058823529412,0.294117647058824,0.0394978010552888,0.019612037456469,0.0394978010552888,0.0176422053970103
V0.5_c2_env1,nobgs,emmax,3,34,371421,1652,279,0.0588235294117647,0.0588235294117647,0.176470588235294,0.0224913494809689,0.0122829674271775,0.0224913494809689,0.0100951271597748
V0.5_c2_env1,nobgs,lfmm,1,34,371421,5174,2720,0.382352941176471,0.382352941176471,0.5,0.0285335385656978,0.0154360105315342,0.0285335385656978,0.0132379965098796
V0.5_c2_env1,nobgs,lfmm,3,34,371421,5174,2720,0.176470588235294,0.176470588235294,0.264705882352941,0.0139914323500661,0.0136119422566735,0.0139914323500661,0.0106894838433137
V0.5_c2_env2,bgs,emmax,1,35,316016,4422,2685,0.371428571428571,0.371428571428571,0.457142857142857,0.0140438951765338,0.0224683099088375,0.0140438951765338,0.0213734077748812
V0.5_c2_env2,bgs,emmax,3,35,316016,4422,2685,0.314285714285714,0.314285714285714,0.371428571428571,0.012927822509068,0.0359891996260009,0.012927822509068,0.0343091338318835
V0.5_c2_env2,bgs,lfmm,1,35,316016,15249,12090,0.428571428571429,0.428571428571429,0.485714285714286,0.00642113652800698,0.0113574588111581,0.00642113652800698,0.0104270162397251
V0.5_c2_env2,bgs,lfmm,3,35,316016,15249,12090,0.342857142857143,0.342857142857143,0.457142857142857,0.00665087607437862,0.0148838215639127,0.00665087607437862,0.0130247016474748
V0.5_c2_env2,nobgs,emmax,1,38,370792,5584,2957,0.289473684210526,0.289473684210526,0.368421052631579,0.013642051892164,0.00832478820916833,0.013642051892164,0.00736466145096745
V0.5_c2_env2,nobgs,emmax,3,38,370792,5584,2957,0.131578947368421,0.131578947368421,0.289473684210526,0.00344252509137822,0.00764613087889784,0.00344252509137822,0.00545793938972609
V0.5_c2_env2,nobgs,lfmm,1,38,370792,18568,14032,0.342105263157895,0.342105263157895,0.473684210526316,0.00990370240364158,0.011953357554198,0.00990370240364158,0.0105978082705178
V0.5_c2_env2,nobgs,lfmm,3,38,370792,18568,14032,0.210526315789474,0.210526315789474,0.315789473684211,0.0103695960152336,0.00908688548244532,0.0103695960152336,0.00785193621925928
V0.5_c2_env3,bgs,emmax,1,38,312201,4433,2478,0.263157894736842,0.263157894736842,0.315789473684211,0.00607898578965023,0.0314715755147775,0.00607898578965023,0.0306971723301932
V0.5_c2_env3,bgs,emmax,3,38,312201,4433,2478,0.236842105263158,0.236842105263158,0.315789473684211,0.00877004488693825,0.0167076671537334,0.00877004488693825,0.0146825499554615
V0.5_c2_env3,bgs,lfmm,1,38,312201,8161,5368,0.447368421052632,0.447368421052632,0.68421052631579,0.0124731399921327,0.013431952903564,0.0124731399921327,0.00895849694468028
V0.5_c2_env3,bgs,lfmm,3,38,312201,8161,5368,0.289473684210526,0.289473684210526,0.578947368421053,0.0133292352191736,0.0175864708061846,0.0133292352191736,0.00930361662702948
V0.5_c2_env3,nobgs,emmax,1,35,373584,2389,1022,0.371428571428571,0.371428571428571,0.428571428571429,0.0215976131170431,0.0160918296268193,0.0215976131170431,0.013823282277878
V0.5_c2_env3,nobgs,emmax,3,35,373584,2389,1022,0.2,0.2,0.228571428571429,0.0145230460114015,0.02218039020515,0.0145230460114015,0.0212313741645049
V0.5_c2_env3,nobgs,lfmm,1,35,373584,6720,3196,0.628571428571429,0.628571428571429,0.714285714285714,0.0348453991484612,0.028390196023227,0.0348453991484612,0.0261183300084101
V0.5_c2_env3,nobgs,lfmm,3,35,373584,6720,3196,0.371428571428571,0.371428571428571,0.485714285714286,0.0382924213342272,0.029612151457306,0.0382924213342272,0.0265477922513412
V0.5_c2_env4,bgs,emmax,1,37,314074,3411,1559,0.378378378378378,0.378378378378378,0.45945945945946,0.011638572176032,0.010361483608429,0.011638572176032,0.00885764285761253
V0.5_c2_env4,bgs,emmax,3,37,314074,3411,1559,0.27027027027027,0.27027027027027,0.297297297297297,0.0106957166289585,0.0107999514676884,0.0106957166289585,0.0099217140423658
V0.5_c2_env4,bgs,lfmm,1,37,314074,5240,3836,0.486486486486487,0.486486486486487,0.513513513513514,0.0235429195848005,0.0172725604921011,0.0235429195848005,0.0162466085878874
V0.5_c2_env4,bgs,lfmm,3,37,314074,5240,3836,0.324324324324324,0.324324324324324,0.351351351351351,0.0166992758579837,0.0217715897831323,0.0166992758579837,0.0209746687590916
V0.5_c2_env4,nobgs,emmax,1,37,370248,3131,1896,0.243243243243243,0.243243243243243,0.432432432432432,0.0159723505397001,0.0117252298378192,0.0159723505397001,0.00855796040259347
V0.5_c2_env4,nobgs,emmax,3,37,370248,3131,1896,0.162162162162162,0.162162162162162,0.162162162162162,0.0279266106014101,0.00729408756719535,0.0279266106014101,0.00729408756719535
V0.5_c2_env4,nobgs,lfmm,1,37,370248,4845,3034,0.567567567567568,0.567567567567568,0.594594594594595,0.0444594438905309,0.0334890238183193,0.0444594438905309,0.0328997577613919
V0.5_c2_env4,nobgs,lfmm,3,37,370248,4845,3034,0.27027027027027,0.27027027027027,0.324324324324324,0.0176586124184501,0.0167450248361609,0.0176586124184501,0.013872557257811
V0.5_c2_env5,bgs,emmax,1,30,310534,4776,2144,0.266666666666667,0.266666666666667,0.433333333333333,0.00883964903827113,0.00448627640459801,0.00883964903827113,0.00338627829003796
V0.5_c2_env5,bgs,emmax,3,30,310534,4776,2144,0.2,0.2,0.3,0.0121688592227328,0.00358649738449014,0.0121688592227328,0.00243015472182139
V0.5_c2_env5,bgs,lfmm,1,30,310534,7224,5528,0.4,0.4,0.433333333333333,0.00834417838452789,0.00589897170273679,0.00834417838452789,0.00567519432079175
V0.5_c2_env5,bgs,lfmm,3,30,310534,7224,5528,0.333333333333333,0.333333333333333,0.366666666666667,0.00762060435494476,0.00648117054711908,0.00762060435494476,0.00600943017868489
V0.5_c2_env5,nobgs,emmax,1,38,367831,3677,1457,0.315789473684211,0.315789473684211,0.342105263157895,0.0254459760214263,0.0129743043391076,0.0254459760214263,0.0125932324265631
V0.5_c2_env5,nobgs,emmax,3,38,367831,3677,1457,0.210526315789474,0.210526315789474,0.315789473684211,0.0342964606970317,0.0230883152564942,0.0342964606970317,0.0201302300844635
V0.5_c2_env5,nobgs,lfmm,1,38,367831,8830,4668,0.473684210526316,0.473684210526316,0.552631578947369,0.0595048286975395,0.0180243201921453,0.0595048286975395,0.0166557899457584
