tau,l_min,env,basis,n_obs,n_sig,n,hit
0.3,2,6,env_orth,6,6,6,0
0.3,3,6,env_orth,2,2,2,0
0.3,5,6,env_orth,1,1,1,0
0.3,10,6,env_orth,0,0,0,0
0.3,20,6,env_orth,0,0,0,0
0.05,2,6,genetic,14,14,14,2
0.05,3,6,genetic,8,8,8,2
0.05,5,6,genetic,6,6,6,2
0.05,10,6,genetic,3,3,3,2
0.05,20,6,genetic,2,2,2,2
0.1,2,6,genetic,11,11,11,1
0.1,3,6,genetic,8,8,8,1
0.1,5,6,genetic,5,5,5,1
0.1,10,6,genetic,2,2,2,1
0.1,20,6,genetic,1,1,1,1
0.15,2,6,genetic,11,11,11,1
0.15,3,6,genetic,8,8,8,1
0.15,5,6,genetic,4,4,4,1
0.15,10,6,genetic,2,2,2,1
0.15,20,6,genetic,1,1,1,1
0.2,2,6,genetic,10,10,10,1
0.2,3,6,genetic,7,7,7,1
0.2,5,6,genetic,3,3,3,1
0.2,10,6,genetic,1,1,1,1
0.2,20,6,genetic,1,1,1,1
0.25,2,6,genetic,9,9,9,1
0.25,3,6,genetic,6,6,6,1
0.25,5,6,genetic,3,3,3,1
0.25,10,6,genetic,1,1,1,1
0.25,20,6,genetic,1,1,1,1
0.3,2,6,genetic,6,6,6,0
0.3,3,6,genetic,2,2,2,0
0.3,5,6,genetic,1,1,1,0
0.3,10,6,genetic,0,0,0,0
0.3,20,6,genetic,0,0,0,0
0.05,2,7,env_orth,21,21,21,5
0.05,3,7,env_orth,15,15,15,5
0.05,5,7,env_orth,10,10,10,5
0.05,10,7,env_orth,7,7,7,4
0.05,20,7,env_orth,3,3,3,2
0.1,2,7,env_orth,20,20,20,5
0.1,3,7,env_orth,15,15,15,5
0.1,5,7,env_orth,12,12,12,5
0.1,10,7,env_orth,6,6,6,3
0.1,20,7,env_orth,4,4,4,2
0.15,2,7,env_orth,16,16,16,5
0.15,3,7,env_orth,12,12,12,5
0.15,5,7,env_orth,10,10,10,5
0.15,10,7,env_orth,6,6,6,3
0.15,20,7,env_orth,4,4,4,2
0.2,2,7,env_orth,18,18,18,5
0.2,3,7,env_orth,14,14,14,5
0.2,5,7,env_orth,12,12,12,5
0.2,10,7,env_orth,6,6,6,2
0.2,20,7,env_orth,4,4,4,1
0.25,2,7,env_orth,19,19,19,5
0.25,3,7,env_orth,15,15,15,5
0.25,5,7,env_orth,12,12,12,4
0.25,10,7,env_orth,7,7,7,2
0.25,20,7,env_orth,3,3,3,1
0.3,2,7,env_orth,19,19,19,5
0.3,3,7,env_orth,14,14,14,5
0.3,5,7,env_orth,12,12,12,4
0.3,10,7,env_orth,7,7,7,2
0.3,20,7,env_orth,3,3,3,1
0.05,2,7,genetic,21,21,21,5
0.05,3,7,genetic,15,15,15,5
0.05,5,7,genetic,10,10,10,5
0.05,10,7,genetic,7,7,7,4
0.05,20,7,genetic,3,3,3,2
0.1,2,7,genetic,20,20,20,5
0.1,3,7,genetic,15,15,15,5
0.1,5,7,genetic,12,12,12,5
0.1,10,7,genetic,6,6,6,3
0.1,20,7,genetic,4,4,4,2
0.15,2,7,genetic,16,16,16,5
0.15,3,7,genetic,12,12,12,5
0.15,5,7,genetic,10,10,10,5
0.15,10,7,genetic,6,6,6,3
0.15,20,7,genetic,4,4,4,2
0.2,2,7,genetic,18,18,18,5
0.2,3,7,genetic,14,14,14,5
0.2,5,7,genetic,12,12,12,5
0.2,10,7,genetic,6,6,6,2
0.2,20,7,genetic,4,4,4,1
0.25,2,7,genetic,19,19,19,5
0.25,3,7,genetic,15,15,15,5
0.25,5,7,genetic,12,12,12,4
0.25,10,7,genetic,7,7,7,2
0.25,20,7,genetic,3,3,3,1
0.3,2,7,genetic,19,19,19,5
0.3,3,7,genetic,14,14,14,5
0.3,5,7,genetic,12,12,12,4
0.3,10,7,genetic,7,7,7,2
0.3,20,7,genetic,3,3,3,1
0.05,2,8,env_orth,49,49,49,6
0.05,3,8,env_orth,28,28,28,6
0.05,5,8,env_orth,18,18,18,5
0.05,10,8,env_orth,11,11,11,5
0.05,20,8,env_orth,7,7,7,4
0.1,2,8,env_orth,45,45,45,6
0.1,3,8,env_orth,24,24,24,5
0.1,5,8,env_orth,17,17,17,4
0.1,10,8,env_orth,9,9,9,4
0.1,20,8,env_orth,6,6,6,3
0.15,2,8,env_orth,37,37,37,4
0.15,3,8,env_orth,21,21,21,4
0.15,5,8,env_orth,17,17,17,4
0.15,10,8,env_orth,9,9,9,4
0.15,20,8,env_orth,6,6,6,3
0.2,2,8,env_orth,34,34,34,4
0.2,3,8,env_orth,21,21,21,4
0.2,5,8,env_orth,16,16,16,4
0.2,10,8,env_orth,9,9,9,4
0.2,20,8,env_orth,6,6,6,3
0.25,2,8,env_orth,32,32,32,4
0.25,3,8,env_orth,21,21,21,4
0.25,5,8,env_orth,15,15,15,4
0.25,10,8,env_orth,9,9,9,4
0.25,20,8,env_orth,6,6,6,3
0.3,2,8,env_orth,31,31,31,4
0.3,3,8,env_orth,20,20,20,4
0.3,5,8,env_orth,15,15,15,4
0.3,10,8,env_orth,9,9,9,4
0.3,20,8,env_orth,6,6,6,3
0.05,2,8,genetic,49,49,49,6
0.05,3,8,genetic,28,28,28,6
0.05,5,8,genetic,18,18,18,5
0.05,10,8,genetic,11,11,11,5
0.05,20,8,genetic,7,7,7,4
0.1,2,8,genetic,45,45,45,6
0.1,3,8,genetic,24,24,24,5
0.1,5,8,genetic,17,17,17,4
0.1,10,8,genetic,9,9,9,4
0.1,20,8,genetic,6,6,6,3
0.15,2,8,genetic,37,37,37,4
0.15,3,8,genetic,21,21,21,4
0.15,5,8,genetic,17,17,17,4
0.15,10,8,genetic,9,9,9,4
0.15,20,8,genetic,6,6,6,3
0.2,2,8,genetic,34,34,34,4
0.2,3,8,genetic,21,21,21,4
0.2,5,8,genetic,16,16,16,4
0.2,10,8,genetic,9,9,9,4
0.2,20,8,genetic,6,6,6,3
0.25,2,8,genetic,32,32,32,4
0.25,3,8,genetic,21,21,21,4
0.25,5,8,genetic,15,15,15,4
0.25,10,8,genetic,9,9,9,4
0.25,20,8,genetic,6,6,6,3
0.3,2,8,genetic,31,31,31,4
0.3,3,8,genetic,20,20,20,4
0.3,5,8,genetic,15,15,15,4
0.3,10,8,genetic,9,9,9,4
0.3,20,8,genetic,6,6,6,3
0.05,2,9,env_orth,0,0,0,0
0.05,3,9,env_orth,0,0,0,0
0.05,5,9,env_orth,0,0,0,0
0.05,10,9,env_orth,0,0,0,0
0.05,20,9,env_orth,0,0,0,0
0.1,2,9,env_orth,0,0,0,0
0.1,3,9,env_orth,0,0,0,0
0.1,5,9,env_orth,0,0,0,0
0.1,10,9,env_orth,0,0,0,0
0.1,20,9,env_orth,0,0,0,0
0.15,2,9,env_orth,0,0,0,0
0.15,3,9,env_orth,0,0,0,0
0.15,5,9,env_orth,0,0,0,0
0.15,10,9,env_orth,0,0,0,0
0.15,20,9,env_orth,0,0,0,0
0.2,2,9,env_orth,0,0,0,0
0.2,3,9,env_orth,0,0,0,0
0.2,5,9,env_orth,0,0,0,0
0.2,10,9,env_orth,0,0,0,0
0.2,20,9,env_orth,0,0,0,0
0.25,2,9,env_orth,0,0,0,0
0.25,3,9,env_orth,0,0,0,0
0.25,5,9,env_orth,0,0,0,0
0.25,10,9,env_orth,0,0,0,0
0.25,20,9,env_orth,0,0,0,0
0.3,2,9,env_orth,0,0,0,0
0.3,3,9,env_orth,0,0,0,0
0.3,5,9,env_orth,0,0,0,0
0.3,10,9,env_orth,0,0,0,0
0.3,20,9,env_orth,0,0,0,0
0.05,2,9,genetic,0,0,0,0
0.05,3,9,genetic,0,0,0,0
0.05,5,9,genetic,0,0,0,0
0.05,10,9,genetic,0,0,0,0
0.05,20,9,genetic,0,0,0,0
0.1,2,9,genetic,0,0,0,0
0.1,3,9,genetic,0,0,0,0
0.1,5,9,genetic,0,0,0,0
0.1,10,9,genetic,0,0,0,0
0.1,20,9,genetic,0,0,0,0
0.15,2,9,genetic,0,0,0,0
0.15,3,9,genetic,0,0,0,0
0.15,5,9,genetic,0,0,0,0
0.15,10,9,genetic,0,0,0,0
0.15,20,9,genetic,0,0,0,0
0.2,2,9,genetic,0,0,0,0
0.2,3,9,genetic,0,0,0,0
0.2,5,9,genetic,0,0,0,0
0.2,10,9,genetic,0,0,0,0
0.2,20,9,genetic,0,0,0,0
0.25,2,9,genetic,0,0,0,0
0.25,3,9,genetic,0,0,0,0
0.25,5,9,genetic,0,0,0,0
0.25,10,9,genetic,0,0,0,0
0.25,20,9,genetic,0,0,0,0
0.3,2,9,genetic,0,0,0,0
0.3,3,9,genetic,0,0,0,0
0.3,5,9,genetic,0,0,0,0
0.3,10,9,genetic,0,0,0,0
0.3,20,9,genetic,0,0,0,0
