cell,tag,engine,l_min,n_true,n_markers,n_Cgt0,n_BH05,PR_AUC_C,PR_AUC_alpha
V1_c1.5_env6,nobgs,lfmm,3,21,331362,5728,3146,0.19487514008062,0.0930446684086102
V1_c1.5_env7,bgs,emmax,1,23,262598,1230,48,0.169332917273421,0.0858191422443186
V1_c1.5_env7,bgs,emmax,3,23,262598,1230,48,0.198914105996855,0.106720659278204
V1_c1.5_env7,bgs,lfmm,1,23,262598,2392,1153,0.136997929606625,0.075171268031595
V1_c1.5_env7,bgs,lfmm,3,23,262598,2392,1153,0.138075335202721,0.130055939537747
V1_c1.5_env7,nobgs,emmax,1,24,326460,205,124,0.135671977124183,0.134085853781677
V1_c1.5_env7,nobgs,emmax,3,24,326460,205,124,0.0291666666666667,0.0882375976706472
V1_c1.5_env7,nobgs,lfmm,1,24,326460,1501,517,0.210819123138693,0.179675809052914
V1_c1.5_env7,nobgs,lfmm,3,24,326460,1501,517,0.221919032018117,0.101699887973593
V1_c1.5_env8,bgs,emmax,1,21,264339,1052,552,0.12002442002442,0.133356865970659
V1_c1.5_env8,bgs,emmax,3,21,264339,1052,552,0.14375,0.169081035923141
V1_c1.5_env8,bgs,lfmm,1,21,264339,1269,647,0.153915122365211,0.128259653509821
V1_c1.5_env8,bgs,lfmm,3,21,264339,1269,647,0.133689839572193,0.141646537001715
V1_c1.5_env8,nobgs,emmax,1,23,327225,461,128,0.176044330775789,0.10784021871127
V1_c1.5_env8,nobgs,emmax,3,23,327225,461,128,0.135011441647597,0.150067424708285
V1_c1.5_env8,nobgs,lfmm,1,23,327225,1822,862,0.290495822302429,0.0971129793890626
V1_c1.5_env8,nobgs,lfmm,3,23,327225,1822,862,0.260085107049936,0.105853509144238
V1_c1.5_env9,bgs,lfmm,1,30,265610,252,75,0.0892857142857143,0.0777743824802648
V1_c1.5_env9,bgs,lfmm,3,30,265610,252,75,0.109393939393939,0.0970175438596491
V1_c1.5_env9,nobgs,emmax,1,26,322650,28,0,0.0384615384615385,0.0034965034965035
