seq_id	pop_name	coord_approx	gps_n	gps_e	ecotype	notes	water_type	c150_pacNW	c151_nEur	c153_calif	c154_globalsuperglacial	c155_global	joint_genotyping	river_comparisons	pilot
LOBG|X|2012#06	Loberg Lake, later		61.56	-149.258	F		Lake						Yes		Yes
LOBG|X|2012#08	Loberg Lake, later		61.56	-149.258	F		Lake						Yes		Yes
LOBG|X|2012#11	Loberg Lake, later		61.56	-149.258	F		Lake						Yes		Yes
LOBG|X|2012#17	Loberg Lake, later		61.56	-149.258	F		Lake						Yes		Yes
LOBG|X|2012#26	Loberg Lake, later		61.56	-149.258	F		Lake						Yes		Yes
LOBG|X|2012#28	Loberg Lake, later		61.56	-149.258	F		Lake						Yes		Yes
LONG|X|2011#01	Long Lake, Alaska		61.578	-149.764	F		Lake	0					Yes		
LSHP|X|2011#01	L-shaped lake		61.706	-149.972	F		Lake	0			0	0	Yes		
LSOL|X|2012#04	Lake Solano, CA		38.495	-122.033	F		Lake			0		0	Yes		
LSWL|X|2011#05	Lough Swilly, Co Donegal		55.016	-7.573	M		Marine		1		1	1	Yes		
LTLT|X|2011#06	Lough Talt, Co Sligo		54.082	-8.92	F		Lake		0		0	0	Yes		
LUTE|X|2003#76_4	Lutea Lake, Haida Gwaii		52.337	-131.37	F		Lake	0					Yes		
MANC|X|X#05	Manchester Clam Bay, Puget Sound		47.567	-122.547	M		Marine	1		1	1	1	Yes		
MAYR_X_2009#05	Mayer Lake		53.692	-132.044	F		Lake	0			0	0	Yes		
MAYR_X_2009#11	Mayer Lake		53.692	-132.044	F		Lake						Yes		
MAYR|X|2004#03	Mayer Lake		53.692	-132.044	F		Lake						Yes		
MAYR|X|2004#04	Mayer Lake		53.692	-132.044	F		Lake						Yes		
MAYR|X|2004#09	Mayer Lake		53.692	-132.044	F		Lake						Yes		
MAYR|X|2004#13	Mayer Lake		53.692	-132.044	F		Lake						Yes		
MAYR|X|2004#14	Mayer Lake		53.692	-132.044	F		Lake						Yes		
MAYR|X|2004#17	Mayer Lake		53.692	-132.044	F		Lake						Yes		
MAYR|X|2004#21	Mayer Lake		53.692	-132.044	F		Lake						Yes		
MAYR|X|2004#24	Mayer Lake		53.692	-132.044	F		Lake						Yes		
MAYR|X|2004#26	Mayer Lake		53.692	-132.044	F		Lake						Yes		
MAYR|X|2004#30	Mayer Lake		53.692	-132.044	F		Lake						Yes		
MDPC_X_1993#01	Mid-pacific, off Haida Gwaii	Y	53	-133	M		Marine	1		1	1	1	Yes		
MIDF|BDVW|2011#01	Midfjardara River Downstream		65.346	-20.911	M		Marine						Yes	Yes	
MIDF|BDVW|2011#02	Midfjardara River Downstream		65.346	-20.911	M		Marine						Yes	Yes	
MIDF|BLUP|2011#01	Midfjardara River Downstream		65.346	-20.911	M		Marine		1		1	1	Yes	Yes	
MIDF|REND|2011#01	Midfjardara River Upstream		65.037	-20.714	F		River		0		0	0	Yes	Yes	
MIDF|REND|2011#04	Midfjardara River Upstream		65.037	-20.714	F		River						Yes	Yes	
MIDF|REND|2011#05	Midfjardara River Upstream		65.037	-20.714	F		River						Yes	Yes	
MIDF|REND|2011#06	Midfjardara River Upstream		65.037	-20.714	F		River						Yes	Yes	
MIDF|REND|2011#10	Midfjardara River Upstream		65.037	-20.714	F		River						Yes	Yes	
MIDF|S101|2011#05	Midfjardara River Downstream		65.346	-20.911	M		Marine						Yes	Yes	
MIDF|S101|2011#06	Midfjardara River Downstream		65.346	-20.911	M		Marine						Yes	Yes	
MNKA|X|X#02	Matanuska Lake, Alaska		61.556	-149.229	F		Lake	0			0	0	Yes		
MNYN|X|X#29997	Menyanthes Lake, Haida Gwai		53.596	-132.971	F		Lake	0					Yes		
NHBR|X|2003#05	New Harbor River, US East Coast		44.473	-64.082	M		Marine				1	1	Yes		
NTRW|X|X#02	Norway Trawler	Y	68.5	2	M		Marine		1	1	1	1	Yes		
OBSE|X|2011#05	Scotland, OBSE+OBSM Andrew Maccoll	Y	57.614	-7.179	F								Yes		
OLNY_X_2007#03	Olney Creek, California		40.528	-122.384	F		River			0		0	Yes		
ORPH|X|2011#05	Orphea Lake, Alaska		60.388	-151.199	F		Lake	0			0	0	Yes		
PINC|X|X#03	Pinole Creek, Northern California		37.963	-122.202	F		Creek			0		0	Yes		
POQU|X|2009#29995	Poque Lake, Haida Gwaii		52.602	-131.704	F		Lake	0			0	0	Yes		
QUIN_X_2003#02	Quinalt, Washington		47.471	-123.871	F		Fresh	0			0	0	Yes		
RCAL|X|2001#24	River Callop, Scotland		56.867	-5.425	F		River		0		0	0	Yes		
RDSP_X_2010#02	Roadside Pond		53.624	-132.036	F		Lake						Yes		
RDSP|X|2012#70307	Roadside Pond		53.624	-132.036	F		Lake						Yes		
RDSP|X|2012#70311	Roadside Pond		53.624	-132.036	F		Lake						Yes		
RDSP|X|2012#70314	Roadside Pond		53.624	-132.036	F		Lake						Yes		
RDSP|X|2012#70332	Roadside Pond		53.624	-132.036	F		Lake						Yes		
RDSP|X|2012#70337	Roadside Pond		53.624	-132.036	F		Lake						Yes		
RDSP|X|2012#70346	Roadside Pond		53.624	-132.036	F		Lake						Yes		
RDSP|X|2012#70353	Roadside Pond		53.624	-132.036	F		Lake						Yes		
RDSP|X|2012#70364	Roadside Pond		53.624	-132.036	F		Lake						Yes		
RDSP|X|2012#70368	Roadside Pond		53.624	-132.036	F		Lake						Yes		
RDSP|X|2012#70385	Roadside Pond		53.624	-132.036	F		Lake						Yes		
REIV|X|2011#04	North Uist, Scotland, Andrew Maccoll		57.617	-7.517	F		Lake		0		0	0	Yes		
RGLN|X|2011#04	River Glenavy, Co Antrim, Ireland		54.588	-6.239	F		River		0		0	0	Yes		
ROUG|X|2000#f03	Rouge Lake, Haida Gwaii		54.034	-131.876	F		Lake	0					Yes		
SACK|X|2010#0898	San Antonio Creek, VAFB, CA		34.783	-120.536	F		River			0		0	Yes		
SALS|X|X#01	Salinas River, CA		36.647	-121.702	F		River			0		0	Yes		
SAPC|X|X#01	San Pablo Creek, Northern California		37.966	-122.32	F		Creek			0		0	Yes		
SCRM|X|2010#873	Santa Clara River mouth, LA, CA		34.236	-119.257	M		Marine			1		1	Yes		
SCRS|X|2009#8253	Santa Clara River, LA, CA	Y	34.436	-118.612	F		Fresh			0		0	Yes		
SDPY_X_2006#24	Serendipity Pond, Haida Gwaii		54.028	-131.761	F		Fresh	0					Yes		
SHEL_L_2008#01	Loch Shiel		56.787	-5.604	F		Lake		0		0	0	Yes		
SJCR|X|2009#8212	San Jacinto River, San Bernadino, CA	Y	33.765	-117.208	F		River			0		0	Yes		
SKID_X_2009#01	Skidgate Lake, Haida Gwaii		53.097	-131.916	F		Lake	0					Yes		
SKON|X|X#12	Skonun Lake, Haida Gwaii		53.914	-132.025	F		Lake	0					Yes		
SLMW|X|2001#0918	Sugarloaf Meadow, San Bernadino, CA	Y	34.179	-116.83	F		Fresh			0		0	Yes		
SLTC|X|X#90458	Solstice Lake, Haida Gwaii		53.945	-131.932	F		Lake	0					Yes		
SLVR|X|2009#29996	Silver Lake, Haida Gwaii		54.103	-131.688	F		Lake	0					Yes		
SPNC_L_2009#01	Spence Lake, Haida Gwaii		53.973	-131.78	F		Lake	0			0	0	Yes		
SPNC_L_2009#02	Spence Lake, Haida Gwaii		53.973	-131.78	F		Lake						Yes		
SPNC_O_2010#08	Spence Lake Outlet, Haida Gwaii		53.982	-131.79	F		Lake						Yes		
SPNC_O_2010#14	Spence Lake Outlet, Haida Gwaii		53.982	-131.79	F		Lake						Yes		
SRLY|X|2011#01	South Rolly Lake, Alaska		61.669	-150.126	F		Lake	0					Yes		
SRST|S1|2000#05	Salmon River Stream, British Columbia		49.175	-122.594	F		River	0			0	0	Yes		
SSMC|X|2010#01	San Simeon Creek, CA	Y	35.608	-121.091	F		River			0	0	0	Yes		
STIU_X_2009#03	Stiu Lake, Queen Charlotte - fully armored fresh		53.244	-132.586	F		Lake	0			0	0	Yes		
STMY|X|2011#03	Stormy Lake, Alaska		60.771	-151.047	F		Lake	0					Yes		
SUNC|X|X#04	Suisun Creek, Northern California	Y	38.225	-122.107	F		Creek			0		0	Yes		
TERN|X|2011#02	Tern Lake, Alaska		60.533	-149.55	F		Lake	0					Yes		
TORM|X|2011#03	Torm Lake, Scotland		57.55	-7.317	F		Lake						Yes		
TYNE_1_2001#07	Tyne River marine		55.999	-2.52	M		Marine						Yes	Yes	
TYNE_1_2001#08	Tyne River marine		55.999	-2.52	M		Marine						Yes	Yes	
TYNE_1_2001#09	Tyne River marine		55.999	-2.52	M		Marine						Yes	Yes	
TYNE_1_2001#10	Tyne River marine		55.999	-2.52	M		Marine						Yes	Yes	
TYNE_1_2001#14	Tyne River marine		55.999	-2.52	M		Marine		1		1	1	Yes	Yes	
TYNE_8_2003#902	Tyne River upstream		55.943	-2.785	F		River		0		0	0	Yes	Yes	
TYNE_8_2003#906	Tyne River upstream		55.943	-2.785	F		River						Yes	Yes	
TYNE_8_2003#908	Tyne River upstream		55.943	-2.785	F		River						Yes	Yes	
TYNE_8_2003#919	Tyne River upstream		55.943	-2.785	F		River						Yes	Yes	
TYNE_8_2003#920	Tyne River upstream		55.943	-2.785	F		River						Yes	Yes	
URRI|X|X#07	Urridakotsvatn		64.157	-21.343	F		Fresh		0		0	0	Yes		
VIFC|X|X#07	Vifisstaðavatn		64.08	-21.873	F	Pelvis Complete	Fresh						Yes		
VIFR|X|X#08	Vifisstaðavatn		64.08	-21.873	F	Pelvis Reduced	Fresh		0		0	0	Yes		
WALC|X|2005#05	Wallace Lake		61.573	-149.576	F	Pelvis Complete	Lake						Yes		
WALR|X|2005#32	Wallace Lake		61.573	-149.576	F	Pelvis Reduced	Lake	0					Yes		
WATT_X_2009#05	Watt Lake, Haida Gwaii		53.764	-132.071	F		Lake	0					Yes		
WDPL_X_2009#05	Woodpile Creek, Haida gwai		53.644	-132.082	F		Lake	0					Yes		
WMSO_X_2002#bigf	Williamsoni, CA; no plates		34.435	-118.198	F		Fresh			0		0	Yes		
WOLF|X|2011#04	Wolf Lake, Alaska		61.645	-149.278	F		Lake	0					Yes		
ZERO|X|2011#05	Zero Lake, Alaska		61.648	-149.808	F		Lake	0					Yes		
ANTL	Antigonish Landing, Nova Scotia, Marine		45.698	-61.878	M	Jones et al. 2012	Marine				1	1	Yes		
BDGB	Bodega Bay		38.325	-123.041	M	Jones et al. 2012	Marine			1		1	Yes		
BEPA	Bear Paw		61.615	-149.757	F	Jones et al. 2012	Fresh	0			0	0	Yes		
BIGL	Big Lake (F)		39.3	-123.728	F	Jones et al. 2012	Fresh						Yes		
BIGR	Big River (M)		39.289	-123.747	M	Jones et al. 2012	Marine						Yes		
FTC	Fish Trap Creek, Washington		48.931	-122.487	F	Jones et al. 2012	Fresh	0			0	0	Yes		
GJOG	Gjogur, Iceland, Marine		65.98	-21.44	M	Jones et al. 2012	Marine		1		1	1	Yes		
GORT	Gorten Sands, Scotland, Marine		56.911	-5.888	M	Jones et al. 2012	Marine		1		1	1	Yes		
HUTU	Humptulips, Washington, Freshwater		47.231	-123.957	F	Jones et al. 2012	Fresh	0					Yes		
JAMA	Japanese Marine		42.973	144.329	M	Jones et al. 2012	Marine				1	1	Yes		
MATA	Matadero		37.393	-122.162	F	Jones et al. 2012	Fresh			0		0	Yes		
MUDL	Mud Lake		61.593	-149.34	F	Jones et al. 2012	Lake	0					Yes		
NEU	Neustadt, Germany, Marine		54.058	10.877	M	Jones et al. 2012	Marine		1		1	1	Yes		
NOST	Norway Stream, Freshwater		59.765	5.712	F	Jones et al. 2012	Fresh		0		0	0	Yes		
PAXB	Paxton Benthic		49.703	-124.522	F	Jones et al. 2012	Fresh	0			0	0	Yes		
RABS	Rabbit Slough		61.556	-149.249	M	Jones et al. 2012	Marine	1		1	1	1	Yes		
SALR	Salmon River, marine		49.175	-122.594	M	Jones et al. 2012	Marine	1		1	1	1	Yes		
SCX	Schwalle River, Germany, freshwater		54.08	10.083	F	Jones et al. 2012	Fresh		0		0	0	Yes		
SHEL	River Shiel, Scotland, freshwater		56.748	-5.698	F	Jones et al. 2012	Fresh						Yes		
TYNE_1	Tyne downstream		55.999	-2.52	M	Jones et al. 2012	Marine						Yes		
TYNE_8	Tyne upstream		55.943	-2.785	F	Jones et al. 2012	Fresh						Yes		
