ldw,rho,floor,engine,n_test,flagged,regions,tp_reg,tp_qtn,n_qtn,n_qtn_legacy,prec,rec,cell,tag,env
0.025,0.5,2,emx,38957,14,14,10,11,14,13,0.714285714285714,0.785714285714286,V0.5_c1,bgs,5
0.025,0.5,2,lfm,38957,17,14,11,12,14,13,0.785714285714286,0.857142857142857,V0.5_c1,bgs,5
0.025,0.5,5,emx,9649,16,16,9,10,14,13,0.5625,0.714285714285714,V0.5_c1,bgs,5
0.025,0.5,5,lfm,9649,16,14,10,11,14,13,0.714285714285714,0.785714285714286,V0.5_c1,bgs,5
0.025,0.65,1,emx,82835,12,12,8,9,14,13,0.666666666666667,0.642857142857143,V0.5_c1,bgs,5
0.025,0.65,1,lfm,82835,15,12,9,10,14,13,0.75,0.714285714285714,V0.5_c1,bgs,5
0.025,0.65,2,emx,38767,14,14,10,11,14,13,0.714285714285714,0.785714285714286,V0.5_c1,bgs,5
0.025,0.65,2,lfm,38767,16,13,11,12,14,13,0.846153846153846,0.857142857142857,V0.5_c1,bgs,5
0.025,0.65,5,emx,9535,15,15,9,10,14,13,0.6,0.714285714285714,V0.5_c1,bgs,5
0.025,0.65,5,lfm,9535,15,13,10,11,14,13,0.769230769230769,0.785714285714286,V0.5_c1,bgs,5
0.05,0.35,1,emx,83385,15,14,8,9,14,13,0.571428571428571,0.642857142857143,V0.5_c1,bgs,5
0.05,0.35,1,lfm,83385,20,15,10,11,14,13,0.666666666666667,0.785714285714286,V0.5_c1,bgs,5
0.05,0.35,2,emx,39219,16,15,10,11,14,13,0.666666666666667,0.785714285714286,V0.5_c1,bgs,5
0.05,0.35,2,lfm,39219,21,16,11,12,14,13,0.6875,0.857142857142857,V0.5_c1,bgs,5
0.05,0.35,5,emx,9793,17,17,9,10,14,13,0.529411764705882,0.714285714285714,V0.5_c1,bgs,5
0.05,0.35,5,lfm,9793,18,15,10,11,14,13,0.666666666666667,0.785714285714286,V0.5_c1,bgs,5
0.05,0.5,1,emx,83316,12,12,8,9,14,13,0.666666666666667,0.642857142857143,V0.5_c1,bgs,5
0.05,0.5,1,lfm,83316,16,12,9,10,14,13,0.75,0.714285714285714,V0.5_c1,bgs,5
0.05,0.5,2,emx,39155,14,14,10,11,14,13,0.714285714285714,0.785714285714286,V0.5_c1,bgs,5
0.05,0.5,2,lfm,39155,17,13,11,12,14,13,0.846153846153846,0.857142857142857,V0.5_c1,bgs,5
0.05,0.5,5,emx,9755,16,16,9,10,14,13,0.5625,0.714285714285714,V0.5_c1,bgs,5
0.05,0.5,5,lfm,9755,17,14,10,11,14,13,0.714285714285714,0.785714285714286,V0.5_c1,bgs,5
0.05,0.65,1,emx,83260,12,12,8,9,14,13,0.666666666666667,0.642857142857143,V0.5_c1,bgs,5
0.05,0.65,1,lfm,83260,16,12,9,10,14,13,0.75,0.714285714285714,V0.5_c1,bgs,5
0.05,0.65,2,emx,39105,14,14,10,11,14,13,0.714285714285714,0.785714285714286,V0.5_c1,bgs,5
0.05,0.65,2,lfm,39105,17,13,11,12,14,13,0.846153846153846,0.857142857142857,V0.5_c1,bgs,5
0.05,0.65,5,emx,9718,15,15,9,10,14,13,0.6,0.714285714285714,V0.5_c1,bgs,5
0.05,0.65,5,lfm,9718,17,13,10,11,14,13,0.769230769230769,0.785714285714286,V0.5_c1,bgs,5
0.0125,0.35,1,emx,85141,38,25,8,9,17,16,0.32,0.529411764705882,V0.5_c1,bgs,6
0.0125,0.35,1,lfm,85141,54,37,10,11,17,16,0.27027027027027,0.647058823529412,V0.5_c1,bgs,6
0.0125,0.35,2,emx,39426,40,27,8,9,17,16,0.296296296296296,0.529411764705882,V0.5_c1,bgs,6
0.0125,0.35,2,lfm,39426,50,37,9,10,17,16,0.243243243243243,0.588235294117647,V0.5_c1,bgs,6
0.0125,0.35,5,emx,9710,21,16,7,8,17,16,0.4375,0.470588235294118,V0.5_c1,bgs,6
0.0125,0.35,5,lfm,9710,31,25,8,9,17,16,0.32,0.529411764705882,V0.5_c1,bgs,6
0.0125,0.5,1,emx,83954,30,24,8,9,17,16,0.333333333333333,0.529411764705882,V0.5_c1,bgs,6
0.0125,0.5,1,lfm,83954,38,28,10,11,17,16,0.357142857142857,0.647058823529412,V0.5_c1,bgs,6
0.0125,0.5,2,emx,38532,32,25,7,8,17,16,0.28,0.470588235294118,V0.5_c1,bgs,6
0.0125,0.5,2,lfm,38532,39,32,9,10,17,16,0.28125,0.588235294117647,V0.5_c1,bgs,6
0.0125,0.5,5,emx,9446,20,17,8,9,17,16,0.470588235294118,0.529411764705882,V0.5_c1,bgs,6
0.0125,0.5,5,lfm,9446,31,26,9,10,17,16,0.346153846153846,0.588235294117647,V0.5_c1,bgs,6
0.0125,0.65,1,emx,82530,22,20,8,9,17,16,0.4,0.529411764705882,V0.5_c1,bgs,6
0.0125,0.65,1,lfm,82530,25,22,10,11,17,16,0.454545454545455,0.647058823529412,V0.5_c1,bgs,6
