cell,tag,env,engine,l_min,n_qtn,n_rho_all,n_rho_high,a_PR,Call_PR,Call_n,Chigh_PR,Chigh_n,Call_TP,Chigh_TP
V1_c1.5,bgs,4,lfmm,10,23,20,11,0.0434782608695652,0.0144927536231884,3,0.0289855072463768,6,1,2
V1_c1.5,bgs,5,emmax,2,22,20,11,0,0.0181818181818182,40,0.0161616161616162,45,4,4
V1_c1.5,bgs,5,emmax,3,22,20,11,0,0.0136363636363636,30,0.0131964809384164,31,3,3
V1_c1.5,bgs,5,emmax,5,22,20,11,0,0.0194805194805195,21,0.018595041322314,22,3,3
V1_c1.5,bgs,5,emmax,10,22,20,11,0,0.0511363636363636,8,0.0371900826446281,11,3,3
V1_c1.5,bgs,5,lfmm,2,22,20,11,0.0101010101010101,0.0543237250554324,41,0.0517970401691332,43,7,7
V1_c1.5,bgs,5,lfmm,3,22,20,11,0.0165289256198347,0.0564263322884013,29,0.0545454545454545,30,6,6
V1_c1.5,bgs,5,lfmm,5,22,20,11,0.0303030303030303,0.0861244019138756,19,0.0861244019138756,19,6,6
V1_c1.5,bgs,5,lfmm,10,22,20,11,0.0454545454545455,0.0727272727272727,10,0.0727272727272727,10,4,4
V1_c1.5,bgs,6,emmax,2,20,20,11,0.00681818181818182,0.00754716981132076,106,0.00727272727272727,110,4,4
V1_c1.5,bgs,6,emmax,3,20,20,11,0.00918367346938775,0.0112676056338028,71,0.0106666666666667,75,4,4
V1_c1.5,bgs,6,emmax,5,20,20,11,0.0128571428571429,0.00957446808510638,47,0.009375,48,3,3
V1_c1.5,bgs,6,emmax,10,20,20,11,0.00357142857142857,0.00909090909090909,22,0.00833333333333333,24,2,2
V1_c1.5,bgs,6,lfmm,2,20,20,11,0.0136871508379888,0.0162,250,0.0156370656370656,259,9,9
V1_c1.5,bgs,6,lfmm,3,20,20,11,0.0134328358208955,0.0176795580110497,181,0.0170212765957447,188,8,8
V1_c1.5,bgs,6,lfmm,5,20,20,11,0.0197802197802198,0.0264462809917355,121,0.0258064516129032,124,8,8
V1_c1.5,bgs,6,lfmm,10,20,20,11,0.0297619047619048,0.0524590163934426,61,0.0507936507936508,63,8,8
V1_c1.5,bgs,7,emmax,2,23,20,11,0.0062111801242236,0.103580562659847,34,0.0880434782608696,40,9,9
V1_c1.5,bgs,7,emmax,3,23,20,11,0.0108695652173913,0.088768115942029,24,0.0789049919484702,27,7,7
V1_c1.5,bgs,7,emmax,5,23,20,11,0.0217391304347826,0.133152173913043,16,0.142028985507246,15,7,7
V1_c1.5,bgs,7,emmax,10,23,20,11,0.0217391304347826,0.120772946859903,9,0.130434782608696,12,5,6
V1_c1.5,bgs,7,lfmm,2,23,20,11,0.0304347826086957,0.0284011220196354,124,0.0275135869565217,128,9,9
V1_c1.5,bgs,7,lfmm,3,23,20,11,0.0355731225296443,0.0424305919329492,83,0.0429480381760339,82,9,9
V1_c1.5,bgs,7,lfmm,5,23,20,11,0.0652173913043478,0.040133779264214,39,0.0495449949443883,43,6,7
V1_c1.5,bgs,7,lfmm,10,23,20,11,0.120401337792642,0.0782608695652174,20,0.0680529300567108,23,6,6
V1_c1.5,bgs,8,emmax,2,21,20,11,0.0424242424242424,0.0243055555555556,96,0.0231023102310231,101,7,7
V1_c1.5,bgs,8,emmax,3,21,20,11,0.0614035087719298,0.0376344086021505,62,0.0353535353535354,66,7,7
V1_c1.5,bgs,8,emmax,5,21,20,11,0.0779220779220779,0.0583333333333333,40,0.0583333333333333,40,7,7
V1_c1.5,bgs,8,emmax,10,21,20,11,0.0634920634920635,0.0700280112044818,17,0.0661375661375661,18,5,5
V1_c1.5,bgs,8,lfmm,2,21,20,11,0.0248447204968944,0.0231023102310231,101,0.0216049382716049,108,7,7
V1_c1.5,bgs,8,lfmm,3,21,20,11,0.0364741641337386,0.0348258706467662,67,0.0333333333333333,70,7,7
V1_c1.5,bgs,8,lfmm,5,21,20,11,0.0535714285714286,0.0518518518518519,45,0.0507246376811594,46,7,7
V1_c1.5,bgs,8,lfmm,10,21,20,11,0.054421768707483,0.05175983436853,23,0.0457875457875458,26,5,5
V1_c1.5,bgs,9,lfmm,2,30,20,11,0.0444444444444444,0.0375,8,0.0272727272727273,11,3,3
V1_c1.5,bgs,9,lfmm,3,30,20,11,0.0666666666666667,0.05,6,0.0333333333333333,9,3,3
V1_c1.5,bgs,9,lfmm,5,30,20,11,0.0666666666666667,0.06,5,0.05,6,3,3
