tag	cell	rep	env	method	n_pop	r2_axes	mantel_r	n_regions	n_FP	fp_prop	ratio_null_obs
bgs	V0.5_c2	2	3	emmax_simes	80	0.925180432349117	0.552698380600527	28	27	0.964285714285714	1.51464285714286
bgs	V0.5_c2	2	4	emmax_consensus	80	0.890775215873184	0.525927891551125	2	2	1	12.935
bgs	V0.5_c2	2	4	emmax_simes	80	0.890775215873184	0.525927891551125	6	6	1	4.77916666666667
bgs	V0.5_c2	2	6	emmax_consensus	80	0.889974146606627	0.341212658654682	7	7	1	5.03857142857143
bgs	V0.5_c2	2	6	emmax_simes	80	0.889974146606627	0.341212658654682	16	16	1	2.3346875
bgs	V0.5_c2	2	7	emmax_consensus	80	0.927628256653683	0.472820387242885	3	3	1	12.4316666666667
bgs	V0.5_c2	2	7	emmax_simes	80	0.927628256653683	0.472820387242885	8	8	1	4.8225
bgs	V0.5_c2	2	8	emmax_consensus	80	0.878732626531853	0.322574179449659	14	13	0.928571428571429	2.80892857142857
bgs	V0.5_c2	2	8	emmax_simes	80	0.878732626531853	0.322574179449659	17	16	0.941176470588235	2.43558823529412
bgs	V0.5_c2	2	9	emmax_simes	80	0.862576787877494	0.414912934385693	3	3	1	11.165
bgs	V0.5_c2	2	10	emmax_consensus	80	0.852828103119882	0.379589419296365	15	15	1	2.22733333333333
bgs	V0.5_c2	2	10	emmax_simes	80	0.852828103119882	0.379589419296365	18	18	1	1.91305555555556
bgs	V0.5_c2	5	1	emmax_consensus	80	0.886540697332939	0.522872987269463	2	2	1	13.03
bgs	V0.5_c2	5	2	emmax_consensus	80	0.926229183562618	0.492016808743596	17	17	1	1.86176470588235
bgs	V0.5_c2	5	2	emmax_simes	80	0.926229183562618	0.492016808743596	20	20	1	1.74575
bgs	V0.5_c2	5	3	emmax_consensus	80	0.924161864825531	0.550921436545118	20	19	0.95	1.68175
bgs	V0.5_c2	5	3	emmax_simes	80	0.924161864825531	0.550921436545118	24	23	0.958333333333333	1.56791666666667
bgs	V0.5_c2	5	4	emmax_consensus	80	0.891420636535124	0.500402227651544	1	1	1	27.46
bgs	V0.5_c2	5	4	emmax_simes	80	0.891420636535124	0.500402227651544	9	8	0.888888888888889	3.26166666666667
bgs	V0.5_c2	5	5	emmax_consensus	80	0.891524828997937	0.465283252231826	1	1	1	47.965
bgs	V0.5_c2	5	5	emmax_simes	80	0.891524828997937	0.465283252231826	4	3	0.75	12.47
bgs	V0.5_c2	5	6	emmax_consensus	80	0.882117509737237	0.349004411381895	16	15	0.9375	1.8575
bgs	V0.5_c2	5	6	emmax_simes	80	0.882117509737237	0.349004411381895	16	15	0.9375	1.94375
bgs	V0.5_c2	5	7	emmax_consensus	80	0.922697986651165	0.458535279066402	8	8	1	3.953125
bgs	V0.5_c2	5	7	emmax_simes	80	0.922697986651165	0.458535279066402	9	9	1	3.47055555555556
bgs	V0.5_c2	5	8	emmax_consensus	80	0.869612620545686	0.323605394339839	21	21	1	1.56785714285714
