tag	cell	method	arm	floor	TP	FP	n_regions	n_detectable_qtn	n_recovered	n_tests	n_eligible_markers	n_eligible_units	frac_markers_retained	frac_dqtn_covered	precision	recall	realised_fdp	precision_ci_lo	precision_ci_hi	recall_ci_lo	recall_ci_hi	fdp_ci_lo	fdp_ci_hi
nobgs	V0.5_c2	emmax	A_unrestricted_marker	5	35	1249	1284	346	33	1553729	1553729	582316	1	1	0.0272585669781931	0.0953757225433526	0.972741433021807	0.0225388461251289	0.0312030145541262	0.0775569703555195	0.112462006079027	0.968796985445874	0.977461153874871
nobgs	V0.5_c2	emmax	A_unrestricted_marker	10	35	1249	1284	346	33	1553729	1553729	582316	1	1	0.0272585669781931	0.0953757225433526	0.972741433021807	0.0225388461251289	0.0312030145541262	0.0775569703555195	0.112462006079027	0.968796985445874	0.977461153874871
nobgs	V0.5_c2	emmax	A_unrestricted_marker	20	35	1249	1284	346	33	1553729	1553729	582316	1	1	0.0272585669781931	0.0953757225433526	0.972741433021807	0.0225388461251289	0.0312030145541262	0.0775569703555195	0.112462006079027	0.968796985445874	0.977461153874871
nobgs	V1_c1	emmax	A_unrestricted_marker	1	84	194	278	156	71	1495690	1495690	903412	1	1	0.302158273381295	0.455128205128205	0.697841726618705	0.248502540373798	0.387561824633084	0.3773381085488	0.527281093139989	0.612438175366916	0.751497459626202
nobgs	V1_c1	emmax	A_unrestricted_marker	2	84	194	278	156	71	1495690	1495690	903412	1	1	0.302158273381295	0.455128205128205	0.697841726618705	0.248502540373798	0.387561824633084	0.3773381085488	0.527281093139989	0.612438175366916	0.751497459626202
nobgs	V1_c1	emmax	A_unrestricted_marker	3	84	194	278	156	71	1495690	1495690	903412	1	1	0.302158273381295	0.455128205128205	0.697841726618705	0.248502540373798	0.387561824633084	0.3773381085488	0.527281093139989	0.612438175366916	0.751497459626202
nobgs	V1_c1	emmax	A_unrestricted_marker	5	84	194	278	156	71	1495690	1495690	903412	1	1	0.302158273381295	0.455128205128205	0.697841726618705	0.248502540373798	0.387561824633084	0.3773381085488	0.527281093139989	0.612438175366916	0.751497459626202
nobgs	V1_c1	emmax	A_unrestricted_marker	10	84	194	278	156	71	1495690	1495690	903412	1	1	0.302158273381295	0.455128205128205	0.697841726618705	0.248502540373798	0.387561824633084	0.3773381085488	0.527281093139989	0.612438175366916	0.751497459626202
nobgs	V1_c1	emmax	A_unrestricted_marker	20	84	194	278	156	71	1495690	1495690	903412	1	1	0.302158273381295	0.455128205128205	0.697841726618705	0.248502540373798	0.387561824633084	0.3773381085488	0.527281093139989	0.612438175366916	0.751497459626202
nobgs	V1_c1.5	emmax	A_unrestricted_marker	1	27	218	245	274	33	1508205	1508205	807408	1	1	0.110204081632653	0.12043795620438	0.889795918367347	0.0766129032258065	0.151230493584557	0.0657870726085286	0.191729323308271	0.848769506415443	0.923387096774194
