method	floor	arm	n_tests	precision	precision_ci_lo	precision_ci_hi	recall	recall_ci_lo	recall_ci_hi	fdp	fdp_ci_lo	fdp_ci_hi	prec_x_rec	prec_x_rec_ci_lo	prec_x_rec_ci_hi	mean_frac_markers_retained	n_tests_a	pct_of_unrestricted_tests
emmax	20	A_unrestricted_marker	21861276	0.122754038955156	0.115440311412588	0.129403918423573	0.230297157622739	0.215391780363575	0.244710379788914	0.877245961044844	0.870596081576427	0.884559688587412	0.0282699062580835	0.0260076716266306	0.0308519625148327	1	21861276	100
emmax	20	B_floor_filtered_marker	1229552	0.175989943431804	0.149071904537718	0.209023541746092	0.0943152454780362	0.0735424654962034	0.116089896394063	0.824010056568196	0.790976458253908	0.850928095462282	0.0165985347164363	0.011292065017172	0.0233710374249077	0.0544370917353323	21861276	5.62433775594801
emmax	20	C_stage1_simes	37977	0.200636942675159	0.17121264383675	0.23338431934958	0.0865633074935401	0.0678713054097842	0.105667433962093	0.799363057324841	0.76661568065042	0.82878735616325	0.0173677973633536	0.0117635250640776	0.0239359496621864	0.0544370917353323	21861276	0.173718130634278
emmax	20	D_stage1_consensus	37977	0.227312013828868	0.19437228167548	0.267249757045675	0.0894702842377261	0.0697740909410456	0.109781255246516	0.772687986171132	0.732750242954325	0.80562771832452	0.0203376704879187	0.0139446994993459	0.0285937646815988	0.0544370917353323	21861276	0.173718130634278
lfmm	1	A_unrestricted_marker	21861276	0.108626198083067	0.104615430757816	0.112676117660333	0.34140826873385	0.329548688235538	0.354829311460022	0.891373801916933	0.887323882339667	0.895384569242184	0.0370858822266802	0.0353608621592763	0.0390510279262534	1	21861276	100
lfmm	1	B_floor_filtered_marker	21861276	0.108626198083067	0.104615430757816	0.112676117660333	0.34140826873385	0.329548688235538	0.354829311460022	0.891373801916933	0.887323882339667	0.895384569242184	0.0370858822266802	0.0353608621592763	0.0390510279262534	1	21861276	100
lfmm	1	C_stage1_simes	11497831	0.136925287356322	0.129305113697929	0.145431446115308	0.278100775193798	0.26268970057428	0.29404152036408	0.863074712643678	0.854568553884692	0.870694886302071	0.0380790285574267	0.0344041540793458	0.0425045922552239	1	21861276	52.5945100368341
lfmm	2	A_unrestricted_marker	21861276	0.108626198083067	0.104615430757816	0.112676117660333	0.34140826873385	0.329548688235538	0.354829311460022	0.891373801916933	0.887323882339667	0.895384569242184	0.0370858822266802	0.0353608621592763	0.0390510279262534	1	21861276	100
lfmm	2	B_floor_filtered_marker	14469511	0.10948328800772	0.105031772978131	0.114177281406788	0.338501291989664	0.322909470902811	0.354610864107491	0.89051671199228	0.885822718593212	0.894968227021869	0.0370602344418897	0.0343774964039044	0.0397387954272497	0.659532281252059	21861276	66.1878611294236
lfmm	2	C_stage1_simes	4106066	0.129449423815621	0.124219451012386	0.134762696506722	0.295542635658915	0.279837791550919	0.310784757628795	0.870550576184379	0.865237303493278	0.875780548987614	0.0382578238989965	0.0349902769295454	0.0415282594259994	0.659532281252059	21861276	18.7823711662576
