tag	cell	rep	env	method	r2_axes	mantel_r	n_pop	n_regions	n_FP	fp_prop	any_fp	mean_null
bgs	V0.5_c1.5	2	3	emmax_consensus	0.932430076886022	0.579900448051499	80	2	1	0.5	1	5.73
bgs	V0.5_c1.5	2	3	emmax_simes	0.932430076886022	0.579900448051499	80	2	1	0.5	1	4.725
bgs	V0.5_c1.5	2	4	emmax_consensus	0.884612411962264	0.532201413588189	80	0	0		0	7.2
bgs	V0.5_c1.5	2	4	emmax_simes	0.884612411962264	0.532201413588189	80	2	2	1	1	5.75
bgs	V0.5_c1.5	2	5	emmax_consensus	0.885920833031576	0.431538976160226	80	0	0		0	12.515
bgs	V0.5_c1.5	2	5	emmax_simes	0.885920833031576	0.431538976160226	80	0	0		0	8.34
bgs	V0.5_c1.5	2	6	emmax_consensus	0.886458947626463	0.365290531461251	80	4	4	1	1	12.875
bgs	V0.5_c1.5	2	6	emmax_simes	0.886458947626463	0.365290531461251	80	0	0		0	10.595
bgs	V0.5_c1.5	2	7	emmax_consensus	0.926523584175793	0.441355355261811	80	1	0	0	0	9.465
bgs	V0.5_c1.5	2	7	emmax_simes	0.926523584175793	0.441355355261811	80	0	0		0	7.12
bgs	V0.5_c1.5	2	8	emmax_consensus	0.866865345592296	0.351217215604783	80	2	2	1	1	10.435
bgs	V0.5_c1.5	2	8	emmax_simes	0.866865345592296	0.351217215604783	80	2	2	1	1	8.245
bgs	V0.5_c1.5	2	9	emmax_consensus	0.845632196668967	0.384726491674141	80	0	0		0	10.83
bgs	V0.5_c1.5	2	9	emmax_simes	0.845632196668967	0.384726491674141	80	0	0		0	8.34
bgs	V0.5_c1.5	2	10	emmax_consensus	0.848857199753731	0.35425699596756	80	0	0		0	9.45
bgs	V0.5_c1.5	2	10	emmax_simes	0.848857199753731	0.35425699596756	80	0	0		0	7.495
bgs	V0.5_c1.5	3	1	emmax_consensus	0.882006748793326	0.531561658111225	80	0	0		0	6.43
bgs	V0.5_c1.5	3	1	emmax_simes	0.882006748793326	0.531561658111225	80	0	0		0	4.99
bgs	V0.5_c1.5	3	2	emmax_consensus	0.927824399489276	0.495648066479661	80	4	4	1	1	13.515
bgs	V0.5_c1.5	3	2	emmax_simes	0.927824399489276	0.495648066479661	80	4	4	1	1	9.415
bgs	V0.5_c1.5	3	3	emmax_consensus	0.921901271288804	0.550231804415643	80	6	5	0.833333333333333	1	12.865
bgs	V0.5_c1.5	3	3	emmax_simes	0.921901271288804	0.550231804415643	80	1	1	1	1	10.085
bgs	V0.5_c1.5	3	4	emmax_consensus	0.89038717198327	0.540952021343469	80	0	0		0	6.645
bgs	V0.5_c1.5	3	4	emmax_simes	0.89038717198327	0.540952021343469	80	0	0		0	5.695
bgs	V0.5_c1.5	3	5	emmax_consensus	0.910844334000874	0.439050944331032	80	1	1	1	1	9.33
bgs	V0.5_c1.5	3	5	emmax_simes	0.910844334000874	0.439050944331032	80	0	0		0	7.66
bgs	V0.5_c1.5	3	6	emmax_consensus	0.889660576867461	0.360538649808682	80	10	10	1	1	12.22
bgs	V0.5_c1.5	3	6	emmax_simes	0.889660576867461	0.360538649808682	80	9	9	1	1	9.07
bgs	V0.5_c1.5	3	7	emmax_consensus	0.910616357830912	0.431561047485624	80	6	4	0.666666666666667	1	13.98
bgs	V0.5_c1.5	3	7	emmax_simes	0.910616357830912	0.431561047485624	80	4	2	0.5	1	11.145
bgs	V0.5_c1.5	3	8	emmax_consensus	0.882059460260402	0.356021136253144	80	1	1	1	1	15.39
bgs	V0.5_c1.5	3	8	emmax_simes	0.882059460260402	0.356021136253144	80	0	0		0	11.87
bgs	V0.5_c1.5	3	9	emmax_consensus	0.857485083852708	0.366650364903286	80	0	0		0	10.92
bgs	V0.5_c1.5	3	9	emmax_simes	0.857485083852708	0.366650364903286	80	0	0		0	8.615
bgs	V0.5_c1.5	3	10	emmax_consensus	0.845511275927122	0.345754154033763	80	0	0		0	12.64
