tag	cell	rep	method	scheme	sum_E_null	sum_n_obs	sum_TP	sum_FP	n_envs	R_null_obs	FDP_truth	above_one
bgs	V0.5_c2	6	EMMAX consensus	Spatial MVN	345.79	88	2	86	10	3.92943181818182	0.977272727272727	TRUE
bgs	V0.5_c2	6	EMMAX Simes	Group permutation	69.86	116	4	112	10	0.602241379310345	0.96551724137931	FALSE
bgs	V0.5_c2	6	EMMAX Simes	Kinship-matched (MVN)	0.57	116	4	112	10	0.00491379310344828	0.96551724137931	FALSE
bgs	V0.5_c2	6	EMMAX Simes	Spatial MVN	377.055	116	4	112	10	3.25047413793103	0.96551724137931	TRUE
bgs	V0.5_c2	8	EMMAX consensus	Group permutation	44.25	95	2	93	10	0.46578947368421	0.978947368421053	FALSE
bgs	V0.5_c2	8	EMMAX consensus	Kinship-matched (MVN)	0.55	95	2	93	10	0.00578947368421053	0.978947368421053	FALSE
bgs	V0.5_c2	8	EMMAX consensus	Spatial MVN	345.89	95	2	93	10	3.64094736842105	0.978947368421053	TRUE
bgs	V0.5_c2	8	EMMAX Simes	Group permutation	81.58	148	3	145	10	0.551216216216216	0.97972972972973	FALSE
bgs	V0.5_c2	8	EMMAX Simes	Kinship-matched (MVN)	0.47	148	3	145	10	0.00317567567567568	0.97972972972973	FALSE
bgs	V0.5_c2	8	EMMAX Simes	Spatial MVN	363.07	148	3	145	10	2.45317567567568	0.97972972972973	TRUE
bgs	V0.5_c2	10	EMMAX consensus	Group permutation	46.97	92	2	90	10	0.51054347826087	0.978260869565217	FALSE
bgs	V0.5_c2	10	EMMAX consensus	Kinship-matched (MVN)	0.6	92	2	90	10	0.00652173913043478	0.978260869565217	FALSE
bgs	V0.5_c2	10	EMMAX consensus	Spatial MVN	351.175	92	2	90	10	3.81711956521739	0.978260869565217	TRUE
bgs	V0.5_c2	10	EMMAX Simes	Group permutation	84.25	141	4	137	10	0.597517730496454	0.971631205673759	FALSE
bgs	V0.5_c2	10	EMMAX Simes	Kinship-matched (MVN)	0.505	141	4	137	10	0.00358156028368794	0.971631205673759	FALSE
bgs	V0.5_c2	10	EMMAX Simes	Spatial MVN	363.28	141	4	137	10	2.57645390070922	0.971631205673759	TRUE
bgs	V1_c1	1	EMMAX consensus	Group permutation	6.11	10	6	4	10	0.611	0.4	FALSE
bgs	V1_c1	1	EMMAX consensus	Kinship-matched (MVN)	0.49	10	6	4	10	0.049	0.4	FALSE
bgs	V1_c1	1	EMMAX consensus	Spatial MVN	3.145	10	6	4	10	0.3145	0.4	FALSE
bgs	V1_c1	1	EMMAX Simes	Group permutation	5.815	10	6	4	10	0.5815	0.4	FALSE
bgs	V1_c1	1	EMMAX Simes	Kinship-matched (MVN)	0.435	10	6	4	10	0.0435	0.4	FALSE
bgs	V1_c1	1	EMMAX Simes	Spatial MVN	2.99	10	6	4	10	0.299	0.4	FALSE
bgs	V1_c1	2	EMMAX consensus	Group permutation	13.725	17	9	8	10	0.807352941176471	0.470588235294118	FALSE
bgs	V1_c1	2	EMMAX consensus	Kinship-matched (MVN)	0.45	17	9	8	10	0.0264705882352941	0.470588235294118	FALSE
bgs	V1_c1	2	EMMAX consensus	Spatial MVN	2.68	17	9	8	10	0.157647058823529	0.470588235294118	FALSE
bgs	V1_c1	2	EMMAX Simes	Group permutation	13.8	21	10	11	10	0.657142857142857	0.523809523809524	FALSE
bgs	V1_c1	2	EMMAX Simes	Kinship-matched (MVN)	0.43	21	10	11	10	0.0204761904761905	0.523809523809524	FALSE
bgs	V1_c1	2	EMMAX Simes	Spatial MVN	3.005	21	10	11	10	0.143095238095238	0.523809523809524	FALSE
bgs	V1_c1	4	EMMAX consensus	Group permutation	3.55	8	5	3	10	0.44375	0.375	FALSE
bgs	V1_c1	4	EMMAX consensus	Kinship-matched (MVN)	0.505	8	5	3	10	0.063125	0.375	FALSE
bgs	V1_c1	4	EMMAX consensus	Spatial MVN	5.1	8	5	3	10	0.6375	0.375	FALSE
bgs	V1_c1	4	EMMAX Simes	Group permutation	3.35	5	5	0	10	0.67	0	FALSE
bgs	V1_c1	4	EMMAX Simes	Kinship-matched (MVN)	0.465	5	5	0	10	0.093	0	FALSE
bgs	V1_c1	4	EMMAX Simes	Spatial MVN	4.865	5	5	0	10	0.973	0	FALSE
bgs	V1_c1	9	EMMAX consensus	Group permutation	12.86	19	11	8	10	0.676842105263158	0.421052631578947	FALSE
bgs	V1_c1	9	EMMAX consensus	Kinship-matched (MVN)	0.53	19	11	8	10	0.0278947368421053	0.421052631578947	FALSE
bgs	V1_c1	9	EMMAX consensus	Spatial MVN	4.23	19	11	8	10	0.222631578947368	0.421052631578947	FALSE
bgs	V1_c1	9	EMMAX Simes	Group permutation	12.27	24	13	11	10	0.51125	0.458333333333333	FALSE
bgs	V1_c1	9	EMMAX Simes	Kinship-matched (MVN)	0.44	24	13	11	10	0.0183333333333333	0.458333333333333	FALSE
bgs	V1_c1	9	EMMAX Simes	Spatial MVN	3.53	24	13	11	10	0.147083333333333	0.458333333333333	FALSE
bgs	V1_c1	10	EMMAX consensus	Group permutation	9.25	14	10	4	10	0.660714285714286	0.285714285714286	FALSE
bgs	V1_c1	10	EMMAX consensus	Kinship-matched (MVN)	0.5	14	10	4	10	0.0357142857142857	0.285714285714286	FALSE
bgs	V1_c1	10	EMMAX consensus	Spatial MVN	3.365	14	10	4	10	0.240357142857143	0.285714285714286	FALSE
bgs	V1_c1	10	EMMAX Simes	Group permutation	9.115	14	10	4	10	0.651071428571429	0.285714285714286	FALSE
bgs	V1_c1	10	EMMAX Simes	Kinship-matched (MVN)	0.51	14	10	4	10	0.0364285714285714	0.285714285714286	FALSE
bgs	V1_c1	10	EMMAX Simes	Spatial MVN	2.74	14	10	4	10	0.195714285714286	0.285714285714286	FALSE
bgs	V1_c1.5	2	EMMAX consensus	Group permutation	11.98	7	0	7	10	1.71142857142857	1	TRUE
bgs	V1_c1.5	2	EMMAX consensus	Kinship-matched (MVN)	0.56	7	0	7	10	0.08	1	FALSE
bgs	V1_c1.5	2	EMMAX consensus	Spatial MVN	108.615	7	0	7	10	15.5164285714286	1	TRUE
bgs	V1_c1.5	2	EMMAX Simes	Group permutation	11.935	9	1	8	10	1.32611111111111	0.888888888888889	TRUE
bgs	V1_c1.5	2	EMMAX Simes	Kinship-matched (MVN)	0.54	9	1	8	10	0.06	0.888888888888889	FALSE
bgs	V1_c1.5	2	EMMAX Simes	Spatial MVN	86.265	9	1	8	10	9.585	0.888888888888889	TRUE
bgs	V1_c1.5	4	EMMAX consensus	Group permutation	13.055	24	4	20	10	0.543958333333333	0.833333333333333	FALSE
bgs	V1_c1.5	4	EMMAX consensus	Kinship-matched (MVN)	0.52	24	4	20	10	0.0216666666666667	0.833333333333333	FALSE
bgs	V1_c1.5	4	EMMAX consensus	Spatial MVN	96.88	24	4	20	10	4.03666666666667	0.833333333333333	TRUE
bgs	V1_c1.5	4	EMMAX Simes	Group permutation	12.945	17	4	13	10	0.761470588235294	0.764705882352941	FALSE
bgs	V1_c1.5	4	EMMAX Simes	Kinship-matched (MVN)	0.465	17	4	13	10	0.0273529411764706	0.764705882352941	FALSE
bgs	V1_c1.5	4	EMMAX Simes	Spatial MVN	80.72	17	4	13	10	4.74823529411765	0.764705882352941	TRUE
bgs	V1_c1.5	6	EMMAX consensus	Group permutation	16.445	21	3	18	10	0.783095238095238	0.857142857142857	FALSE
bgs	V1_c1.5	6	EMMAX consensus	Kinship-matched (MVN)	0.46	21	3	18	10	0.0219047619047619	0.857142857142857	FALSE
bgs	V1_c1.5	6	EMMAX consensus	Spatial MVN	101.1	21	3	18	10	4.81428571428571	0.857142857142857	TRUE
bgs	V1_c1.5	6	EMMAX Simes	Group permutation	17.05	33	3	30	10	0.516666666666667	0.909090909090909	FALSE
bgs	V1_c1.5	6	EMMAX Simes	Kinship-matched (MVN)	0.485	33	3	30	10	0.0146969696969697	0.909090909090909	FALSE
bgs	V1_c1.5	6	EMMAX Simes	Spatial MVN	80.05	33	3	30	10	2.42575757575758	0.909090909090909	TRUE
bgs	V1_c1.5	8	EMMAX consensus	Group permutation	22.04	20	3	17	10	1.102	0.85	TRUE
bgs	V1_c1.5	8	EMMAX consensus	Kinship-matched (MVN)	0.655	20	3	17	10	0.03275	0.85	FALSE
bgs	V1_c1.5	8	EMMAX consensus	Spatial MVN	105.93	20	3	17	10	5.2965	0.85	TRUE
