tag	cell	method	n_tested	n_significant	TP	FP	FN	n_detectable_qtn	n_recovered	coverage	precision	precision_ci_lo	precision_ci_hi	recall	recall_ci_lo	recall_ci_hi
nobgs	V2_c1	emmax_consensus	291359	132	69	63	87	128	41	0.9375	0.522727272727273	0.417468282804217	0.650948881088197	0.3203125	0.238934751023643	0.388429752066116
nobgs	V2_c1.5	emmax_snp	1496487	921	207	714	176	196	20	0.918367346938776	0.224755700325733	0.132999264992899	0.326193316949421	0.102040816326531	0.0703517587939699	0.133035168195719
nobgs	V2_c1.5	emmax_snp_nonsingleton	1496487	890	206	684	177	196	19	0.918367346938776	0.231460674157303	0.136682954358981	0.337666220177431	0.0969387755102041	0.0693069306930693	0.126831125417853
nobgs	V2_c1.5	emmax_simes	290788	153	20	133	180	196	16	0.918367346938776	0.130718954248366	0.0689601293103448	0.201550387596899	0.0816326530612245	0.0451977401129944	0.119792266705069
nobgs	V2_c1.5	emmax_consensus	290788	204	24	180	179	196	17	0.918367346938776	0.117647058823529	0.0654977946501064	0.170628785766784	0.086734693877551	0.0567010309278351	0.112830188679245
bgs	V0.5_c1	emmax_snp	1543807	1955	974	981	76	167	91	0.958083832335329	0.498209718670077	0.407755590850524	0.590756850757844	0.544910179640719	0.474358974358974	0.617668310098606
bgs	V0.5_c1	emmax_snp_nonsingleton	1543807	1878	959	919	80	167	87	0.958083832335329	0.510649627263046	0.415140983180425	0.608148140295828	0.520958083832335	0.440975233407555	0.604817717506164
bgs	V0.5_c1	emmax_simes	306715	255	144	111	90	167	77	0.958083832335329	0.564705882352941	0.505012663571127	0.648524202420242	0.461077844311377	0.392398858277488	0.52
bgs	V0.5_c1	emmax_consensus	306715	266	152	114	88	167	79	0.958083832335329	0.571428571428571	0.513069305532011	0.6621268925739	0.473053892215569	0.405059408247263	0.543872625350358
bgs	V0.5_c1.5	emmax_snp	1615784	1771	412	1359	237	281	44	1	0.232636928289102	0.166836706429499	0.294438932927013	0.156583629893238	0.113331715210356	0.197802197802198
bgs	V0.5_c1.5	emmax_snp_nonsingleton	1615784	1743	412	1331	237	281	44	1	0.236374067699369	0.170212189355936	0.298186352193382	0.156583629893238	0.113331715210356	0.197802197802198
bgs	V0.5_c1.5	emmax_simes	305864	222	36	186	249	281	32	1	0.162162162162162	0.138459821428571	0.191711618993541	0.113879003558719	0.0790378006872852	0.154446057053971
bgs	V0.5_c1.5	emmax_consensus	305864	278	42	236	249	281	32	1	0.151079136690647	0.126353790613718	0.179489795918367	0.113879003558719	0.0886492849668643	0.141221374045802
bgs	V0.5_c2	emmax_snp	1804009	12553	218	12335	333	369	36	0.937669376693767	0.0173663666055923	0.0113190712237371	0.0259006402724357	0.0975609756097561	0.0733645943796395	0.119170984455959
bgs	V0.5_c2	emmax_snp_nonsingleton	1804009	12307	216	12091	334	369	35	0.937669376693767	0.0175509872430324	0.0114580976347954	0.0262194103809491	0.0948509485094851	0.0717896136618141	0.117170018114563
bgs	V0.5_c2	emmax_simes	267574	1542	36	1506	338	369	31	0.937669376693767	0.0233463035019455	0.0157577414818803	0.0308608416126473	0.0840108401084011	0.0542835849787069	0.115387139107612
bgs	V0.5_c2	emmax_consensus	267574	1022	22	1000	351	369	18	0.937669376693767	0.0215264187866928	0.0149543905596643	0.0287489120423184	0.0487804878048781	0.0356140055393368	0.0602757439773264
bgs	V1_c1	emmax_snp	1552470	1410	575	835	68	143	75	0.986013986013986	0.407801418439716	0.293804233248943	0.635805778107102	0.524475524475525	0.414473684210526	0.617647058823529
bgs	V1_c1	emmax_snp_nonsingleton	1552470	1353	559	794	71	143	72	0.986013986013986	0.413155949741316	0.298449612403101	0.643223786407767	0.503496503496504	0.4	0.592
bgs	V1_c1	emmax_simes	307433	225	134	91	71	143	72	0.986013986013986	0.595555555555556	0.511889097744361	0.705015186915888	0.503496503496504	0.410949832169101	0.593990410809633
bgs	V1_c1	emmax_consensus	307433	233	134	99	74	143	69	0.986013986013986	0.575107296137339	0.488636363636364	0.6766336407634	0.482517482517483	0.399967320261438	0.5625
bgs	V1_c1.5	emmax_snp	1621446	1108	153	955	234	256	22	0.99609375	0.138086642599278	0.0923586158286032	0.195273357207091	0.0859375	0.0526262733446519	0.122962155563307
bgs	V1_c1.5	emmax_snp_nonsingleton	1621446	1066	152	914	235	256	21	0.99609375	0.142589118198874	0.0942328896799172	0.202899257688229	0.08203125	0.0486085199004975	0.120624245270361
bgs	V1_c1.5	emmax_simes	307910	207	25	182	236	256	20	0.99609375	0.120772946859903	0.0904749240121581	0.161141262803853	0.078125	0.04561004784689	0.11313025210084
bgs	V1_c1.5	emmax_consensus	307910	234	25	209	236	256	20	0.99609375	0.106837606837607	0.0701102700279339	0.145835568669528	0.078125	0.0469314079422383	0.116514310931787
bgs	V2_c1	emmax_snp	1551174	406	238	168	92	121	29	0.966942148760331	0.586206896551724	0.46975233553912	0.648733283803863	0.239669421487603	0.152169565217391	0.346195652173913
bgs	V2_c1	emmax_snp_nonsingleton	1551174	377	234	143	95	121	26	0.966942148760331	0.620689655172414	0.511527777777778	0.68154803471668	0.214876033057851	0.14166482300885	0.3
bgs	V2_c1	emmax_simes	307253	92	52	40	93	121	28	0.966942148760331	0.565217391304348	0.426588235294118	0.675225225225225	0.231404958677686	0.167998473282443	0.295652173913044
bgs	V2_c1	emmax_consensus	307253	86	50	36	95	121	26	0.966942148760331	0.581395348837209	0.451206630024047	0.688184723067559	0.214876033057851	0.139705882352941	0.304781746031746
bgs	V2_c1.5	emmax_snp	1623067	822	81	741	177	190	13	0.994736842105263	0.0985401459854015	0.0434100998890122	0.167164304993252	0.068421052631579	0.0391041013762093	0.0957549099836333
