tag	cell	method	reference_method	diff_precision	diff_precision_ci_lo	diff_precision_ci_hi	diff_recall	diff_recall_ci_lo	diff_recall_ci_hi
nobgs	V1_c1.5	emmax_consensus	emmax_snp	-0.0761324041811847	-0.13943912950936	-0.0281304702739267	-0.0255474452554745	-0.0534402328098038	0
nobgs	V2_c1	emmax_snp_nonsingleton	emmax_snp	0.0142257215194991	0.00628745836376523	0.0340833006410061	-0.046875	-0.10077682235685	-0.00819672131147542
nobgs	V2_c1	emmax_simes	emmax_snp	0.0577382136463099	-0.0922423208631266	0.134312189512007	-0.078125	-0.13179415721699	-0.031496062992126
nobgs	V2_c1	emmax_consensus	emmax_snp	0.0577382136463099	-0.0592774562479647	0.12011369547781	-0.0546875	-0.114769861286255	-0.00708850472813242
nobgs	V2_c1.5	emmax_snp_nonsingleton	emmax_snp	0.00670497383157048	0.0031739517399644	0.0141017776757267	-0.00510204081632654	-0.0145648827847502	0
nobgs	V2_c1.5	emmax_simes	emmax_snp	-0.0940367460773669	-0.191934900697526	-0.00401612758195356	-0.0204081632653061	-0.0461538461538462	0.005
nobgs	V2_c1.5	emmax_consensus	emmax_snp	-0.107108641502203	-0.190453084887399	-0.039120333109347	-0.0153061224489796	-0.0344870262888358	0.00510204081632652
bgs	V0.5_c1	emmax_snp_nonsingleton	emmax_snp	0.012439908592969	0.00722315211455358	0.0204243707545761	-0.0239520958083832	-0.0443108522131742	-0.00574712643678155
bgs	V0.5_c1	emmax_simes	emmax_snp	0.0664961636828644	-0.0536948087273856	0.179421081447043	-0.0838323353293413	-0.122702077279087	-0.0421686746987952
bgs	V0.5_c1	emmax_consensus	emmax_snp	0.0732188527584947	-0.044286355493346	0.175158139107293	-0.0718562874251497	-0.104938271604938	-0.0409297225622195
bgs	V0.5_c1.5	emmax_snp_nonsingleton	emmax_snp	0.00373713941026671	0.0023932794434129	0.00527843582565305	0	0	0
bgs	V0.5_c1.5	emmax_simes	emmax_snp	-0.07047476612694	-0.145059049264636	0.00917829899438166	-0.0427046263345196	-0.0788530465949821	-0.0108303249097473
bgs	V0.5_c1.5	emmax_consensus	emmax_snp	-0.0815577915984547	-0.158363427966622	-0.003355967180694	-0.0427046263345196	-0.0805860805860806	-0.00719232443226915
bgs	V0.5_c2	emmax_snp_nonsingleton	emmax_snp	0.000184620637440132	3.8470120502992e-05	0.000382198816703114	-0.002710027100271	-0.00845130102649797	0
bgs	V0.5_c2	emmax_simes	emmax_snp	0.00597993689635324	-0.00625729004023353	0.0171763079581917	-0.013550135501355	-0.0383561643835616	0.0158761904761905
bgs	V0.5_c2	emmax_consensus	emmax_snp	0.00416005218110047	-0.0038990551294787	0.0123085210388571	-0.0487804878048781	-0.0708446866485014	-0.024390243902439
bgs	V1_c1	emmax_snp_nonsingleton	emmax_snp	0.0053545313015993	0.00216471250049305	0.00887318067333435	-0.0209790209790209	-0.041958041958042	0
bgs	V1_c1	emmax_simes	emmax_snp	0.187754137115839	0.00845127485490594	0.278245531838294	-0.0209790209790209	-0.06	0.0147058823529411
bgs	V1_c1	emmax_consensus	emmax_snp	0.167305877697623	0.00355822758396386	0.231479722269931	-0.041958041958042	-0.0935360436483029	0.00658003659811782
bgs	V1_c1.5	emmax_snp_nonsingleton	emmax_snp	0.00450247559959632	0.000713767575662026	0.00879356960509646	-0.00390625	-0.0113229069517182	0
bgs	V1_c1.5	emmax_simes	emmax_snp	-0.0173136957393746	-0.0807458011494591	0.0445785271293932	-0.0078125	-0.029745346198293	0.012097998563406
bgs	V1_c1.5	emmax_consensus	emmax_snp	-0.0312490357616711	-0.102324255533851	0.0312794089157998	-0.0078125	-0.0394749843977533	0.0192363813229572
bgs	V2_c1	emmax_snp_nonsingleton	emmax_snp	0.0344827586206897	0.0212868725202692	0.0549924740314412	-0.0247933884297521	-0.0535714285714286	0
bgs	V2_c1	emmax_simes	emmax_snp	-0.0209895052473763	-0.123883582089552	0.0777453941407429	-0.00826446280991736	-0.0660396850148137	0.040983606557377
bgs	V2_c1	emmax_consensus	emmax_snp	-0.00481154771451475	-0.100450969094463	0.0792468659198487	-0.0247933884297521	-0.0683908045977012	0.0160065040650406
bgs	V2_c1.5	emmax_snp_nonsingleton	emmax_snp	0.00399149958421879	0.00169037149690646	0.00777408076228376	0	0	0
bgs	V2_c1.5	emmax_simes	emmax_snp	0.00562652068126521	-0.072149235447398	0.0724251578399572	0.0157894736842105	-0.00648923444976077	0.0432543951718708
bgs	V2_c1.5	emmax_consensus	emmax_snp	-0.0134337630066781	-0.0924386428971823	0.0540135990160592	0.0105263157894737	-0.0155460654145078	0.0343179513184584
nobgs	V0.5_c1	lfmm_simes	lfmm_snp	0.140701259039442	0.0736269384573747	0.187415613336065	-0.0588235294117646	-0.0967783080974325	-0.0273941469489415
nobgs	V0.5_c1.5	lfmm_simes	lfmm_snp	-0.0288951583545686	-0.0990129606899526	0.0337204197892868	-0.0264150943396226	-0.0524193548387096	-0.00367647058823531
nobgs	V0.5_c2	lfmm_simes	lfmm_snp	0.00611183029677502	-0.0009718016920255	0.0126401514507569	-0.0289017341040462	-0.0557362344839559	-0.00528615807857595
nobgs	V1_c1	lfmm_simes	lfmm_snp	0.150354004750813	0.0279728923361872	0.243035619973748	-0.0256410256410257	-0.0496894409937888	0
nobgs	V1_c1.5	lfmm_simes	lfmm_snp	0.0132959448526933	-0.0397210668818252	0.0616028241496991	-0.0364963503649635	-0.0588235294117647	-0.00816161282326696
nobgs	V2_c1	lfmm_simes	lfmm_snp	0.079734219269103	-0.0623506707792745	0.210036564903653	-0.078125	-0.153225806451613	-0.0151515151515151
nobgs	V2_c1.5	lfmm_simes	lfmm_snp	-0.0604982463752395	-0.118553695538076	-0.00665692563819623	-0.00510204081632654	-0.0267881144393241	0.0173593216797826
bgs	V0.5_c1	lfmm_simes	lfmm_snp	0.0706033522802819	0.000761807430971873	0.133863413185671	-0.0538922155688623	-0.0823641813413264	-0.0282485875706215
bgs	V0.5_c1.5	lfmm_simes	lfmm_snp	0.0113520658957055	-0.0185174596792291	0.0380375376318531	-0.0391459074733096	-0.0693558125805066	-0.0139360723964383
bgs	V0.5_c2	lfmm_simes	lfmm_snp	0.0076324807459874	-0.00128511744904656	0.0158078243949414	0.00271002710027099	-0.0292592302878598	0.0360151960889576
bgs	V1_c1	lfmm_simes	lfmm_snp	0.112289989735833	-0.00416087008778668	0.195199465439339	-0.034965034965035	-0.0662261629298652	0
bgs	V1_c1.5	lfmm_simes	lfmm_snp	-0.00436170782027577	-0.0439059278255516	0.0358414343991291	-0.03125	-0.0526369276850663	-0.00829875518672199
bgs	V2_c1	lfmm_simes	lfmm_snp	0.00996450996450993	-0.0743855805765309	0.0917356447131258	-0.024793388429752	-0.0512931034482759	-0.00693975225225225
bgs	V2_c1.5	lfmm_simes	lfmm_snp	-0.0333290654704877	-0.0819789851276745	0.0210286316843777	-0.0157894736842105	-0.0457572684246112	0.0118471035137701
