cell	method	arm	floor	precision	recall	prec_x_rec	prec_x_rec_ci_lo	prec_x_rec_ci_hi
V0.5_c2	emmax	B_floor_filtered_marker	3	0.0258988421694089	0.121678321678322	0.00315132764858542	0.00251484735900074	0.00384101310083258
V0.5_c2	emmax	C_stage1_simes	3	0.0240963855421687	0.0769230769230769	0.00185356811862836	0.00121050942142835	0.00266210504981709
V0.5_c2	emmax	D_stage1_consensus	3	0.0187032418952618	0.0405594405594406	0.000758593027919711	0.000412642259298809	0.00120867511739092
V0.5_c2	lfmm	A_unrestricted_marker	3	0.0295542635658915	0.251748251748252	0.00744023418442023	0.00598274529852907	0.00867049031867011
V0.5_c2	lfmm	B_floor_filtered_marker	3	0.0307216869660062	0.237762237762238	0.0073044570408686	0.00587255987754019	0.00868359738068274
V0.5_c2	lfmm	C_stage1_simes	3	0.0316925151719488	0.198601398601399	0.00629417783834507	0.004962190135156	0.00746789492638497
V0.5_c2	emmax	A_unrestricted_marker	5	0.0241138872748402	0.116083916083916	0.00279923446686956	0.00212905689792076	0.00354559162703071
V0.5_c2	emmax	B_floor_filtered_marker	5	0.027593085106383	0.121678321678322	0.00335748028567178	0.00247579862087337	0.00439765357279048
V0.5_c2	emmax	C_stage1_simes	5	0.0271957200178333	0.0881118881118881	0.00239626623933356	0.00160439985921551	0.00333978566968026
V0.5_c2	emmax	D_stage1_consensus	5	0.0213284582571603	0.0517482517482518	0.00110371042729361	0.00056728406256434	0.00177126286544671
V0.5_c2	lfmm	A_unrestricted_marker	5	0.0295542635658915	0.251748251748252	0.00744023418442023	0.00598274529852907	0.00867049031867011
V0.5_c2	lfmm	B_floor_filtered_marker	5	0.0314389359129383	0.223776223776224	0.00703528635814005	0.00566382342815867	0.00835883324442948
V0.5_c2	lfmm	C_stage1_simes	5	0.0329931165440304	0.2	0.00659862330880608	0.00557846360509625	0.0075826437328251
V0.5_c2	emmax	A_unrestricted_marker	10	0.0241138872748402	0.116083916083916	0.00279923446686956	0.00212905689792076	0.00354559162703071
V0.5_c2	emmax	B_floor_filtered_marker	10	0.037506088650755	0.113286713286713	0.00424894151148413	0.00312226313935467	0.00549796130491485
V0.5_c2	emmax	C_stage1_simes	10	0.0378071833648393	0.0881118881118881	0.00333126231046836	0.00229702506271257	0.00462805209334269
V0.5_c2	emmax	D_stage1_consensus	10	0.0353448275862069	0.0629370629370629	0.00222449963829274	0.00115181694252891	0.00387311901504788
V0.5_c2	lfmm	A_unrestricted_marker	10	0.0295542635658915	0.251748251748252	0.00744023418442023	0.00598274529852907	0.00867049031867011
V0.5_c2	lfmm	B_floor_filtered_marker	10	0.0397590361445783	0.188811188811189	0.00750695088044486	0.00606113716028103	0.00904056750034495
V0.5_c2	lfmm	C_stage1_simes	10	0.0421309192200557	0.173426573426573	0.00730662095564603	0.00623526753457759	0.00845390394783206
V0.5_c2	emmax	A_unrestricted_marker	20	0.0241138872748402	0.116083916083916	0.00279923446686956	0.00212905689792076	0.00354559162703071
V0.5_c2	emmax	B_floor_filtered_marker	20	0.0478905359179019	0.0643356643356643	0.00308106944366922	0.00191538157161207	0.00461943529760342
V0.5_c2	emmax	C_stage1_simes	20	0.0513552068473609	0.0559440559440559	0.00287301856488732	0.00168667025850713	0.00428024998545517
V0.5_c2	emmax	D_stage1_consensus	20	0.0542635658914729	0.0447552447552448	0.00242857917276522	0.00127752070537103	0.00411554080321652
V0.5_c2	lfmm	A_unrestricted_marker	20	0.0295542635658915	0.251748251748252	0.00744023418442023	0.00598274529852907	0.00867049031867011
V0.5_c2	lfmm	B_floor_filtered_marker	20	0.0524475524475525	0.111888111888112	0.00586825761650936	0.003904371062793	0.00796425974388769
V0.5_c2	lfmm	C_stage1_simes	20	0.0567092651757189	0.106293706293706	0.00602783797671977	0.00409036831225969	0.00790947887161794
V1_c1	emmax	A_unrestricted_marker	1	0.352826510721248	0.488294314381271	0.172283179148168	0.137759020017454	0.223466595559073
V1_c1	emmax	B_floor_filtered_marker	1	0.352826510721248	0.488294314381271	0.172283179148168	0.137759020017454	0.223466595559073
V1_c1	emmax	C_stage1_simes	1	0.591666666666667	0.431438127090301	0.255267558528428	0.215343394558801	0.305207721730092
V1_c1	emmax	D_stage1_consensus	1	0.568093385214008	0.438127090301003	0.24889710188306	0.21878761675523	0.289707398508176
V1_c1	lfmm	A_unrestricted_marker	1	0.36248012718601	0.575250836120401	0.208516996240781	0.172623641854042	0.244544548167548
V1_c1	lfmm	B_floor_filtered_marker	1	0.36248012718601	0.575250836120401	0.208516996240781	0.172623641854042	0.244544548167548
V1_c1	lfmm	C_stage1_simes	1	0.5	0.545150501672241	0.27257525083612	0.223902536449014	0.324489334264172
V1_c1	emmax	A_unrestricted_marker	2	0.352826510721248	0.488294314381271	0.172283179148168	0.137759020017454	0.223466595559073
V1_c1	emmax	B_floor_filtered_marker	2	0.373776908023483	0.491638795986622	0.183763229028268	0.149187816244025	0.236808183010261
V1_c1	emmax	C_stage1_simes	2	0.603112840466926	0.451505016722408	0.272308473120518	0.232803454107478	0.314354075454171
V1_c1	emmax	D_stage1_consensus	2	0.588235294117647	0.454849498327759	0.267558528428094	0.237130249977282	0.3079485868497
V1_c1	lfmm	A_unrestricted_marker	2	0.36248012718601	0.575250836120401	0.208516996240781	0.172623641854042	0.244544548167548
V1_c1	lfmm	B_floor_filtered_marker	2	0.393103448275862	0.555183946488294	0.21824472379195	0.17672287324937	0.265902522898799
V1_c1	lfmm	C_stage1_simes	2	0.525745257452575	0.545150501672241	0.286610290852072	0.231059156691768	0.35353180580924
V1_c1	emmax	A_unrestricted_marker	3	0.352826510721248	0.488294314381271	0.172283179148168	0.137759020017454	0.223466595559073
V1_c1	emmax	B_floor_filtered_marker	3	0.386574074074074	0.441471571906355	0.170661464139725	0.140707251288633	0.217664401998996
V1_c1	emmax	C_stage1_simes	3	0.584677419354839	0.424749163879599	0.248341245010249	0.216702125358152	0.282269616480761
V1_c1	emmax	D_stage1_consensus	3	0.517985611510791	0.414715719063545	0.214816775342268	0.176455267716568	0.271130464736159
