method	floor	arm_x	arm_z	diff_precision	diff_precision_ci_lo	diff_precision_ci_hi	diff_recall	diff_recall_ci_lo	diff_recall_ci_hi	diff_fdp	diff_fdp_ci_lo	diff_fdp_ci_hi	diff_n_tests	diff_n_tests_ci_lo	diff_n_tests_ci_hi	diff_n_regions	diff_n_regions_ci_lo	diff_n_regions_ci_hi
lfmm	3	C_stage1_simes	B_floor_filtered_marker	0.01530420018135	0.011704540997546	0.0189666307838989	-0.0397286821705427	-0.0457255673935663	-0.0346051800485714	-0.01530420018135	-0.0189666307838989	-0.011704540997546	-8184889	-8640523.9	-7754493.825	-2883	-3153	-2619
lfmm	3	C_stage1_simes	A_unrestricted_marker	0.0162773264860093	0.011775256710092	0.0209387700667113	-0.0529715762273902	-0.0645603078743836	-0.039993690851735	-0.0162773264860093	-0.0209387700667113	-0.011775256710092	-19933766	-20012178.3	-19832709.6	-3807	-4216.075	-3478
lfmm	5	B_floor_filtered_marker	A_unrestricted_marker	0.00165145529803457	-0.00261285968527286	0.00626699008093977	-0.0523255813953488	-0.066079729204208	-0.0379627509678675	-0.00165145529803457	-0.00626699008093981	0.00261285968527288	-15909125	-16520771.6	-15207817.15	-2649	-2938.1	-2327
lfmm	5	C_stage1_simes	B_floor_filtered_marker	0.0125038421091515	0.00779627625482251	0.0174202214294089	-0.0293927648578811	-0.0346864317503095	-0.0236551328028862	-0.0125038421091515	-0.0174202214294089	-0.00779627625482261	-5277463	-5839581.65	-4761692.075	-2058	-2299.025	-1835.975
lfmm	5	C_stage1_simes	A_unrestricted_marker	0.014155297407186	0.00831134440110568	0.020882255631415	-0.0817183462532299	-0.0971552175861717	-0.0659939270267755	-0.014155297407186	-0.020882255631415	-0.00831134440110568	-21186588	-21301661.4	-21046351.9	-4707	-5080.075	-4398
lfmm	10	B_floor_filtered_marker	A_unrestricted_marker	0.0162131630331437	0.0102408922105382	0.0222565046373875	-0.128229974160207	-0.146666462905231	-0.106555916425587	-0.0162131630331437	-0.0222565046373875	-0.0102408922105382	-19105920	-19636647.175	-18524727.1	-6134	-6395.025	-5846.95
lfmm	10	C_stage1_simes	B_floor_filtered_marker	0.0145436607257167	0.0109369290891974	0.0182577247986144	-0.0155038759689922	-0.0206899297166703	-0.0106697686618587	-0.0145436607257168	-0.0182577247986144	-0.0109369290891975	-2598480	-3071214.9	-2155747.275	-1006	-1167.1	-855
lfmm	10	C_stage1_simes	A_unrestricted_marker	0.0307568237588604	0.0241247004905753	0.0373216988238622	-0.143733850129199	-0.158948796607142	-0.12689842044057	-0.0307568237588605	-0.0373216988238622	-0.0241247004905753	-21704400	-21808520.3	-21581649.8	-7140	-7424.05	-6864.95
lfmm	20	B_floor_filtered_marker	A_unrestricted_marker	0.0411087842490884	0.0213912333037615	0.0648704637704913	-0.226744186046512	-0.253693118103699	-0.196039945182819	-0.0411087842490884	-0.0648704637704914	-0.0213912333037615	-20631724	-20986989.75	-20245379.9	-9317	-9536.025	-9076.95
lfmm	20	C_stage1_simes	B_floor_filtered_marker	0.0148418201756815	0.00829885461626714	0.0209146252208498	-0.00807493540051681	-0.0135836609352039	-0.00322992203021705	-0.0148418201756816	-0.0209146252208498	-0.00829885461626725	-1191575	-1488869.325	-911691.725000001	-350	-451.025	-269
lfmm	20	C_stage1_simes	A_unrestricted_marker	0.0559506044247699	0.0354238408570071	0.0780711574417662	-0.234819121447028	-0.258684125735132	-0.209249103935873	-0.05595060442477	-0.0780711574417662	-0.0354238408570071	-21823299	-21913653.325	-21714970.9	-9667	-9904	-9395.95
