tag	cell	method	n_tested	n_significant	TP	FP	FN	n_detectable_qtn	n_recovered	coverage	precision	precision_ci_lo	precision_ci_hi	recall	recall_ci_lo	recall_ci_hi
bgs	V0.5_c1	emmax_consensus_region	306715	163	85	78	88	167	79	0.958083832335329	0.521472392638037	0.430552536231884	0.642857142857143	0.473053892215569	0.404881429919773	0.543352601156069
bgs	V0.5_c1.5	emmax_snp_region	1615784	324	48	276	236	281	45	1	0.148148148148148	0.122337470449173	0.178220418195666	0.160142348754448	0.118634047182776	0.197761194029851
bgs	V0.5_c1.5	emmax_simes_region	305864	192	35	157	249	281	32	1	0.182291666666667	0.15507820855615	0.214285714285714	0.113879003558719	0.0810810810810811	0.151291512915129
bgs	V0.5_c1.5	emmax_consensus_region	305864	240	35	205	249	281	32	1	0.145833333333333	0.123346508961439	0.173165846250524	0.113879003558719	0.090603734536866	0.139707858950032
bgs	V0.5_c2	emmax_snp_region	1804009	2173	54	2119	319	369	50	0.937669376693767	0.0248504371836171	0.0195892226788993	0.030963965504825	0.13550135501355	0.113202217247628	0.159340659340659
bgs	V0.5_c2	emmax_simes_region	267574	1249	29	1220	338	369	31	0.937669376693767	0.0232185748598879	0.0156793059757736	0.0308892253207798	0.0840108401084011	0.0523385408799603	0.117191145833333
bgs	V0.5_c2	emmax_consensus_region	267574	827	18	809	351	369	18	0.937669376693767	0.0217654171704958	0.0164691770647653	0.0265285018428006	0.0487804878048781	0.0349438943180835	0.0604399064411659
bgs	V1_c1	emmax_snp_region	1552470	237	96	141	68	143	75	0.986013986013986	0.405063291139241	0.300267019596917	0.554220141435306	0.524475524475525	0.408163265306122	0.617215827767176
bgs	V1_c1	emmax_simes_region	307433	150	86	64	71	143	72	0.986013986013986	0.573333333333333	0.49324092928545	0.678276824890307	0.503496503496504	0.410071942446043	0.595419847328244
bgs	V1_c1	emmax_consensus_region	307433	152	83	69	74	143	69	0.986013986013986	0.546052631578947	0.468201608122128	0.628802447552448	0.482517482517483	0.398729590900752	0.562043795620438
bgs	V1_c1.5	emmax_snp_region	1621446	318	30	288	230	256	26	0.99609375	0.0943396226415094	0.0746717955957086	0.115727002967359	0.1015625	0.0652156210168531	0.142857142857143
bgs	V1_c1.5	emmax_simes_region	307910	184	20	164	236	256	20	0.99609375	0.108695652173913	0.0719424460431655	0.152639318885449	0.078125	0.0468704401750973	0.112612612612613
bgs	V1_c1.5	emmax_consensus_region	307910	200	20	180	236	256	20	0.99609375	0.1	0.0691815535929346	0.132075471698113	0.078125	0.0457481940144479	0.114406779661017
bgs	V2_c1	emmax_snp_region	1551174	99	36	63	92	121	29	0.966942148760331	0.363636363636364	0.273806390977444	0.43479267310789	0.239669421487603	0.148904041125232	0.348623853211009
bgs	V2_c1	emmax_simes_region	307253	70	35	35	93	121	28	0.966942148760331	0.5	0.37034188034188	0.629642313546423	0.231404958677686	0.168899485768955	0.301724137931035
bgs	V2_c1	emmax_consensus_region	307253	64	32	32	95	121	26	0.966942148760331	0.5	0.396216588050315	0.597467532467532	0.214876033057851	0.138204373423045	0.305798153525426
bgs	V2_c1.5	emmax_snp_region	1623067	269	20	249	172	190	18	0.994736842105263	0.0743494423791822	0.0543921684555212	0.0960021352313167	0.0947368421052632	0.0742850070721358	0.113095238095238
bgs	V2_c1.5	emmax_simes_region	311536	176	17	159	174	190	16	0.994736842105263	0.0965909090909091	0.0645161290322581	0.134152897980593	0.0842105263157895	0.0585106382978723	0.106282762873882
bgs	V2_c1.5	emmax_consensus_region	311536	212	16	196	175	190	15	0.994736842105263	0.0754716981132076	0.0465116279069768	0.116670560747664	0.0789473684210526	0.0543445521215296	0.105000570776256
