cell,tag,engine,l_min,n_true,n_markers,n_Cgt0,n_BH05,recall_cap,max_recall_C,max_recall_alpha,PR_AUC_C,PR_AUC_alpha,PR_AUC_C_cs,PR_AUC_alpha_cs
V0.5_c1_env10,bgs,lfmm,1,17,231847,2089,765,0.705882352941177,0.705882352941177,0.764705882352941,0.334154320512273,0.506838180379859,0.334154320512273,0.505429916022877
V0.5_c1_env10,bgs,lfmm,3,17,231847,2089,765,0.647058823529412,0.647058823529412,0.705882352941177,0.444359609515448,0.501660777846028,0.444359609515448,0.497738083624827
V0.5_c1_env10,nobgs,emmax,1,21,302905,3930,1818,0.571428571428571,0.571428571428571,0.619047619047619,0.276355092276145,0.457785090780498,0.276355092276145,0.45703197945845
V0.5_c1_env10,nobgs,emmax,3,21,302905,3930,1818,0.571428571428571,0.571428571428571,0.571428571428571,0.303849898442999,0.395624798502397,0.303849898442999,0.395624798502397
V0.5_c1_env10,nobgs,lfmm,1,21,302905,3708,1624,0.571428571428571,0.571428571428571,0.571428571428571,0.246508268400283,0.433429858429858,0.246508268400283,0.433429858429858
V0.5_c1_env10,nobgs,lfmm,3,21,302905,3708,1624,0.523809523809524,0.523809523809524,0.523809523809524,0.324549062049062,0.435839598997494,0.324549062049062,0.435839598997494
V0.5_c2_env1,bgs,emmax,1,33,309524,2946,1236,0.303030303030303,0.303030303030303,0.454545454545455,0.0574939716377706,0.0351262958185154,0.0574939716377706,0.0315160094178653
V0.5_c2_env1,bgs,emmax,3,33,309524,2946,1236,0.272727272727273,0.272727272727273,0.363636363636364,0.0603038881601191,0.0588956658723795,0.0603038881601191,0.0528017640086606
V0.5_c2_env1,bgs,lfmm,1,33,309524,4717,2985,0.545454545454545,0.545454545454545,0.636363636363636,0.0516434939302733,0.0358259176510302,0.0516434939302733,0.0329698659219672
V0.5_c2_env1,bgs,lfmm,3,33,309524,4717,2985,0.484848484848485,0.484848484848485,0.545454545454545,0.061919721177003,0.0417287090832322,0.061919721177003,0.0382632679726575
V0.5_c2_env1,nobgs,emmax,1,34,371421,1652,279,0.235294117647059,0.235294117647059,0.441176470588235,0.0435157658936152,0.0230964977568614,0.0435157658936152,0.0183843272891248
V0.5_c2_env1,nobgs,emmax,3,34,371421,1652,279,0.147058823529412,0.147058823529412,0.294117647058824,0.0278526595584266,0.0190473720096813,0.0278526595584266,0.0138038168157015
V0.5_c2_env1,nobgs,lfmm,1,34,371421,5174,2720,0.529411764705882,0.529411764705882,0.617647058823529,0.0568668948262413,0.0266731772919263,0.0568668948262413,0.0236081271629042
V0.5_c2_env1,nobgs,lfmm,3,34,371421,5174,2720,0.382352941176471,0.382352941176471,0.441176470588235,0.0479941962064223,0.0292977576464795,0.0479941962064223,0.0262471985798776
V0.5_c2_env2,bgs,emmax,1,35,316016,4422,2685,0.371428571428571,0.371428571428571,0.485714285714286,0.0225575897056435,0.0367310338683545,0.0225575897056435,0.0338189293092512
V0.5_c2_env2,bgs,emmax,3,35,316016,4422,2685,0.342857142857143,0.342857142857143,0.428571428571429,0.0309251257194291,0.0493303001336372,0.0309251257194291,0.04580175165328
