analysis,flagged,contain,tag_not_contain,neither,satellites,raw_prec,raw_rec,dedup_regions,dedup_tp,dedup_qtn,dedup_prec,dedup_rec,cell,tag,env,n_qtn,n_clusters
simes_n2_nosparse,43,11,10,22,9,0.255813953488372,0.523809523809524,34,12,14,0.352941176470588,0.666666666666667,V0.5_c1,nobgs,8,21,100746
simes_n2,54,12,12,30,12,0.222222222222222,0.571428571428571,42,12,14,0.285714285714286,0.666666666666667,V0.5_c1,nobgs,8,21,100746
rep,53,7,16,30,14,0.132075471698113,0.333333333333333,39,9,11,0.230769230769231,0.523809523809524,V0.5_c1,nobgs,8,21,100746
simes,67,12,16,39,16,0.17910447761194,0.571428571428571,51,12,14,0.235294117647059,0.666666666666667,V0.5_c1,nobgs,8,21,100746
emlg,65,12,16,37,16,0.184615384615385,0.571428571428571,49,12,14,0.244897959183673,0.666666666666667,V0.5_c1,nobgs,8,21,100746
snp,73,10,8,55,8,0.136986301369863,0.588235294117647,65,10,12,0.153846153846154,0.705882352941177,V0.5_c1,nobgs,9,17,100958
snp_n2,67,9,9,49,8,0.134328358208955,0.529411764705882,59,10,12,0.169491525423729,0.705882352941177,V0.5_c1,nobgs,9,17,100958
snp_n5,44,8,8,28,6,0.181818181818182,0.470588235294118,38,10,12,0.263157894736842,0.705882352941177,V0.5_c1,nobgs,9,17,100958
simes_nosparse,8,6,1,1,1,0.75,0.352941176470588,7,6,8,0.857142857142857,0.470588235294118,V0.5_c1,nobgs,9,17,100958
simes_n2_nosparse,9,6,2,1,1,0.666666666666667,0.352941176470588,8,7,9,0.875,0.529411764705882,V0.5_c1,nobgs,9,17,100958
simes_n2,10,6,2,2,1,0.6,0.352941176470588,9,7,9,0.777777777777778,0.529411764705882,V0.5_c1,nobgs,9,17,100958
rep,5,4,0,1,0,0.8,0.235294117647059,5,4,5,0.8,0.294117647058824,V0.5_c1,nobgs,9,17,100958
simes,9,6,1,2,1,0.666666666666667,0.352941176470588,8,6,8,0.75,0.470588235294118,V0.5_c1,nobgs,9,17,100958
emlg,10,6,2,2,1,0.6,0.352941176470588,9,7,9,0.777777777777778,0.529411764705882,V0.5_c1,nobgs,9,17,100958
snp,134,11,16,107,16,0.082089552238806,0.55,118,11,12,0.0932203389830508,0.6,V0.5_c1,nobgs,10,20,103749
snp_n2,112,11,15,86,15,0.0982142857142857,0.55,97,11,12,0.11340206185567,0.6,V0.5_c1,nobgs,10,20,103749
snp_n5,84,9,12,63,11,0.107142857142857,0.45,73,10,11,0.136986301369863,0.55,V0.5_c1,nobgs,10,20,103749
simes_nosparse,21,7,4,10,2,0.333333333333333,0.35,19,9,10,0.473684210526316,0.5,V0.5_c1,nobgs,10,20,103749
simes_n2_nosparse,25,8,4,13,2,0.32,0.4,23,10,11,0.434782608695652,0.55,V0.5_c1,nobgs,10,20,103749
simes_n2,35,9,7,19,6,0.257142857142857,0.45,29,10,11,0.344827586206897,0.55,V0.5_c1,nobgs,10,20,103749
rep,19,6,4,9,3,0.315789473684211,0.3,16,7,8,0.4375,0.4,V0.5_c1,nobgs,10,20,103749
simes,26,8,6,12,5,0.307692307692308,0.4,21,9,10,0.428571428571429,0.5,V0.5_c1,nobgs,10,20,103749
emlg,27,7,5,15,4,0.259259259259259,0.35,23,8,8,0.347826086956522,0.4,V0.5_c1,nobgs,10,20,103749
snp,75,7,6,62,6,0.0933333333333333,0.333333333333333,69,7,8,0.101449275362319,0.380952380952381,V0.5_c1,bgs,1,21,84732
snp_n2,70,8,6,56,6,0.114285714285714,0.380952380952381,64,8,9,0.125,0.428571428571429,V0.5_c1,bgs,1,21,84732
snp_n5,64,8,7,49,6,0.125,0.380952380952381,58,9,10,0.155172413793103,0.476190476190476,V0.5_c1,bgs,1,21,84732
simes_nosparse,8,4,1,3,1,0.5,0.19047619047619,7,4,5,0.571428571428571,0.238095238095238,V0.5_c1,bgs,1,21,84732
simes_n2_nosparse,7,4,1,2,1,0.571428571428571,0.19047619047619,6,4,5,0.666666666666667,0.238095238095238,V0.5_c1,bgs,1,21,84732
simes_n2,7,4,1,2,1,0.571428571428571,0.19047619047619,6,4,5,0.666666666666667,0.238095238095238,V0.5_c1,bgs,1,21,84732
rep,5,2,1,2,1,0.4,0.0952380952380952,4,2,2,0.5,0.0952380952380952,V0.5_c1,bgs,1,21,84732
simes,8,4,1,3,1,0.5,0.19047619047619,7,4,5,0.571428571428571,0.238095238095238,V0.5_c1,bgs,1,21,84732
emlg,13,5,3,5,3,0.384615384615385,0.238095238095238,10,5,6,0.5,0.285714285714286,V0.5_c1,bgs,1,21,84732
snp,64,10,7,47,6,0.15625,0.5,58,11,11,0.189655172413793,0.55,V0.5_c1,bgs,2,20,84185
snp_n2,61,10,7,44,6,0.163934426229508,0.5,55,11,11,0.2,0.55,V0.5_c1,bgs,2,20,84185
snp_n5,45,9,6,30,5,0.2,0.45,40,10,10,0.25,0.5,V0.5_c1,bgs,2,20,84185
simes_nosparse,12,5,1,6,0,0.416666666666667,0.25,12,6,6,0.5,0.3,V0.5_c1,bgs,2,20,84185
simes_n2_nosparse,20,5,1,14,0,0.25,0.25,20,6,6,0.3,0.3,V0.5_c1,bgs,2,20,84185
