route,floor,R,R_ntrl,f_ntrl,cell,tag,env
simes,1,107,50,0.505968158843577,V0.5_c2,bgs,2
simes,2,117,54,0.506936453138985,V0.5_c2,bgs,2
simes,5,118,59,0.506203115983843,V0.5_c2,bgs,2
simes,8,134,66,0.50619448340346,V0.5_c2,bgs,2
cons,1,95,50,0.519936603269937,V0.5_c2,bgs,3
cons,2,115,59,0.515841488227885,V0.5_c2,bgs,3
cons,5,113,55,0.509795257033436,V0.5_c2,bgs,3
cons,8,112,56,0.502425748432138,V0.5_c2,bgs,3
best,1,232,113,0.519936603269937,V0.5_c2,bgs,3
best,2,269,137,0.515841488227885,V0.5_c2,bgs,3
best,5,304,151,0.509795257033436,V0.5_c2,bgs,3
best,8,307,152,0.502425748432138,V0.5_c2,bgs,3
simes,1,139,72,0.519936603269937,V0.5_c2,bgs,3
simes,2,154,76,0.515841488227885,V0.5_c2,bgs,3
simes,5,144,69,0.509795257033436,V0.5_c2,bgs,3
simes,8,142,67,0.502425748432138,V0.5_c2,bgs,3
cons,1,10,4,0.517170295960604,V0.5_c2,bgs,4
cons,2,23,11,0.518789310686121,V0.5_c2,bgs,4
cons,5,37,15,0.511564924608403,V0.5_c2,bgs,4
cons,8,35,14,0.508244072692261,V0.5_c2,bgs,4
best,1,142,59,0.517170295960604,V0.5_c2,bgs,4
best,2,175,81,0.518789310686121,V0.5_c2,bgs,4
best,5,220,96,0.511564924608403,V0.5_c2,bgs,4
best,8,217,96,0.508244072692261,V0.5_c2,bgs,4
simes,1,58,23,0.517170295960604,V0.5_c2,bgs,4
simes,2,70,30,0.518789310686121,V0.5_c2,bgs,4
simes,5,74,32,0.511564924608403,V0.5_c2,bgs,4
simes,8,83,36,0.508244072692261,V0.5_c2,bgs,4
cons,1,6,1,0.511234850966263,V0.5_c2,bgs,5
cons,2,31,16,0.511537347536446,V0.5_c2,bgs,5
cons,5,60,29,0.511849034523113,V0.5_c2,bgs,5
cons,8,61,30,0.51009678575696,V0.5_c2,bgs,5
best,1,227,110,0.511234850966263,V0.5_c2,bgs,5
best,2,313,156,0.511537347536446,V0.5_c2,bgs,5
best,5,358,181,0.511849034523113,V0.5_c2,bgs,5
best,8,366,185,0.51009678575696,V0.5_c2,bgs,5
simes,1,8,3,0.511234850966263,V0.5_c2,bgs,5
simes,2,37,16,0.511537347536446,V0.5_c2,bgs,5
simes,5,65,28,0.511849034523113,V0.5_c2,bgs,5
simes,8,95,51,0.51009678575696,V0.5_c2,bgs,5
cons,1,16,5,0.528810743458397,V0.5_c2,nobgs,1
cons,2,25,8,0.523569162874086,V0.5_c2,nobgs,1
cons,5,31,10,0.520644761314321,V0.5_c2,nobgs,1
cons,8,38,12,0.521482065431612,V0.5_c2,nobgs,1
best,1,86,34,0.528810743458397,V0.5_c2,nobgs,1
best,2,111,44,0.523569162874086,V0.5_c2,nobgs,1
best,5,159,69,0.520644761314321,V0.5_c2,nobgs,1
best,8,176,73,0.521482065431612,V0.5_c2,nobgs,1
simes,1,23,6,0.528810743458397,V0.5_c2,nobgs,1
simes,2,35,13,0.523569162874086,V0.5_c2,nobgs,1
simes,5,43,17,0.520644761314321,V0.5_c2,nobgs,1
simes,8,41,15,0.521482065431612,V0.5_c2,nobgs,1
cons,1,149,73,0.524642006406922,V0.5_c2,nobgs,2
cons,2,182,92,0.520422362282066,V0.5_c2,nobgs,2
cons,5,196,100,0.51850273889227,V0.5_c2,nobgs,2
cons,8,173,86,0.517059855722363,V0.5_c2,nobgs,2
best,1,300,155,0.524642006406922,V0.5_c2,nobgs,2
best,2,369,190,0.520422362282066,V0.5_c2,nobgs,2
best,5,393,199,0.51850273889227,V0.5_c2,nobgs,2
best,8,374,196,0.517059855722363,V0.5_c2,nobgs,2
simes,1,159,85,0.524642006406922,V0.5_c2,nobgs,2
simes,2,181,100,0.520422362282066,V0.5_c2,nobgs,2
simes,5,191,93,0.51850273889227,V0.5_c2,nobgs,2
simes,8,172,84,0.517059855722363,V0.5_c2,nobgs,2
cons,1,76,39,0.527685950413223,V0.5_c2,nobgs,3
cons,2,97,55,0.523435154096034,V0.5_c2,nobgs,3
cons,5,112,58,0.522989202960087,V0.5_c2,nobgs,3
cons,8,125,65,0.525452976704055,V0.5_c2,nobgs,3
best,1,171,86,0.527685950413223,V0.5_c2,nobgs,3
best,2,199,106,0.523435154096034,V0.5_c2,nobgs,3
best,5,224,113,0.522989202960087,V0.5_c2,nobgs,3
best,8,247,123,0.525452976704055,V0.5_c2,nobgs,3
simes,1,109,51,0.527685950413223,V0.5_c2,nobgs,3
simes,2,117,55,0.523435154096034,V0.5_c2,nobgs,3
simes,5,115,56,0.522989202960087,V0.5_c2,nobgs,3
simes,8,117,57,0.525452976704055,V0.5_c2,nobgs,3
cons,1,17,5,0.529382971201697,V0.5_c2,nobgs,4
cons,2,18,4,0.524939903846154,V0.5_c2,nobgs,4
cons,5,25,6,0.524122127949464,V0.5_c2,nobgs,4
cons,8,28,9,0.52465876257846,V0.5_c2,nobgs,4
best,1,126,58,0.529382971201697,V0.5_c2,nobgs,4
best,2,144,66,0.524939903846154,V0.5_c2,nobgs,4
best,5,158,78,0.524122127949464,V0.5_c2,nobgs,4
best,8,186,95,0.52465876257846,V0.5_c2,nobgs,4
simes,1,37,11,0.529382971201697,V0.5_c2,nobgs,4
simes,2,50,19,0.524939903846154,V0.5_c2,nobgs,4
simes,5,53,21,0.524122127949464,V0.5_c2,nobgs,4
simes,8,57,23,0.52465876257846,V0.5_c2,nobgs,4
cons,1,31,11,0.524118531721718,V0.5_c2,nobgs,5
cons,2,32,11,0.520224812425593,V0.5_c2,nobgs,5
cons,5,48,20,0.517230712120275,V0.5_c2,nobgs,5
cons,8,71,26,0.517881571233144,V0.5_c2,nobgs,5
best,1,217,105,0.524118531721718,V0.5_c2,nobgs,5
best,2,286,136,0.520224812425593,V0.5_c2,nobgs,5
best,5,362,173,0.517230712120275,V0.5_c2,nobgs,5
best,8,363,171,0.517881571233144,V0.5_c2,nobgs,5
simes,1,15,3,0.524118531721718,V0.5_c2,nobgs,5
simes,2,29,8,0.520224812425593,V0.5_c2,nobgs,5
simes,5,67,26,0.517230712120275,V0.5_c2,nobgs,5
simes,8,77,33,0.517881571233144,V0.5_c2,nobgs,5
cons,1,3,1,0.513861567917749,V1_c1.5,bgs,1
cons,2,3,1,0.513391416585996,V1_c1.5,bgs,1
cons,5,2,0,0.508918851017503,V1_c1.5,bgs,1
cons,8,1,0,0.507634827810266,V1_c1.5,bgs,1
best,1,8,4,0.513861567917749,V1_c1.5,bgs,1
best,2,12,5,0.513391416585996,V1_c1.5,bgs,1
best,5,18,8,0.508918851017503,V1_c1.5,bgs,1
best,8,47,22,0.507634827810266,V1_c1.5,bgs,1
simes,1,2,0,0.513861567917749,V1_c1.5,bgs,1
simes,2,6,3,0.513391416585996,V1_c1.5,bgs,1
simes,5,4,1,0.508918851017503,V1_c1.5,bgs,1
simes,8,3,1,0.507634827810266,V1_c1.5,bgs,1
cons,1,47,26,0.519688344395184,V1_c1.5,bgs,2
cons,2,64,31,0.519301984814173,V1_c1.5,bgs,2
cons,5,85,38,0.511331097112002,V1_c1.5,bgs,2
cons,8,87,39,0.508570529957541,V1_c1.5,bgs,2
best,1,110,53,0.519688344395184,V1_c1.5,bgs,2
best,2,149,69,0.519301984814173,V1_c1.5,bgs,2
best,5,205,104,0.511331097112002,V1_c1.5,bgs,2
best,8,215,109,0.508570529957541,V1_c1.5,bgs,2
simes,1,38,17,0.519688344395184,V1_c1.5,bgs,2
simes,2,57,29,0.519301984814173,V1_c1.5,bgs,2
simes,5,69,34,0.511331097112002,V1_c1.5,bgs,2
simes,8,77,39,0.508570529957541,V1_c1.5,bgs,2
