route,n,gif,pct_lt_01,pct_lt_001,cell,tag,env
simes,53774,0.826066522272628,0.890765053743445,0.0855431993156544,V0.5_c1,nobgs,5
cons,31628,1.055111023823,1.49551030732263,0.259263943341343,V0.5_c2,bgs,1
best,31628,1.40107380902197,2.32389022385228,0.5438219299355,V0.5_c2,bgs,1
simes,31628,0.906137574412354,1.41646642215758,0.265587454154547,V0.5_c2,bgs,1
cons,30732,1.03484250613763,1.93283873486919,0.442535467916179,V0.5_c2,bgs,2
best,30732,1.38768662431004,2.66822855655343,0.748405570740596,V0.5_c2,bgs,2
simes,30732,0.873419682448231,1.78966549524925,0.439281530652089,V0.5_c2,bgs,2
cons,31165,1.02656288203398,1.88031445531847,0.452430611262634,V0.5_c2,bgs,3
best,31165,1.36147692786955,2.67928766244184,0.699502647200385,V0.5_c2,bgs,3
simes,31165,0.873214350780401,1.76480025669822,0.449221883523183,V0.5_c2,bgs,3
cons,31611,1.04960951239367,1.5817278795356,0.268893739521053,V0.5_c2,bgs,4
best,31611,1.42598613263782,2.28401505804941,0.518806744487678,V0.5_c2,bgs,4
simes,31611,0.909672160423267,1.51845876435418,0.310018664388979,V0.5_c2,bgs,4
cons,31216,1.02545731991298,1.87083546899026,0.355586878523834,V0.5_c2,bgs,5
best,31216,1.38359874561526,2.69733470015377,0.7752434648898,V0.5_c2,bgs,5
simes,31216,0.880341515714088,1.81317273193234,0.413249615581753,V0.5_c2,bgs,5
cons,38196,0.989060002167722,1.28023876845743,0.198973714525081,V0.5_c2,nobgs,1
best,38196,1.33868574315399,1.99235522044193,0.384857053094565,V0.5_c2,nobgs,1
simes,38196,0.847006152480925,1.20169651272385,0.198973714525081,V0.5_c2,nobgs,1
cons,38323,0.99656814011785,1.9152989066618,0.506223416747123,V0.5_c2,nobgs,2
best,38323,1.31364164362674,2.58591446389896,0.728022336455914,V0.5_c2,nobgs,2
simes,38323,0.847831447532738,1.78482895389192,0.482738825248545,V0.5_c2,nobgs,2
cons,38310,1.09097481745374,1.65492038632211,0.370660401983816,V0.5_c2,nobgs,3
best,38310,1.42203549693046,2.31532237013835,0.524667188723571,V0.5_c2,nobgs,3
simes,38310,0.93092527218031,1.47481075437223,0.339336987731663,V0.5_c2,nobgs,3
cons,38934,1.02554356322803,1.3561411619664,0.220886628653619,V0.5_c2,nobgs,4
best,38934,1.3766952785217,1.9802743103714,0.408383418092156,V0.5_c2,nobgs,4
simes,38934,0.871920228401948,1.28936148353624,0.228591976164792,V0.5_c2,nobgs,4
cons,37638,0.989108535480321,1.76151761517615,0.308199160422977,V0.5_c2,nobgs,5
best,37638,1.33599346541742,2.57186885594346,0.627025878101918,V0.5_c2,nobgs,5
simes,37638,0.845969593909202,1.70040916095435,0.345395610818853,V0.5_c2,nobgs,5
cons,39184,1.0296001328473,1.21988566761944,0.153123723968967,V1_c1.5,bgs,1
best,39184,1.40237986928797,1.78644344630461,0.280726827276439,V1_c1.5,bgs,1
simes,39184,0.85719785298406,1.08717844017967,0.142915475704369,V1_c1.5,bgs,1
cons,39620,0.99666491091515,1.52700656234225,0.3331650681474,V1_c1.5,bgs,2
best,39620,1.33940150932674,2.12518929833417,0.502271580010096,V1_c1.5,bgs,2
simes,39620,0.835323333678429,1.40837960625947,0.290257445734478,V1_c1.5,bgs,2
cons,38084,1.10269172272116,1.41266673668732,0.204810419073627,V1_c1.5,bgs,3
best,38084,1.43675107033727,2.05072996533978,0.375485768301649,V1_c1.5,bgs,3
simes,38084,0.931183315159416,1.21573364142422,0.196933095263103,V1_c1.5,bgs,3
cons,39813,1.05529194526172,1.26089468264135,0.150704543741994,V1_c1.5,bgs,4
best,39813,1.41064640319558,1.78082535855123,0.23610378519579,V1_c1.5,bgs,4
simes,39813,0.890231871675393,1.11019013889935,0.102981438223696,V1_c1.5,bgs,4
cons,38605,1.01127036346638,1.27185597720503,0.178733324698873,V1_c1.5,bgs,5
best,38605,1.37730919414811,2.01528299443077,0.344514959202176,V1_c1.5,bgs,5
simes,38605,0.84385975930907,1.15270042740578,0.176142986659759,V1_c1.5,bgs,5
cons,47755,0.999707466249713,1.03444665480054,0.127735315673751,V1_c1.5,nobgs,1
best,47755,1.3528630866782,1.48884933514815,0.196838027431683,V1_c1.5,nobgs,1
simes,47755,0.833517981012072,0.929745576379437,0.115171186263219,V1_c1.5,nobgs,1
cons,47593,0.961732078978453,1.49391717269346,0.277351711386128,V1_c1.5,nobgs,2
best,47593,1.28620363803975,1.96457462231841,0.390813775134999,V1_c1.5,nobgs,2
simes,47593,0.803645777117047,1.33002752505621,0.226924127497741,V1_c1.5,nobgs,2
cons,48048,1.01912255928251,1.1467698967699,0.129037629037629,V1_c1.5,nobgs,3
best,48048,1.34985945025477,1.64418914418914,0.214368964368964,V1_c1.5,nobgs,3
simes,48048,0.852070452369496,0.971944721944722,0.0999000999000999,V1_c1.5,nobgs,3
cons,46664,1.01287211197285,1.00505743185325,0.109291959540545,V1_c1.5,nobgs,4
best,46664,1.38187514727185,1.47651294359678,0.171438367906738,V1_c1.5,nobgs,4
simes,46664,0.841162931067576,0.857191839533688,0.0835762043545345,V1_c1.5,nobgs,4
cons,47300,1.00758940064933,1.40380549682875,0.207188160676533,V1_c1.5,nobgs,5
best,47300,1.34832948398639,1.92600422832981,0.334038054968288,V1_c1.5,nobgs,5
simes,47300,0.846239357691202,1.28752642706131,0.186046511627907,V1_c1.5,nobgs,5
cons,44779,0.976615503445315,0.935706469550459,0.0826280175975346,V2_c1,bgs,1
best,44779,1.27334025659948,1.27961767792939,0.102726724580719,V2_c1,bgs,1
simes,44779,0.813574078630867,0.859778020947319,0.0692288796087452,V2_c1,bgs,1
cons,44939,1.00115503092,1.08814170319767,0.160217183292908,V2_c1,bgs,2
best,44939,1.2928588620041,1.42192750172456,0.218073388370903,V2_c1,bgs,2
simes,44939,0.852495982939526,1.02360978214914,0.160217183292908,V2_c1,bgs,2
cons,44732,1.01761028001465,1.08647053563445,0.134132164893141,V2_c1,bgs,3
best,44732,1.33350399548682,1.43297862827506,0.203433783421264,V2_c1,bgs,3
simes,44732,0.84997793886626,0.97692926763838,0.129661092730037,V2_c1,bgs,3
cons,44682,0.992021917726138,0.982498545275502,0.118615997493398,V2_c1,bgs,4
best,44682,1.29856939199527,1.34953672619847,0.176804977395819,V2_c1,bgs,4
simes,44682,0.834306464415269,0.890739000044761,0.10518777136207,V2_c1,bgs,4
cons,44409,1.00956643517184,1.0335742754847,0.123848769393591,V2_c1,bgs,5
best,44409,1.33601140036217,1.37134364655813,0.175640072958184,V2_c1,bgs,5
simes,44409,0.839520140036405,0.957013218041388,0.11258979035781,V2_c1,bgs,5
cons,53660,0.986201126511017,0.995154677599702,0.0913156913902348,V2_c1,nobgs,1
best,53660,1.29781817879635,1.27655609392471,0.130450987700335,V2_c1,nobgs,1
simes,53660,0.828763868711675,0.907566157286619,0.0838613492359299,V2_c1,nobgs,1
cons,53364,0.984776339751886,1.06626189940784,0.164905179521775,V2_c1,nobgs,2
best,53364,1.2816333876753,1.37733303350573,0.208005396896784,V2_c1,nobgs,2
simes,53364,0.825849071139859,1.00629637958174,0.155535567048947,V2_c1,nobgs,2
cons,53316,0.972812641937701,0.947182834421187,0.103158526521119,V2_c1,nobgs,3
best,53316,1.27279981010009,1.21351939380299,0.138795108410233,V2_c1,nobgs,3
simes,53316,0.809373569974334,0.872158451496737,0.0937804786555631,V2_c1,nobgs,3
cons,53501,0.990373556033219,0.96633707781163,0.095325321022037,V2_c1,nobgs,4
best,53501,1.30702370772302,1.30464851124278,0.140184295620643,V2_c1,nobgs,4
simes,53501,0.828347072051288,0.88783387226407,0.0915870731388198,V2_c1,nobgs,4
cons,53746,1.01469148145125,1.04565921184832,0.111636214788077,V2_c1,nobgs,5
best,53746,1.33394529954755,1.40103449559037,0.156290700703308,V2_c1,nobgs,5
simes,53746,0.855294949673272,0.963792654337067,0.0986119897294683,V2_c1,nobgs,5
