tau,lmin,p_null_any,p_null_lo,p_null_hi,k_null,mean_null_regions,q50_null_regions,q90_null_regions,q95_null_regions,q99_null_regions,max_null_regions,mean_null_markers,mean_null_coverage,n_obs_regions,n_obs_markers,obs_coverage
0.06,3,0.26,0.20068485487634,0.32657775365714,52,2.075,0,2,5.09999999999997,55.1899999999998,85,25.74,0.00228414233738575,13,292,0.0259117934155648
0.06,5,0.15,0.103549523521863,0.207158703668551,30,1.01,0,1,2.04999999999998,27.0999999999999,46,22.1,0.00196113230987665,8,275,0.0244032301002751
0.06,10,0.085,0.0502959186302573,0.132605165829552,17,0.385,0,0,2,10.04,16,18.14,0.00160972579643269,3,245,0.0217410595438814
0.06,15,0.07,0.0387955704295628,0.114659733537111,14,0.17,0,0,1,3.03999999999996,11,15.71,0.00139408998136481,3,245,0.0217410595438814
0.06,20,0.055,0.0277722545520065,0.0962776444339129,11,0.13,0,0,1,2.02999999999997,9,15.065,0.00133685331440234,3,245,0.0217410595438814
0.08,1,0.65,0.579549377522007,0.715929329677058,130,10.105,1,17.1,39,238.23,287,31.18,0.00276688259827846,42,139,0.0123347235779572
0.08,2,0.395,0.326764991805063,0.466396428026518,79,3.235,0,4,8.24999999999992,99.1199999999999,118,24.31,0.00215724554086432,13,110,0.00976129204011004
0.08,3,0.245,0.187084126076001,0.310639865861599,49,1.855,0,2,4,52.1799999999998,81,21.55,0.0019123258496761,8,100,0.00887390185464549
0.08,5,0.14,0.0950875173590198,0.195945261119614,28,0.92,0,1,2,23.1299999999999,45,18.415,0.00163412902653297,3,82,0.0072765995208093
0.08,10,0.08,0.0464176083998226,0.126664856022082,16,0.34,0,0,1,9.01999999999998,15,14.725,0.00130668204809655,3,82,0.0072765995208093
0.08,15,0.06,0.0313839538934835,0.102461831308324,12,0.145,0,0,1,3.02999999999997,10,12.555,0.00111411837785074,1,61,0.00541308013133375
0.08,20,0.045,0.0207804222270043,0.083702688075854,9,0.1,0,0,0,2.02999999999997,6,11.77,0.00104445824829177,1,61,0.00541308013133375
0.1,1,0.625,0.553948625817415,0.692286151782359,125,9.375,1,16,35.1,222.24,274,28.725,0.00254902830774692,35,114,0.0101162481142959
0.1,2,0.38,0.31246543517767,0.451148757916552,76,2.99,0,3.09999999999999,8.19999999999993,93.1199999999999,115,22.34,0.0019824296743278,12,91,0.00807525068772739
0.1,3,0.225,0.169102547129825,0.289239605968765,45,1.73,0,2,4.04999999999998,47.2099999999998,77,19.82,0.00175880734759074,8,83,0.00736533853935575
0.1,5,0.135,0.0908871017548978,0.190309172683398,27,0.86,0,1,2,21.1499999999999,43,16.92,0.00150146419380602,3,65,0.00576803620551957
0.1,10,0.08,0.0464176083998226,0.126664856022082,16,0.29,0,0,1,8.01999999999998,13,13.22,0.00117312982518413,2,56,0.00496938503860147
0.1,15,0.055,0.0277722545520065,0.0962776444339129,11,0.14,0,0,1,3.02999999999997,10,11.555,0.00102537935930429,1,46,0.00408199485313692
0.1,20,0.04,0.0174248089944806,0.077291968226016,8,0.095,0,0,0,2.02999999999997,6,10.78,0.000956606619930784,1,46,0.00408199485313692
0.12,1,0.6,0.528535672797046,0.668453736264361,120,8.74,1,14.2,34.05,213.18,264,26.265,0.00233073032212264,34,104,0.00922885792883131
0.12,2,0.355,0.288783777713584,0.42558616692658,71,2.775,0,3,7.19999999999993,85.1699999999999,111,20.3,0.00180140207649303,12,82,0.0072765995208093
0.12,3,0.22,0.164636061311784,0.283861247313508,44,1.585,0,2,3.04999999999998,43.2299999999998,74,17.92,0.00159020321235247,7,72,0.00638920933534475
