tau,lmin,p_null_any,p_null_lo,p_null_hi,k_null,mean_null_regions,q50_null_regions,q90_null_regions,q95_null_regions,q99_null_regions,max_null_regions,mean_null_markers,mean_null_coverage,n_obs_regions,n_obs_markers,obs_coverage
0.46,5,0.085,0.0502959186302573,0.132605165829552,17,0.455,0,0,1,11.1199999999999,26,4.87,0.000432159020321235,1,5,0.000443695092732274
0.46,10,0.055,0.0277722545520065,0.0962776444339129,11,0.15,0,0,1,5.00999999999999,6,2.945,0.00026133640961931,0,0,0
0.46,15,0.035,0.0141855258984192,0.0707809983509773,7,0.07,0,0,0,2.01999999999998,4,2.09,0.000185464548762091,0,0,0
0.46,20,0.025,0.00816616619084252,0.0573743511268459,5,0.045,0,0,0,2,3,1.68,0.000149081551158044,0,0,0
0.48,1,0.4,0.331546263735639,0.471464327202954,80,3.45,0,5.09999999999999,10.05,117.12,138,9.225,0.000818617446091046,9,16,0.00141982429674328
0.48,2,0.215,0.160181695332336,0.278471043884057,43,1.455,0,2,4,52.0999999999999,75,7.23,0.000641583104090869,3,10,0.000887390185464549
0.48,3,0.13,0.0867083527685753,0.184652330523413,26,0.84,0,1,2,28.0699999999999,53,6,0.000532434111278729,2,8,0.000709912148371639
0.48,5,0.08,0.0464176083998226,0.126664856022082,16,0.435,0,0,1,10.1299999999999,26,4.63,0.000410861655870086,1,5,0.000443695092732274
0.48,10,0.055,0.0277722545520065,0.0962776444339129,11,0.135,0,0,1,4.00999999999999,5,2.685,0.000238264264797231,0,0,0
0.48,15,0.035,0.0141855258984192,0.0707809983509773,7,0.07,0,0,0,2.01999999999998,4,1.985,0.000176146951814713,0,0,0
0.48,20,0.025,0.00816616619084252,0.0573743511268459,5,0.045,0,0,0,2,3,1.585,0.000140651344396131,0,0,0
0.5,1,0.395,0.326764991805063,0.466396428026518,79,3.285,0,4,10,109.13,134,8.825,0.000783121838672464,8,13,0.00115360724110391
0.5,2,0.21,0.155739756724128,0.273068704613799,42,1.415,0,1,4,51.0899999999999,75,6.955,0.000617179873990594,3,8,0.000709912148371639
0.5,3,0.125,0.0825523418288169,0.178973750078799,25,0.84,0,1,2,28.0699999999999,54,5.805,0.000515130002662171,1,4,0.00035495607418582
0.5,5,0.08,0.0464176083998226,0.126664856022082,16,0.43,0,0,1,10.1299999999999,25,4.445,0.000394444937438992,0,0,0
0.5,10,0.055,0.0277722545520065,0.0962776444339129,11,0.13,0,0,1,4,5,2.535,0.000224953412015263,0,0,0
0.5,15,0.035,0.0141855258984192,0.0707809983509773,7,0.065,0,0,0,2.00999999999999,4,1.82,0.000161505013754548,0,0,0
0.5,20,0.025,0.00816616619084252,0.0573743511268459,5,0.04,0,0,0,1.00999999999999,3,1.405,0.000124678321057769,0,0,0
