tau,lmin,m,n_floor,min_p,n_sig,frac_floor,naive_bound_ok,tie_bound_ok
0.44,5,1,0,0.0149253731343284,1,0,TRUE,FALSE
0.46,1,10,5,0.00497512437810945,10,0.5,TRUE,TRUE
0.46,2,4,2,0.00497512437810945,4,0.5,TRUE,TRUE
0.46,3,2,1,0.00497512437810945,2,0.5,TRUE,TRUE
0.46,5,1,0,0.0149253731343284,1,0,TRUE,FALSE
0.48,1,9,4,0.00497512437810945,9,0.444444444444444,TRUE,TRUE
0.48,2,3,1,0.00497512437810945,3,0.333333333333333,TRUE,TRUE
0.48,3,2,1,0.00497512437810945,2,0.5,TRUE,TRUE
0.48,5,1,0,0.0149253731343284,1,0,TRUE,FALSE
0.5,1,8,4,0.00497512437810945,8,0.5,TRUE,TRUE
0.5,2,3,1,0.00497512437810945,3,0.333333333333333,TRUE,TRUE
0.5,3,1,0,0.0149253731343284,1,0,TRUE,FALSE
