analysis,flagged,contain,tag_not_contain,neither,satellites,raw_prec,raw_rec,dedup_regions,dedup_tp,dedup_qtn,dedup_prec,dedup_rec,cell,tag,env,n_qtn,n_clusters
emlg,0,0,0,0,0,,0,0,0,0,0,0,V2_c1,nobgs,1,10,104374
snp,36,6,5,25,4,0.166666666666667,0.545454545454545,32,7,7,0.21875,0.636363636363636,V2_c1,nobgs,2,11,104416
snp_n2,30,6,5,19,4,0.2,0.545454545454545,26,7,7,0.269230769230769,0.636363636363636,V2_c1,nobgs,2,11,104416
snp_n5,24,5,3,16,2,0.208333333333333,0.454545454545455,22,6,6,0.272727272727273,0.545454545454545,V2_c1,nobgs,2,11,104416
simes_only_sparse,2,0,0,2,0,0,0,2,0,0,0,0,V2_c1,nobgs,2,11,104416
simes_only_longdense,5,3,1,1,0,0.6,0.272727272727273,5,4,4,0.8,0.363636363636364,V2_c1,nobgs,2,11,104416
simes_nosparse,10,4,3,3,3,0.4,0.363636363636364,7,4,4,0.571428571428571,0.363636363636364,V2_c1,nobgs,2,11,104416
simes_n2_nosparse,10,4,3,3,3,0.4,0.363636363636364,7,4,4,0.571428571428571,0.363636363636364,V2_c1,nobgs,2,11,104416
simes_n2,10,4,3,3,3,0.4,0.363636363636364,7,4,4,0.571428571428571,0.363636363636364,V2_c1,nobgs,2,11,104416
rep,8,3,2,3,1,0.375,0.272727272727273,7,4,4,0.571428571428571,0.363636363636364,V2_c1,nobgs,2,11,104416
simes,10,4,3,3,3,0.4,0.363636363636364,7,4,4,0.571428571428571,0.363636363636364,V2_c1,nobgs,2,11,104416
emlg,0,0,0,0,0,,0,0,0,0,0,0,V2_c1,nobgs,2,11,104416
snp,72,10,13,49,12,0.138888888888889,0.625,60,11,11,0.183333333333333,0.6875,V2_c1,nobgs,3,16,103512
snp_n2,65,10,10,45,8,0.153846153846154,0.625,57,12,12,0.210526315789474,0.75,V2_c1,nobgs,3,16,103512
snp_n5,50,9,7,34,6,0.18,0.5625,44,10,10,0.227272727272727,0.625,V2_c1,nobgs,3,16,103512
simes_only_sparse,4,0,0,4,0,0,0,4,0,0,0,0,V2_c1,nobgs,3,16,103512
simes_only_longdense,16,7,2,7,2,0.4375,0.4375,14,7,7,0.5,0.4375,V2_c1,nobgs,3,16,103512
simes_nosparse,14,7,3,4,3,0.5,0.4375,11,7,7,0.636363636363636,0.4375,V2_c1,nobgs,3,16,103512
simes_n2_nosparse,17,7,5,5,5,0.411764705882353,0.4375,12,7,7,0.583333333333333,0.4375,V2_c1,nobgs,3,16,103512
simes_n2,19,7,5,7,5,0.368421052631579,0.4375,14,7,7,0.5,0.4375,V2_c1,nobgs,3,16,103512
rep,9,5,1,3,1,0.555555555555556,0.3125,8,5,5,0.625,0.3125,V2_c1,nobgs,3,16,103512
simes,15,7,3,5,3,0.466666666666667,0.4375,12,7,7,0.583333333333333,0.4375,V2_c1,nobgs,3,16,103512
emlg,0,0,0,0,0,,0,0,0,0,0,0,V2_c1,nobgs,3,16,103512
snp,27,7,7,13,7,0.259259259259259,0.7,20,7,7,0.35,0.7,V2_c1,nobgs,4,10,105523
snp_n2,28,7,7,14,7,0.25,0.7,21,7,7,0.333333333333333,0.7,V2_c1,nobgs,4,10,105523
snp_n5,13,5,2,6,2,0.384615384615385,0.5,11,5,5,0.454545454545455,0.5,V2_c1,nobgs,4,10,105523
simes_only_sparse,1,0,1,0,0,0,0,1,1,1,1,0.1,V2_c1,nobgs,4,10,105523
simes_only_longdense,3,2,1,0,0,0.666666666666667,0.2,3,3,3,1,0.3,V2_c1,nobgs,4,10,105523
simes_nosparse,6,4,0,2,0,0.666666666666667,0.4,6,4,4,0.666666666666667,0.4,V2_c1,nobgs,4,10,105523
simes_n2_nosparse,6,4,0,2,0,0.666666666666667,0.4,6,4,4,0.666666666666667,0.4,V2_c1,nobgs,4,10,105523
simes_n2,7,4,1,2,1,0.571428571428571,0.4,6,4,4,0.666666666666667,0.4,V2_c1,nobgs,4,10,105523
rep,5,3,1,1,1,0.6,0.3,4,3,3,0.75,0.3,V2_c1,nobgs,4,10,105523
simes,7,4,1,2,1,0.571428571428571,0.4,6,4,4,0.666666666666667,0.4,V2_c1,nobgs,4,10,105523
emlg,0,0,0,0,0,,0,0,0,0,0,0,V2_c1,nobgs,4,10,105523
snp,12,6,2,4,2,0.5,0.428571428571429,10,6,6,0.6,0.428571428571429,V2_c1,nobgs,5,14,104714
snp_n2,14,6,3,5,2,0.428571428571429,0.428571428571429,12,7,7,0.583333333333333,0.5,V2_c1,nobgs,5,14,104714
snp_n5,13,6,2,5,1,0.461538461538462,0.428571428571429,12,7,7,0.583333333333333,0.5,V2_c1,nobgs,5,14,104714
simes_only_sparse,0,0,0,0,0,,0,0,0,0,0,0,V2_c1,nobgs,5,14,104714
simes_only_longdense,2,2,0,0,0,1,0.142857142857143,2,2,2,1,0.142857142857143,V2_c1,nobgs,5,14,104714
simes_nosparse,3,2,1,0,1,0.666666666666667,0.142857142857143,2,2,2,1,0.142857142857143,V2_c1,nobgs,5,14,104714
simes_n2_nosparse,4,3,1,0,1,0.75,0.214285714285714,3,3,3,1,0.214285714285714,V2_c1,nobgs,5,14,104714
simes_n2,4,3,1,0,1,0.75,0.214285714285714,3,3,3,1,0.214285714285714,V2_c1,nobgs,5,14,104714
rep,0,0,0,0,0,,0,0,0,0,0,0,V2_c1,nobgs,5,14,104714
simes,3,2,1,0,1,0.666666666666667,0.142857142857143,2,2,2,1,0.142857142857143,V2_c1,nobgs,5,14,104714
emlg,0,0,0,0,0,,0,0,0,0,0,0,V2_c1,nobgs,5,14,104714
snp,123,6,3,114,3,0.0487804878048781,0.545454545454545,120,6,6,0.05,0.545454545454545,V2_c1,nobgs,6,11,105361
snp_n2,97,6,3,88,3,0.0618556701030928,0.545454545454545,94,6,6,0.0638297872340426,0.545454545454545,V2_c1,nobgs,6,11,105361
snp_n5,60,4,3,53,3,0.0666666666666667,0.363636363636364,57,4,4,0.0701754385964912,0.363636363636364,V2_c1,nobgs,6,11,105361
simes_only_sparse,11,0,0,11,0,0,0,11,0,0,0,0,V2_c1,nobgs,6,11,105361
simes_only_longdense,13,3,1,9,1,0.230769230769231,0.272727272727273,12,3,3,0.25,0.272727272727273,V2_c1,nobgs,6,11,105361
simes_nosparse,45,3,1,41,1,0.0666666666666667,0.272727272727273,44,3,3,0.0681818181818182,0.272727272727273,V2_c1,nobgs,6,11,105361
simes_n2_nosparse,35,3,1,31,1,0.0857142857142857,0.272727272727273,34,3,3,0.0882352941176471,0.272727272727273,V2_c1,nobgs,6,11,105361
